"","date","IGIC"
"1","2018-04-10",9.57
"2","2018-04-11",9.56
"3","2018-04-12",9.55
"4","2018-04-13",9.55
"5","2018-04-16",9.55
"6","2018-04-17",9.55
"7","2018-04-18",9.55
"8","2018-04-19",9.58
"9","2018-04-20",9.58
"10","2018-04-23",9.58
"11","2018-04-24",9.58
"12","2018-04-25",9.58
"13","2018-04-26",9.58
"14","2018-04-27",9.58
"15","2018-04-30",9.58
"16","2018-05-01",9.58
"17","2018-05-02",9.58
"18","2018-05-03",9.58
"19","2018-05-04",9.58
"20","2018-05-07",9.64
"21","2018-05-08",9.64
"22","2018-05-09",9.62
"23","2018-05-10",9.62
"24","2018-05-11",9.58
"25","2018-05-14",9.59
"26","2018-05-15",9.58
"27","2018-05-16",9.58
"28","2018-05-17",9.58
"29","2018-05-18",9.618
"30","2018-05-21",9.6
"31","2018-05-22",9.59
"32","2018-05-23",9.6
"33","2018-05-24",9.59
"34","2018-05-25",9.59
"35","2018-05-29",9.59
"36","2018-05-30",9.59
"37","2018-05-31",9.58
"38","2018-06-01",9.62
"39","2018-06-04",9.62
"40","2018-06-05",9.64
"41","2018-06-06",9.64
"42","2018-06-07",9.65
"43","2018-06-08",9.65
"44","2018-06-11",9.65
"45","2018-06-12",9.61
"46","2018-06-13",9.61
"47","2018-06-14",9.61
"48","2018-06-15",9.61
"49","2018-06-18",9.61
"50","2018-06-19",9.61
"51","2018-06-20",9.61
"52","2018-06-21",9.6
"53","2018-06-22",9.6
"54","2018-06-25",9.6
"55","2018-06-26",9.6
"56","2018-06-27",9.6
"57","2018-06-28",9.61
"58","2018-06-29",9.61
"59","2018-07-02",9.61
"60","2018-07-03",9.61
"61","2018-07-05",9.61
"62","2018-07-06",9.61
"63","2018-07-09",9.61
"64","2018-07-10",9.61
"65","2018-07-11",9.61
"66","2018-07-12",9.61
"67","2018-07-13",9.61
"68","2018-07-16",9.61
"69","2018-07-17",9.65
"70","2018-07-18",9.65
"71","2018-07-19",9.58
"72","2018-07-20",9.58
"73","2018-07-23",9.58
"74","2018-07-24",9.58
"75","2018-07-25",9.58
"76","2018-07-26",9.56
"77","2018-07-27",9.56
"78","2018-07-30",9.56
"79","2018-07-31",9.56
"80","2018-08-01",9.58
"81","2018-08-02",9.58
"82","2018-08-03",9.58
"83","2018-08-06",9.59
"84","2018-08-07",9.6
"85","2018-08-08",9.6
"86","2018-08-09",9.6
"87","2018-08-10",9.6
"88","2018-08-13",9.63
"89","2018-08-14",9.63
"90","2018-08-15",9.63
"91","2018-08-16",9.63
"92","2018-08-17",9.63
"93","2018-08-20",9.6
"94","2018-08-21",9.62
"95","2018-08-22",9.62
"96","2018-08-23",9.65
"97","2018-08-24",9.65
"98","2018-08-27",9.65
"99","2018-08-28",9.65
"100","2018-08-29",9.65
"101","2018-08-30",9.67
"102","2018-08-31",9.75
"103","2018-09-04",9.75
"104","2018-09-05",9.71
"105","2018-09-06",9.7
"106","2018-09-07",9.7
"107","2018-09-10",9.65
"108","2018-09-11",9.65
"109","2018-09-12",9.7
"110","2018-09-13",9.7
"111","2018-09-14",9.65
"112","2018-09-17",9.64
"113","2018-09-18",9.64
"114","2018-09-19",9.64
"115","2018-09-20",9.64
"116","2018-09-21",9.67
"117","2018-09-24",9.67
"118","2018-09-25",9.67
"119","2018-09-26",9.67
"120","2018-09-27",9.67
"121","2018-09-28",9.67
"122","2018-10-01",9.67
"123","2018-10-02",9.67
"124","2018-10-03",9.7
"125","2018-10-04",9.7
"126","2018-10-05",9.7
"127","2018-10-08",9.7
"128","2018-10-09",9.67
"129","2018-10-10",9.67
"130","2018-10-11",9.67
"131","2018-10-12",9.5
"132","2018-10-15",9.63
"133","2018-10-16",9.63
"134","2018-10-17",9.63
"135","2018-10-18",9.65
"136","2018-10-19",9.65
"137","2018-10-22",9.65
"138","2018-10-23",9.65
"139","2018-10-24",9.65
"140","2018-10-25",9.65
"141","2018-10-26",9.65
"142","2018-10-29",9.65
"143","2018-10-30",9.66
"144","2018-10-31",9.66
"145","2018-11-01",9.55
"146","2018-11-02",9.55
"147","2018-11-05",9.55
"148","2018-11-06",9.65
"149","2018-11-07",9.65
"150","2018-11-08",9.65
"151","2018-11-09",9.65
"152","2018-11-12",9.67
"153","2018-11-13",9.67
"154","2018-11-14",9.67
"155","2018-11-15",9.67
"156","2018-11-16",9.8
"157","2018-11-19",9.76
"158","2018-11-20",9.77
"159","2018-11-21",9.8
"160","2018-11-23",9.69
"161","2018-11-26",9.69
"162","2018-11-27",9.74
"163","2018-11-28",9.74
"164","2018-11-29",9.65
"165","2018-11-30",9.72
"166","2018-12-03",9.72
"167","2018-12-04",9.72
"168","2018-12-06",9.78
"169","2018-12-07",9.78
"170","2018-12-10",9.8
"171","2018-12-11",9.771
"172","2018-12-12",9.78
"173","2018-12-13",9.77
"174","2018-12-14",9.77
"175","2018-12-17",9.8
"176","2018-12-18",9.79
"177","2018-12-19",9.79
"178","2018-12-20",9.79
"179","2018-12-21",9.77
"180","2018-12-24",9.79
"181","2018-12-26",9.79
"182","2018-12-27",9.79
"183","2018-12-28",9.79
"184","2018-12-31",9.8
"185","2019-01-02",9.81
"186","2019-01-03",9.81
"187","2019-01-04",9.8
"188","2019-01-07",9.8
