"","date","FORK"
"1","2015-11-04",4.35
"2","2015-11-05",4.59
"3","2015-11-06",4.61
"4","2015-11-09",3.98
"5","2015-11-10",3.64
"6","2015-11-11",3.81
"7","2015-11-12",3.8
"8","2015-11-13",3.74
"9","2015-11-16",3.5
"10","2015-11-17",3
"11","2015-11-18",3.02
"12","2015-11-19",2.886
"13","2015-11-20",2.94
"14","2015-11-23",2.9
"15","2015-11-24",3.22
"16","2015-11-25",4.07
"17","2015-11-27",3.7
"18","2015-11-30",3.56
"19","2015-12-01",3.47
"20","2015-12-02",3.6
"21","2015-12-03",3.48
"22","2015-12-04",3.2
"23","2015-12-07",3.35
"24","2015-12-08",3.25
"25","2015-12-09",3.1
"26","2015-12-10",3.22
"27","2015-12-11",3.15
"28","2015-12-14",2.99
"29","2015-12-15",2.961
"30","2015-12-16",3.09
"31","2015-12-17",3.099
"32","2015-12-18",2.97
"33","2015-12-21",3.042
"34","2015-12-22",3.06
"35","2015-12-23",3.02
"36","2015-12-24",2.92
"37","2015-12-28",3
"38","2015-12-29",2.99
"39","2015-12-30",2.85
"40","2015-12-31",2.56
"41","2016-01-04",2.415
"42","2016-01-05",2.35
"43","2016-01-06",2.37
"44","2016-01-07",2.37
"45","2016-01-08",2.8
"46","2016-01-11",3.02
"47","2016-01-12",2.972
"48","2016-01-13",2.83
"49","2016-01-14",2.84
"50","2016-01-15",2.95
"51","2016-01-19",2.88
"52","2016-01-20",2.8
"53","2016-01-21",2.84
"54","2016-01-22",2.69
"55","2016-01-25",2.71
"56","2016-01-26",2.7
"57","2016-01-27",2.84
"58","2016-01-28",2.84
"59","2016-01-29",3
"60","2016-02-01",3
"61","2016-02-02",3.077
"62","2016-02-03",3.08
"63","2016-02-04",2.981
"64","2016-02-05",3.08
"65","2016-02-08",3.05
"66","2016-02-09",3.16
"67","2016-02-10",3.2
"68","2016-02-11",3.16
"69","2016-02-12",3.25
"70","2016-02-16",3.35
"71","2016-02-17",3.299
"72","2016-02-18",3.219
"73","2016-02-19",3.14
"74","2016-02-22",3.13
"75","2016-02-23",3.18
"76","2016-02-24",3.16
"77","2016-02-25",2.99
"78","2016-02-26",2.93
"79","2016-02-29",2.75
"80","2016-03-01",2.74
"81","2016-03-02",2.79
"82","2016-03-03",2.69
"83","2016-03-04",2.59
"84","2016-03-07",2.69
"85","2016-03-08",2.686
"86","2016-03-09",2.71
"87","2016-03-10",2.7
"88","2016-03-11",2.71
"89","2016-03-14",2.702
"90","2016-03-15",2.69
"91","2016-03-16",2.67
"92","2016-03-17",2.56
"93","2016-03-18",2.61
"94","2016-03-21",2.673
"95","2016-03-22",2.471
"96","2016-03-23",2.62
"97","2016-03-24",2.65
"98","2016-03-28",2.66
"99","2016-03-29",2.27
"100","2016-03-30",2.52
"101","2016-03-31",2.61
"102","2016-04-01",2.7
"103","2016-04-04",2.57
"104","2016-04-05",2.62
"105","2016-04-06",2.619
"106","2016-04-07",2.63
"107","2016-04-08",2.63
"108","2016-04-11",2.59
"109","2016-04-12",2.69
"110","2016-04-13",2.69
"111","2016-04-14",2.65
"112","2016-04-15",2.45
"113","2016-04-18",2.549
"114","2016-04-19",2.46
"115","2016-04-20",2.51
"116","2016-04-21",2.45
"117","2016-04-22",2.45
"118","2016-04-25",2.32
"119","2016-04-26",2.47
"120","2016-04-27",2.68
"121","2016-04-28",2.62
"122","2016-04-29",2.51
"123","2016-05-02",2.63
"124","2016-05-03",2.47
"125","2016-05-04",2.52
"126","2016-05-05",2.5
"127","2016-05-06",2.464
"128","2016-05-09",2.3
"129","2016-05-10",2.381
"130","2016-05-11",2.39
"131","2016-05-12",2.4
"132","2016-05-13",2.32
"133","2016-05-16",2.21
"134","2016-05-17",2.3
"135","2016-05-18",2.31
"136","2016-05-19",2.18
"137","2016-05-20",2.3
"138","2016-05-23",2.38
"139","2016-05-24",2.2
"140","2016-05-25",2.25
"141","2016-05-26",2.31
"142","2016-05-27",2.31
"143","2016-05-31",2.13
"144","2016-06-01",2.16
"145","2016-06-02",2.27
"146","2016-06-03",2.17
"147","2016-06-06",1.84
"148","2016-06-07",2.089
"149","2016-06-08",2.245
"150","2016-06-09",2.26
"151","2016-06-10",2.11
"152","2016-06-13",2.06
"153","2016-06-14",2.246
"154","2016-06-15",2.11
"155","2016-06-16",2.24
"156","2016-06-17",2.28
"157","2016-06-20",2.21
"158","2016-06-21",2.17
"159","2016-06-22",2.13
"160","2016-06-23",2.27
"161","2016-06-24",2.33
"162","2016-06-27",2.3
"163","2016-06-28",2.3
"164","2016-06-29",2.25
"165","2016-06-30",2.2
"166","2016-07-01",2.2
"167","2016-07-05",2.189
"168","2016-07-06",2.19
"169","2016-07-07",2.2
"170","2016-07-08",2.12
"171","2016-07-11",2.12
"172","2016-07-12",2.16
"173","2016-07-13",2.177
"174","2016-07-14",2.14
"175","2016-07-15",2.03
"176","2016-07-18",2.06
"177","2016-07-19",2.099
"178","2016-07-20",2
"179","2016-07-21",1.9
"180","2016-07-22",1.9
"181","2016-07-25",1.909
"182","2016-07-26",1.91
"183","2016-07-27",2.086
"184","2016-07-28",1.97
"185","2016-07-29",2.028
"186","2016-08-01",2.035
"187","2016-08-02",1.92
"188","2016-08-03",1.91
"189","2016-08-04",2.1
"190","2016-08-05",2.91
"191","2016-08-08",2.84
"192","2016-08-09",2.65
"193","2016-08-10",2.58
"194","2016-08-11",2.4
"195","2016-08-12",2.43
"196","2016-08-15",2.45
"197","2016-08-16",2.48
"198","2016-08-17",2.384
"199","2016-08-18",2.33
"200","2016-08-19",2.15
"201","2016-08-22",2.26
"202","2016-08-23",2.3
"203","2016-08-24",2.229
"204","2016-08-25",2.18
"205","2016-08-26",2.17
"206","2016-08-29",2.24
"207","2016-08-30",2.279
"208","2016-08-31",2.205
"209","2016-09-01",2.16
"210","2016-09-02",2.06
"211","2016-09-06",1.99
"212","2016-09-07",1.83
"213","2016-09-08",2.05
"214","2016-09-09",2.07
"215","2016-09-12",2.08
"216","2016-09-13",2.09
"217","2016-09-14",2.52
"218","2016-09-15",2.49
"219","2016-09-16",2.3
"220","2016-09-19",2.3
"221","2016-09-20",2.34
"222","2016-09-21",2.43
"223","2016-09-22",2.46
"224","2016-09-23",2.33
"225","2016-09-26",2.35
"226","2016-09-27",2.32
"227","2016-09-28",2.29
"228","2016-09-29",2.33
"229","2016-09-30",2.34
"230","2016-10-03",2.24
"231","2016-10-04",2.19
"232","2016-10-05",2.17
"233","2016-10-06",2.16
"234","2016-10-07",2.16
"235","2016-10-10",2.04
"236","2016-10-11",2
"237","2016-10-12",2.056
"238","2016-10-13",1.99
"239","2016-10-14",2.03
"240","2016-10-17",2.15
"241","2016-10-18",2.1
"242","2016-10-19",2.05
"243","2016-10-20",2.05
"244","2016-10-21",2.05
"245","2016-10-24",2.05
"246","2016-10-25",2.1
"247","2016-10-26",2.05
"248","2016-10-27",1.85
"249","2016-10-28",1.9
"250","2016-10-31",1.7
"251","2016-11-01",1.9
"252","2016-11-02",1.9
"253","2016-11-03",2
"254","2016-11-04",2.1
"255","2016-11-07",2.15
"256","2016-11-08",2.3
"257","2016-11-09",2.35
"258","2016-11-10",2.15
"259","2016-11-11",2.177
"260","2016-11-14",2.2
"261","2016-11-15",2.15
"262","2016-11-16",2.15
"263","2016-11-17",2.25
"264","2016-11-18",2
"265","2016-11-21",2.1
"266","2016-11-22",2.1
"267","2016-11-23",2
"268","2016-11-25",2.05
"269","2016-11-28",1.95
"270","2016-11-29",2.05
"271","2016-11-30",2.15
"272","2016-12-01",2.15
"273","2016-12-02",2.2
"274","2016-12-05",2.25
"275","2016-12-06",2.3
"276","2016-12-07",2.35
"277","2016-12-08",2.5
"278","2016-12-09",2.5
"279","2016-12-12",2.55
"280","2016-12-13",2.5
"281","2016-12-14",2.5
"282","2016-12-15",2.55
"283","2016-12-16",2.6
"284","2016-12-19",2.65
"285","2016-12-20",2.695
"286","2016-12-21",2.55
"287","2016-12-22",2.6
"288","2016-12-23",2.55
"289","2016-12-27",2.6
"290","2016-12-28",2.6
"291","2016-12-29",2.532
"292","2016-12-30",2.5
"293","2017-01-03",2.6
"294","2017-01-04",2.505
"295","2017-01-05",2.6
"296","2017-01-06",2.5
"297","2017-01-09",2.475
"298","2017-01-10",2.6
"299","2017-01-11",2.55
"300","2017-01-12",2.6
"301","2017-01-13",2.5
"302","2017-01-17",2.45
"303","2017-01-18",2.5
"304","2017-01-19",2.3
"305","2017-01-20",2.4
"306","2017-01-23",2.4
"307","2017-01-24",2.3
"308","2017-01-25",2.35
"309","2017-01-26",2.355
"310","2017-01-27",2.45
"311","2017-01-30",2.55
"312","2017-01-31",2.9
"313","2017-02-01",3.1
"314","2017-02-02",3.245
"315","2017-02-03",3.2
"316","2017-02-06",3.25
"317","2017-02-07",3.3
"318","2017-02-08",3.3
"319","2017-02-09",3.195
"320","2017-02-10",3.25
"321","2017-02-13",3.3
"322","2017-02-14",3.3
"323","2017-02-15",3.35
"324","2017-02-16",3.4
"325","2017-02-17",3.45
"326","2017-02-21",3.45
"327","2017-02-22",3.675
"328","2017-02-23",3.7
"329","2017-02-24",3.65
"330","2017-02-27",3.65
"331","2017-02-28",3.55
"332","2017-03-01",3.425
"333","2017-03-02",3.15
"334","2017-03-03",3.2
"335","2017-03-06",3.25
"336","2017-03-07",3
"337","2017-03-08",3.125
"338","2017-03-09",3.2
"339","2017-03-10",3.1
"340","2017-03-13",3.15
"341","2017-03-14",3.15
"342","2017-03-15",3.1
"343","2017-03-16",3.1
"344","2017-03-17",3.136
"345","2017-03-20",3
"346","2017-03-21",3.05
"347","2017-03-22",3.1
"348","2017-03-23",3.1
"349","2017-03-24",3.1
"350","2017-03-27",3
"351","2017-03-28",3.092
"352","2017-03-29",3.25
"353","2017-03-30",3.125
"354","2017-03-31",3.125
"355","2017-04-03",3.25
"356","2017-04-04",3.2
"357","2017-04-05",3.2
"358","2017-04-06",3.2
"359","2017-04-07",3.005
"360","2017-04-10",3.005
"361","2017-04-11",3.095
"362","2017-04-12",3.095
"363","2017-04-13",3.1
"364","2017-04-17",3.1
"365","2017-04-18",3
"366","2017-04-19",3.05
"367","2017-04-20",2.9
"368","2017-04-21",3
"369","2017-04-24",2.975
"370","2017-04-25",3
"371","2017-04-26",2.955
"372","2017-04-27",2.955
"373","2017-04-28",2.905
"374","2017-05-01",2.905
"375","2017-05-02",2.864
"376","2017-05-03",2.95
"377","2017-05-04",2.855
"378","2017-05-05",2.9
"379","2017-05-08",2.85
"380","2017-05-09",2.85
"381","2017-05-10",2.9
"382","2017-05-11",2.9
"383","2017-05-12",3.059
"384","2017-05-15",3.1
"385","2017-05-16",3.1
"386","2017-05-17",3.1
"387","2017-05-18",3.15
"388","2017-05-19",3.069
"389","2017-05-22",3.15
"390","2017-05-23",3.229
"391","2017-05-24",3.275
"392","2017-05-25",3.245
"393","2017-05-26",3.21
"394","2017-05-30",3.25
"395","2017-05-31",3.22
"396","2017-06-01",3.25
"397","2017-06-02",3.2
"398","2017-06-05",3.35
"399","2017-06-06",3.395
"400","2017-06-07",3.35
