"","date","VRT"
"1","2018-08-02",9.99
"2","2018-08-03",9.99
"3","2018-08-06",9.96
"4","2018-08-07",9.95
"5","2018-08-08",9.95
"6","2018-08-09",9.9
"7","2018-08-10",9.85
"8","2018-08-13",9.81
"9","2018-08-14",9.8
"10","2018-08-15",9.85
"11","2018-08-16",9.86
"12","2018-08-17",9.83
"13","2018-08-20",9.83
"14","2018-08-21",9.8
"15","2018-08-22",9.8
"16","2018-08-23",9.81
"17","2018-08-24",9.8
"18","2018-08-27",9.75
"19","2018-08-28",9.75
"20","2018-08-29",9.8
"21","2018-08-30",9.8
"22","2018-08-31",9.73
"23","2018-09-04",9.79
"24","2018-09-05",9.8
"25","2018-09-06",9.8
"26","2018-09-07",9.78
"27","2018-09-10",9.87
"28","2018-09-11",9.75
"29","2018-09-12",9.8
"30","2018-09-13",9.8
"31","2018-09-14",9.8
"32","2018-09-17",9.75
"33","2018-09-18",9.77
"34","2018-09-19",9.78
"35","2018-09-20",9.73
"36","2018-09-21",9.75
"37","2018-09-24",9.77
"38","2018-09-25",9.77
"39","2018-09-26",9.749
"40","2018-09-27",9.75
"41","2018-09-28",9.75
"42","2018-10-01",9.75
"43","2018-10-02",9.73
"44","2018-10-03",9.733
"45","2018-10-04",9.76
"46","2018-10-05",9.72
"47","2018-10-08",9.75
"48","2018-10-09",9.72
"49","2018-10-10",9.74
"50","2018-10-11",9.74
"51","2018-10-12",9.75
"52","2018-10-15",9.73
"53","2018-10-16",9.74
"54","2018-10-17",9.75
"55","2018-10-18",9.76
"56","2018-10-19",9.82
"57","2018-10-22",9.75
"58","2018-10-23",9.76
"59","2018-10-24",9.7
"60","2018-10-25",9.76
"61","2018-10-26",9.7
"62","2018-10-29",9.75
"63","2018-10-30",9.74
"64","2018-10-31",9.71
"65","2018-11-01",9.71
"66","2018-11-02",9.75
"67","2018-11-05",9.72
"68","2018-11-06",9.77
"69","2018-11-07",9.7
"70","2018-11-08",9.7
"71","2018-11-09",9.84
"72","2018-11-12",9.83
"73","2018-11-13",9.75
"74","2018-11-14",9.8
"75","2018-11-15",9.8
"76","2018-11-16",9.85
"77","2018-11-19",9.75
"78","2018-11-20",9.81
"79","2018-11-21",9.75
"80","2018-11-23",9.83
"81","2018-11-26",9.75
"82","2018-11-27",10.06
"83","2018-11-28",9.81
"84","2018-11-29",9.87
"85","2018-11-30",9.85
"86","2018-12-03",9.82
"87","2018-12-04",9.82
"88","2018-12-06",9.85
"89","2018-12-07",9.78
"90","2018-12-10",9.88
"91","2018-12-11",9.85
"92","2018-12-12",9.87
"93","2018-12-13",9.8
"94","2018-12-14",9.72
"95","2018-12-17",9.75
"96","2018-12-18",9.75
"97","2018-12-19",9.82
"98","2018-12-20",9.8
"99","2018-12-21",9.8
"100","2018-12-24",9.8
"101","2018-12-26",9.8
"102","2018-12-27",9.73
"103","2018-12-28",9.73
"104","2018-12-31",9.8
"105","2019-01-02",9.75
"106","2019-01-03",9.75
"107","2019-01-04",9.78
"108","2019-01-07",9.81
"109","2019-01-08",9.8
"110","2019-01-09",9.82
"111","2019-01-10",9.77
"112","2019-01-11",9.84
"113","2019-01-14",9.83
"114","2019-01-15",9.85
"115","2019-01-16",9.81
"116","2019-01-17",9.85
"117","2019-01-18",9.85
"118","2019-01-22",9.83
"119","2019-01-23",9.88
"120","2019-01-24",9.87
"121","2019-01-25",9.86
"122","2019-01-28",9.87
"123","2019-01-29",9.86
"124","2019-01-30",9.89
"125","2019-01-31",9.87
"126","2019-02-01",9.95
"127","2019-02-04",9.83
"128","2019-02-05",9.86
"129","2019-02-06",9.95
"130","2019-02-07",9.95
"131","2019-02-08",9.95
"132","2019-02-11",9.94
"133","2019-02-12",9.98
"134","2019-02-13",9.93
"135","2019-02-14",9.93
"136","2019-02-15",9.89
"137","2019-02-19",9.89
"138","2019-02-20",9.86
"139","2019-02-21",9.95
"140","2019-02-22",9.9
"141","2019-02-25",9.9
"142","2019-02-26",9.95
"143","2019-02-27",9.93
"144","2019-02-28",9.93
"145","2019-03-01",9.94
"146","2019-03-04",9.95
"147","2019-03-05",10
"148","2019-03-06",10.03
"149","2019-03-07",9.97
"150","2019-03-08",9.97
"151","2019-03-11",9.96
"152","2019-03-12",9.93
"153","2019-03-13",9.95
"154","2019-03-14",9.95
"155","2019-03-15",9.98
"156","2019-03-18",9.99
"157","2019-03-19",9.98
"158","2019-03-20",9.97
"159","2019-03-21",9.94
"160","2019-03-22",9.95
"161","2019-03-25",9.97
"162","2019-03-26",10.01
"163","2019-03-27",9.99
"164","2019-03-28",9.998
"165","2019-03-29",10.02
"166","2019-04-01",9.99
"167","2019-04-02",10
"168","2019-04-03",10.02
"169","2019-04-04",9.97
"170","2019-04-05",10.01
"171","2019-04-08",10.03
"172","2019-04-09",10
"173","2019-04-10",10
"174","2019-04-11",9.99
"175","2019-04-12",10
"176","2019-04-15",10.07
"177","2019-04-16",10.07
"178","2019-04-17",10.05
"179","2019-04-18",10.05
"180","2019-04-22",10.01
"181","2019-04-23",10.06
"182","2019-04-24",10.1
"183","2019-04-25",10.08
"184","2019-04-26",10.12
"185","2019-04-29",10.1
"186","2019-04-30",10.12
"187","2019-05-01",10.12
"188","2019-05-02",10.1
"189","2019-05-03",10.1
"190","2019-05-06",10.1
"191","2019-05-07",10.09
"192","2019-05-08",10.11
"193","2019-05-09",10.06
"194","2019-05-10",10.08
"195","2019-05-13",10.06
"196","2019-05-14",10.08
"197","2019-05-15",10.1
"198","2019-05-16",10.1
"199","2019-05-17",10.1
"200","2019-05-20",10.09
"201","2019-05-21",10.09
"202","2019-05-22",10.09
"203","2019-05-23",10.06
"204","2019-05-24",10.07
"205","2019-05-28",10.07
"206","2019-05-29",10.08
"207","2019-05-30",10.08
"208","2019-05-31",10.08
"209","2019-06-03",10.1
"210","2019-06-04",10.1
"211","2019-06-05",10.1
"212","2019-06-06",10.09
"213","2019-06-07",10.1
"214","2019-06-10",10.09
"215","2019-06-11",10.087
"216","2019-06-12",10.1
"217","2019-06-13",10.09
"218","2019-06-14",10.1
"219","2019-06-17",10.1
"220","2019-06-18",10.1
"221","2019-06-19",10.11
