"","date","LYTS"
"1","2007-01-03",19.99
"2","2007-01-04",20.01
"3","2007-01-05",19.309999
"4","2007-01-08",17.02
"5","2007-01-09",15.8
"6","2007-01-10",15.48
"7","2007-01-11",15.85
"8","2007-01-12",16.17
"9","2007-01-16",16.309999
"10","2007-01-17",16.719999
"11","2007-01-18",17.1
"12","2007-01-19",17.42
"13","2007-01-22",17.25
"14","2007-01-23",17.459999
"15","2007-01-24",17.549999
"16","2007-01-25",18.530001
"17","2007-01-26",19.200001
"18","2007-01-29",19.209999
"19","2007-01-30",19.309999
"20","2007-01-31",19.09
"21","2007-02-01",19.309999
"22","2007-02-02",18.93
"23","2007-02-05",18.870001
"24","2007-02-06",19
"25","2007-02-07",19.01
"26","2007-02-08",18.59
"27","2007-02-09",18.34
"28","2007-02-12",18.190001
"29","2007-02-13",18.33
"30","2007-02-14",18.1
"31","2007-02-15",18.07
"32","2007-02-16",18.1
"33","2007-02-20",18.299999
"34","2007-02-21",18.68
"35","2007-02-22",18.24
"36","2007-02-23",17.860001
"37","2007-02-26",17.74
"38","2007-02-27",16.889999
"39","2007-02-28",16.51
"40","2007-03-01",16.709999
"41","2007-03-02",15.95
"42","2007-03-05",15.71
"43","2007-03-06",16.52
"44","2007-03-07",16.110001
"45","2007-03-08",16.459999
"46","2007-03-09",16.66
"47","2007-03-12",16.639999
"48","2007-03-13",16.24
"49","2007-03-14",16.26
"50","2007-03-15",16.41
"51","2007-03-16",16.25
"52","2007-03-19",16.540001
"53","2007-03-20",17.049999
"54","2007-03-21",17.110001
"55","2007-03-22",17.190001
"56","2007-03-23",17.09
"57","2007-03-26",16.65
"58","2007-03-27",16.950001
"59","2007-03-28",16.93
"60","2007-03-29",16.799999
"61","2007-03-30",16.74
"62","2007-04-02",16.9
"63","2007-04-03",16.389999
"64","2007-04-04",16.209999
"65","2007-04-05",16.389999
"66","2007-04-09",16.58
"67","2007-04-10",16.6
"68","2007-04-11",16.190001
"69","2007-04-12",16.030001
"70","2007-04-13",16.09
"71","2007-04-16",16.34
"72","2007-04-17",16.299999
"73","2007-04-18",16.110001
"74","2007-04-19",15.98
"75","2007-04-20",16.559999
"76","2007-04-23",16.389999
"77","2007-04-24",16.17
"78","2007-04-25",16.15
"79","2007-04-26",15.77
"80","2007-04-27",15.83
"81","2007-04-30",15.76
"82","2007-05-01",15.17
"83","2007-05-02",15.15
"84","2007-05-03",15.45
"85","2007-05-04",15.37
"86","2007-05-07",15.21
"87","2007-05-08",15.32
"88","2007-05-09",15.29
"89","2007-05-10",15.01
"90","2007-05-11",15.16
"91","2007-05-14",15
"92","2007-05-15",14.83
"93","2007-05-16",15.2
"94","2007-05-17",15.02
"95","2007-05-18",14.74
"96","2007-05-21",15
"97","2007-05-22",15.06
"98","2007-05-23",15.23
"99","2007-05-24",15.1
"100","2007-05-25",15.05
"101","2007-05-29",15.12
"102","2007-05-30",15.18
"103","2007-05-31",15.26
"104","2007-06-01",15.44
"105","2007-06-04",15.31
"106","2007-06-05",15.34
"107","2007-06-06",15.11
"108","2007-06-07",15.02
"109","2007-06-08",15.35
"110","2007-06-11",15.41
"111","2007-06-12",15.16
"112","2007-06-13",15.33
"113","2007-06-14",14.96
"114","2007-06-15",15.25
"115","2007-06-18",15.19
"116","2007-06-19",15.27
"117","2007-06-20",17.35
"118","2007-06-21",17.549999
"119","2007-06-22",17.700001
"120","2007-06-25",17.77
"121","2007-06-26",18.120001
"122","2007-06-27",17.950001
"123","2007-06-28",18
"124","2007-06-29",17.9
"125","2007-07-02",18.209999
"126","2007-07-03",18.280001
"127","2007-07-05",18.450001
"128","2007-07-06",18.629999
"129","2007-07-09",18.629999
"130","2007-07-10",18.280001
"131","2007-07-11",18.02
"132","2007-07-12",18.59
"133","2007-07-13",18.540001
"134","2007-07-16",18.610001
"135","2007-07-17",18.27
"136","2007-07-18",18.51
"137","2007-07-19",18.540001
"138","2007-07-20",17.82
"139","2007-07-23",18.120001
"140","2007-07-24",17.66
"141","2007-07-25",17.629999
"142","2007-07-26",17.1
"143","2007-07-27",16.41
"144","2007-07-30",16.440001
"145","2007-07-31",16.67
"146","2007-08-01",16.459999
"147","2007-08-02",16.450001
"148","2007-08-03",16.129999
"149","2007-08-06",16.280001
"150","2007-08-07",16.17
"151","2007-08-08",17.02
"152","2007-08-09",16.620001
"153","2007-08-10",16.91
"154","2007-08-13",17.540001
"155","2007-08-14",17.32
"156","2007-08-15",16.91
"157","2007-08-16",17
"158","2007-08-17",17.280001
"159","2007-08-20",17.719999
"160","2007-08-21",17.73
