"","date","RGNX"
"1","2015-09-17",30.450001
"2","2015-09-18",30.700001
"3","2015-09-21",29.809999
"4","2015-09-22",26.049999
"5","2015-09-23",24.51
"6","2015-09-24",26.43
"7","2015-09-25",24.99
"8","2015-09-28",20.76
"9","2015-09-29",19.52
"10","2015-09-30",22.030001
"11","2015-10-01",19.01
"12","2015-10-02",22.190001
"13","2015-10-05",23.049999
"14","2015-10-06",22.200001
"15","2015-10-07",23.4
"16","2015-10-08",20.940001
"17","2015-10-09",20.530001
"18","2015-10-12",19.280001
"19","2015-10-13",18.209999
"20","2015-10-14",17.889999
"21","2015-10-15",18.870001
"22","2015-10-16",18.549999
"23","2015-10-19",17.1
"24","2015-10-20",17.469999
"25","2015-10-21",16.48
"26","2015-10-22",15.15
"27","2015-10-23",14.15
"28","2015-10-26",14.95
"29","2015-10-27",14.68
"30","2015-10-28",15.21
"31","2015-10-29",15.54
"32","2015-10-30",15.46
"33","2015-11-02",16.440001
"34","2015-11-03",17.129999
"35","2015-11-04",18.030001
"36","2015-11-05",17.92
"37","2015-11-06",20.559999
"38","2015-11-09",21.07
"39","2015-11-10",21.530001
"40","2015-11-11",22.98
"41","2015-11-12",23.08
"42","2015-11-13",23.200001
"43","2015-11-16",21.34
"44","2015-11-17",22.26
"45","2015-11-18",22.76
"46","2015-11-19",22.985001
"47","2015-11-20",23.01
"48","2015-11-23",23.92
"49","2015-11-24",24.34
"50","2015-11-25",24.299999
"51","2015-11-27",24.780001
"52","2015-11-30",23.969999
"53","2015-12-01",23.629999
"54","2015-12-02",23.5
"55","2015-12-03",23.360001
"56","2015-12-04",23.200001
"57","2015-12-07",21.83
"58","2015-12-08",22.08
"59","2015-12-09",20.83
"60","2015-12-10",19.49
"61","2015-12-11",19.98
"62","2015-12-14",18.65
"63","2015-12-15",19.34
"64","2015-12-16",18.91
"65","2015-12-17",18.610001
"66","2015-12-18",17.799999
"67","2015-12-21",18.200001
"68","2015-12-22",18.559999
"69","2015-12-23",18.709999
"70","2015-12-24",18.32
"71","2015-12-28",17.9
"72","2015-12-29",17.610001
"73","2015-12-30",17.209999
"74","2015-12-31",16.6
"75","2016-01-04",17
"76","2016-01-05",16.9
"77","2016-01-06",16.5
"78","2016-01-07",14.67
"79","2016-01-08",13.78
"80","2016-01-11",13.78
"81","2016-01-12",13.39
"82","2016-01-13",12.51
"83","2016-01-14",12.48
"84","2016-01-15",12.6
"85","2016-01-19",12.89
"86","2016-01-20",12.65
"87","2016-01-21",12.52
"88","2016-01-22",12.69
"89","2016-01-25",12.93
"90","2016-01-26",13.56
"91","2016-01-27",13.77
"92","2016-01-28",13.09
"93","2016-01-29",13.9
"94","2016-02-01",12.82
"95","2016-02-02",12.71
"96","2016-02-03",12.34
"97","2016-02-04",12.51
"98","2016-02-05",12.73
"99","2016-02-08",12.61
"100","2016-02-09",12.11
"101","2016-02-10",12.28
"102","2016-02-11",12.07
"103","2016-02-12",13.16
"104","2016-02-16",13.94
"105","2016-02-17",14.81
"106","2016-02-18",13.89
"107","2016-02-19",13.91
"108","2016-02-22",13.78
"109","2016-02-23",13.13
"110","2016-02-24",12.97
"111","2016-02-25",13.04
"112","2016-02-26",13.08
"113","2016-02-29",12.13
"114","2016-03-01",12.8
"115","2016-03-02",12.85
"116","2016-03-03",12.77
"117","2016-03-04",13.08
"118","2016-03-07",13.06
"119","2016-03-08",12.28
"120","2016-03-09",11.78
