"","date","THR"
"1","2011-05-05",12.28
"2","2011-05-06",12.8
"3","2011-05-09",12.77
"4","2011-05-10",12.95
"5","2011-05-11",12.9
"6","2011-05-12",12.68
"7","2011-05-13",12.76
"8","2011-05-16",12.9
"9","2011-05-17",12.6
"10","2011-05-18",12.75
"11","2011-05-19",12.7
"12","2011-05-20",12.52
"13","2011-05-23",11.97
"14","2011-05-24",12.21
"15","2011-05-25",12.3
"16","2011-05-26",12.22
"17","2011-05-27",12.12
"18","2011-05-31",12.2
"19","2011-06-01",12.3
"20","2011-06-02",12.43
"21","2011-06-03",12.4
"22","2011-06-06",12.21
"23","2011-06-07",12.28
"24","2011-06-08",11.89
"25","2011-06-09",12.1
"26","2011-06-10",11.98
"27","2011-06-13",12.46
"28","2011-06-14",12.4
"29","2011-06-15",11.58
"30","2011-06-16",11.98
"31","2011-06-17",12.06
"32","2011-06-20",11.61
"33","2011-06-21",11.62
"34","2011-06-22",11.41
"35","2011-06-23",11.43
"36","2011-06-24",11.63
"37","2011-06-27",12.04
"38","2011-06-28",12.04
"39","2011-06-29",11.98
"40","2011-06-30",12
"41","2011-07-01",12.02
"42","2011-07-05",12.18
"43","2011-07-06",12.12
"44","2011-07-07",12.7
"45","2011-07-08",12.71
"46","2011-07-11",13.06
"47","2011-07-12",13.47
"48","2011-07-13",13.59
"49","2011-07-14",14.16
"50","2011-07-15",14.91
"51","2011-07-18",14.46
"52","2011-07-19",14.86
"53","2011-07-20",14.93
"54","2011-07-21",15.26
"55","2011-07-22",14.91
"56","2011-07-25",14.51
"57","2011-07-26",13.91
"58","2011-07-27",13.62
"59","2011-07-28",13.79
"60","2011-07-29",14
"61","2011-08-01",13.95
"62","2011-08-02",13.62
"63","2011-08-03",13.48
"64","2011-08-04",13.9
"65","2011-08-05",13.97
"66","2011-08-08",12.55
"67","2011-08-09",13
"68","2011-08-10",12.7
"69","2011-08-11",13.46
"70","2011-08-12",13.6
"71","2011-08-15",13.7
"72","2011-08-16",13.65
"73","2011-08-17",14.04
"74","2011-08-18",13.51
"75","2011-08-19",13
"76","2011-08-22",13.09
"77","2011-08-23",13.5
"78","2011-08-24",13.98
"79","2011-08-25",13.66
"80","2011-08-26",13.76
"81","2011-08-29",15.5
"82","2011-08-30",15.37
"83","2011-08-31",15.58
"84","2011-09-01",15.6
"85","2011-09-02",15.32
"86","2011-09-06",15.75
"87","2011-09-07",15.98
"88","2011-09-08",15.9
"89","2011-09-09",15
"90","2011-09-12",14.68
"91","2011-09-13",15.48
"92","2011-09-14",15.44
"93","2011-09-15",15.9
"94","2011-09-16",16
"95","2011-09-19",15.61
"96","2011-09-20",15.77
"97","2011-09-21",15.84
"98","2011-09-22",15.55
"99","2011-09-23",15.24
"100","2011-09-26",15.3
"101","2011-09-27",15.75
"102","2011-09-28",14.97
"103","2011-09-29",14.73
"104","2011-09-30",13.82
"105","2011-10-03",13.02
"106","2011-10-04",12.99
"107","2011-10-05",13.54
"108","2011-10-06",14
"109","2011-10-07",13.74
"110","2011-10-10",14.04
"111","2011-10-11",14.4
"112","2011-10-12",14.59
"113","2011-10-13",15.09
"114","2011-10-14",15.72
"115","2011-10-17",15.01
"116","2011-10-18",15.68
"117","2011-10-19",14.92
"118","2011-10-20",14.63
"119","2011-10-21",15.22
"120","2011-10-24",15.26
"121","2011-10-25",15.05
"122","2011-10-26",15.41
"123","2011-10-27",16.35
"124","2011-10-28",16.17
"125","2011-10-31",15.88
"126","2011-11-01",15.27
"127","2011-11-02",15.64
"128","2011-11-03",16.02
"129","2011-11-04",15.82
"130","2011-11-07",15.08
"131","2011-11-08",15.35
"132","2011-11-09",14.8
"133","2011-11-10",15.11
"134","2011-11-11",15.64
"135","2011-11-14",15.73
"136","2011-11-15",15.69
"137","2011-11-16",15.61
"138","2011-11-17",15.06
"139","2011-11-18",15.59
"140","2011-11-21",15.52
"141","2011-11-22",15.55
"142","2011-11-23",15.44
"143","2011-11-25",15.08
"144","2011-11-28",15.6
"145","2011-11-29",15.63
"146","2011-11-30",15.46
"147","2011-12-01",15.5
"148","2011-12-02",15.78
"149","2011-12-05",16.190001
"150","2011-12-06",15.99
"151","2011-12-07",16.16
"152","2011-12-08",16
"153","2011-12-09",16.48
"154","2011-12-12",16.280001
"155","2011-12-13",16.73
"156","2011-12-14",16.92
"157","2011-12-15",17.219999
"158","2011-12-16",17.08
