"","date","NNA"
"1","2008-07-07",136.5
"2","2008-07-08",136.5
"3","2008-07-09",136.199997
"4","2008-07-10",135.899994
"5","2008-07-11",135.899994
"6","2008-07-14",136.050003
"7","2008-07-15",136.649994
"8","2008-07-16",136.800003
"9","2008-07-17",136.800003
"10","2008-07-18",136.800003
"11","2008-07-21",136.800003
"12","2008-07-22",137.25
"13","2008-07-23",138
"14","2008-07-24",137.699997
"15","2008-07-25",137.699997
"16","2008-07-28",137.699997
"17","2008-07-29",137.699997
"18","2008-07-30",137.699997
"19","2008-07-31",137.699997
"20","2008-08-01",137.699997
"21","2008-08-04",137.699997
"22","2008-08-05",137.25
"23","2008-08-06",138
"24","2008-08-07",139.5
"25","2008-08-08",139.5
"26","2008-08-11",139.5
"27","2008-08-12",139.5
"28","2008-08-13",138.75
"29","2008-08-14",138.75
"30","2008-08-15",138.75
"31","2008-08-18",138.75
"32","2008-08-19",138.75
"33","2008-08-20",138.75
"34","2008-08-21",138.75
"35","2008-08-22",138.75
"36","2008-08-25",138.449997
"37","2008-08-26",139.5
"38","2008-08-27",139.5
"39","2008-08-28",139.5
"40","2008-08-29",141
"41","2008-09-02",141
"42","2008-09-03",141
"43","2008-09-04",141
"44","2008-09-05",138.75
"45","2008-09-08",138.75
"46","2008-09-09",138.75
"47","2008-09-10",138.75
"48","2008-09-11",138.75
"49","2008-09-12",138.75
"50","2008-09-15",138
"51","2008-09-16",138
"52","2008-09-17",138
"53","2008-09-18",137.399994
"54","2008-09-19",137.399994
"55","2008-09-22",136.649994
"56","2008-09-23",136.649994
"57","2008-09-24",134.550003
"58","2008-09-25",137.550003
"59","2008-09-26",137.100006
"60","2008-09-29",133.350006
"61","2008-09-30",131.850006
"62","2008-10-01",128.699997
"63","2008-10-02",128.550003
"64","2008-10-03",128.25
"65","2008-10-06",127.800003
"66","2008-10-07",122.25
"67","2008-10-08",122.25
"68","2008-10-09",122.25
"69","2008-10-10",121.199997
"70","2008-10-13",128.699997
"71","2008-10-14",124.5
"72","2008-10-15",121.199997
"73","2008-10-16",123.150002
"74","2008-10-17",122.849998
"75","2008-10-20",125.699997
"76","2008-10-21",130.5
"77","2008-10-22",126.75
"78","2008-10-23",124.650002
"79","2008-10-24",127.5
"80","2008-10-27",126.75
"81","2008-10-28",126.75
"82","2008-10-29",126
"83","2008-10-30",126
"84","2008-10-31",127.050003
"85","2008-11-03",127.050003
"86","2008-11-04",125.25
"87","2008-11-05",124.650002
"88","2008-11-06",124.949997
"89","2008-11-07",125.25
"90","2008-11-10",126
"91","2008-11-11",124.800003
"92","2008-11-12",124.650002
"93","2008-11-13",124.5
"94","2008-11-14",124.5
