"","date","PDEX"
"1","2007-01-03",4.38
"2","2007-01-04",4.41
"3","2007-01-05",4.26
"4","2007-01-08",4.38
"5","2007-01-09",4.29
"6","2007-01-10",4.41
"7","2007-01-11",4.26
"8","2007-01-12",4.29
"9","2007-01-16",4.29
"10","2007-01-17",4.5
"11","2007-01-18",4.47
"12","2007-01-19",4.41
"13","2007-01-22",4.32
"14","2007-01-23",4.2
"15","2007-01-24",4.11
"16","2007-01-25",4.08
"17","2007-01-26",4.11
"18","2007-01-29",3.96
"19","2007-01-30",4.02
"20","2007-01-31",4.05
"21","2007-02-01",4.2
"22","2007-02-02",3.96
"23","2007-02-05",3.69
"24","2007-02-06",3.81
"25","2007-02-07",4.08
"26","2007-02-08",3.9
"27","2007-02-09",4.2
"28","2007-02-12",4.14
"29","2007-02-13",4.2
"30","2007-02-14",4.02
"31","2007-02-15",3.81
"32","2007-02-16",3.93
"33","2007-02-20",3.96
"34","2007-02-21",4.14
"35","2007-02-22",4.2
"36","2007-02-23",4.11
"37","2007-02-26",4.05
"38","2007-02-27",3.87
"39","2007-02-28",4.05
"40","2007-03-01",3.9
"41","2007-03-02",3.99
"42","2007-03-05",4.05
"43","2007-03-06",3.99
"44","2007-03-07",3.99
"45","2007-03-08",4.05
"46","2007-03-09",4.05
"47","2007-03-12",3.99
"48","2007-03-13",4.2
"49","2007-03-14",4.02
"50","2007-03-15",3.93
"51","2007-03-16",4.11
"52","2007-03-19",3.9
"53","2007-03-20",3.99
"54","2007-03-21",4.02
"55","2007-03-22",4.2
"56","2007-03-23",4.14
"57","2007-03-26",4.11
"58","2007-03-27",3.99
"59","2007-03-28",3.96
"60","2007-03-29",3.96
"61","2007-03-30",4.08
"62","2007-04-02",4.11
"63","2007-04-03",4.14
"64","2007-04-04",3.96
"65","2007-04-05",3.96
"66","2007-04-09",3.96
"67","2007-04-10",3.93
"68","2007-04-11",3.93
"69","2007-04-12",3.93
"70","2007-04-13",4.02
"71","2007-04-16",3.99
"72","2007-04-17",4.05
"73","2007-04-18",4.17
"74","2007-04-19",4.08
"75","2007-04-20",4.2
"76","2007-04-23",4.32
"77","2007-04-24",4.14
"78","2007-04-25",4.29
"79","2007-04-26",4.26
"80","2007-04-27",4.29
"81","2007-04-30",4.29
"82","2007-05-01",4.29
"83","2007-05-02",4.2
"84","2007-05-03",4.47
"85","2007-05-04",4.35
"86","2007-05-07",4.41
"87","2007-05-08",4.38
"88","2007-05-09",4.41
"89","2007-05-10",4.02
"90","2007-05-11",4.38
"91","2007-05-14",4.38
"92","2007-05-15",4.14
"93","2007-05-16",4.23
"94","2007-05-17",4.29
"95","2007-05-18",4.38
"96","2007-05-21",4.35
"97","2007-05-22",4.95
"98","2007-05-23",4.86
"99","2007-05-24",4.44
"100","2007-05-25",4.65
"101","2007-05-29",4.89
"102","2007-05-30",5.01
"103","2007-05-31",4.89
"104","2007-06-01",5.04
"105","2007-06-04",4.89
"106","2007-06-05",4.83
"107","2007-06-06",4.83
"108","2007-06-07",4.8
"109","2007-06-08",4.68
"110","2007-06-11",4.62
"111","2007-06-12",4.62
"112","2007-06-13",4.65
"113","2007-06-14",4.53
"114","2007-06-15",4.62
"115","2007-06-18",4.56
"116","2007-06-19",4.59
"117","2007-06-20",4.59
"118","2007-06-21",4.68
"119","2007-06-22",4.8
"120","2007-06-25",4.83
"121","2007-06-26",4.86
"122","2007-06-27",4.86
"123","2007-06-28",4.74
"124","2007-06-29",4.74
"125","2007-07-02",4.68
"126","2007-07-03",4.62
"127","2007-07-05",4.86
"128","2007-07-06",4.89
"129","2007-07-09",5.01
"130","2007-07-10",5.19
"131","2007-07-11",5.82
"132","2007-07-12",5.4
"133","2007-07-13",5.52
"134","2007-07-16",5.61
"135","2007-07-17",5.67
"136","2007-07-18",5.61
"137","2007-07-19",5.34
"138","2007-07-20",5.25
"139","2007-07-23",5.34
"140","2007-07-24",5.52
"141","2007-07-25",5.49
"142","2007-07-26",5.22
"143","2007-07-27",5.19
"144","2007-07-30",5.16
"145","2007-07-31",5.07
"146","2007-08-01",5.01
"147","2007-08-02",4.8
"148","2007-08-03",4.8
"149","2007-08-06",4.68
"150","2007-08-07",4.86
"151","2007-08-08",4.83
"152","2007-08-09",4.95
"153","2007-08-10",4.83
"154","2007-08-13",4.86
"155","2007-08-14",4.92
"156","2007-08-15",4.86
"157","2007-08-16",4.8
"158","2007-08-17",4.41
"159","2007-08-20",4.71
"160","2007-08-21",4.65
"161","2007-08-22",4.59
"162","2007-08-23",4.89
"163","2007-08-24",4.47
"164","2007-08-27",4.47
"165","2007-08-28",4.44
"166","2007-08-29",4.5
"167","2007-08-30",4.86
"168","2007-08-31",4.71
"169","2007-09-04",4.5
"170","2007-09-05",4.65
"171","2007-09-06",4.5
"172","2007-09-07",4.47
"173","2007-09-10",4.5
"174","2007-09-11",4.59
"175","2007-09-12",4.5
"176","2007-09-13",4.53
"177","2007-09-14",4.41
"178","2007-09-17",4.35
"179","2007-09-18",4.38
"180","2007-09-19",4.41
"181","2007-09-20",4.35
"182","2007-09-21",4.17
"183","2007-09-24",4.08
"184","2007-09-25",4.29
"185","2007-09-26",4.35
"186","2007-09-27",4.35
"187","2007-09-28",4.44
"188","2007-10-01",4.65
"189","2007-10-02",4.35
"190","2007-10-03",4.35
"191","2007-10-04",4.44
"192","2007-10-05",4.44
"193","2007-10-08",4.44
"194","2007-10-09",4.2
"195","2007-10-10",4.5
"196","2007-10-11",4.23
"197","2007-10-12",4.47
"198","2007-10-15",4.05
"199","2007-10-16",4.29
"200","2007-10-17",4.05
"201","2007-10-18",4.17
"202","2007-10-19",4.02
"203","2007-10-22",4.26
"204","2007-10-23",4.11
"205","2007-10-24",4.23
"206","2007-10-25",4.2
"207","2007-10-26",4.2
"208","2007-10-29",4.05
"209","2007-10-30",4.29
"210","2007-10-31",4.38
"211","2007-11-01",4.38
"212","2007-11-02",4.35
"213","2007-11-05",3.96
"214","2007-11-06",4.2
"215","2007-11-07",4.2
"216","2007-11-08",4.02
"217","2007-11-09",3.99
"218","2007-11-12",4.05
"219","2007-11-13",4.17
"220","2007-11-14",4.5
"221","2007-11-15",4.47
"222","2007-11-16",4.56
"223","2007-11-19",4.47
"224","2007-11-20",4.35
"225","2007-11-21",4.5
"226","2007-11-23",4.44
"227","2007-11-26",4.41
"228","2007-11-27",4.26
"229","2007-11-28",4.17
"230","2007-11-29",4.14
"231","2007-11-30",4.2
