"","date","BRC"
"1","2007-01-03",37.279999
"2","2007-01-04",36.98
"3","2007-01-05",36.509998
"4","2007-01-08",36.59
"5","2007-01-09",36.790001
"6","2007-01-10",36.310001
"7","2007-01-11",36.59
"8","2007-01-12",36.650002
"9","2007-01-16",36.380001
"10","2007-01-17",36.150002
"11","2007-01-18",36.009998
"12","2007-01-19",36.349998
"13","2007-01-22",35.82
"14","2007-01-23",36.59
"15","2007-01-24",36.830002
"16","2007-01-25",36.869999
"17","2007-01-26",37.27
"18","2007-01-29",37.470001
"19","2007-01-30",37.59
"20","2007-01-31",37.450001
"21","2007-02-01",37.849998
"22","2007-02-02",37.799999
"23","2007-02-05",37.93
"24","2007-02-06",38.279999
"25","2007-02-07",38.16
"26","2007-02-08",38.369999
"27","2007-02-09",34.810001
"28","2007-02-12",33.970001
"29","2007-02-13",34.09
"30","2007-02-14",34.759998
"31","2007-02-15",34.630001
"32","2007-02-16",34.860001
"33","2007-02-20",34.959999
"34","2007-02-21",34.599998
"35","2007-02-22",34.310001
"36","2007-02-23",34.299999
"37","2007-02-26",34.09
"38","2007-02-27",33.360001
"39","2007-02-28",32.740002
"40","2007-03-01",33
"41","2007-03-02",32.150002
"42","2007-03-05",31.67
"43","2007-03-06",32.02
"44","2007-03-07",31.49
"45","2007-03-08",31.629999
"46","2007-03-09",31.6
"47","2007-03-12",31.700001
"48","2007-03-13",31.32
"49","2007-03-14",31.440001
"50","2007-03-15",31.48
"51","2007-03-16",31.309999
"52","2007-03-19",31.280001
"53","2007-03-20",31.9
"54","2007-03-21",32.43
"55","2007-03-22",32.490002
"56","2007-03-23",32.68
"57","2007-03-26",32.799999
"58","2007-03-27",32.490002
"59","2007-03-28",31.200001
"60","2007-03-29",31.120001
"61","2007-03-30",31.200001
"62","2007-04-02",30.99
"63","2007-04-03",31.09
"64","2007-04-04",31.059999
"65","2007-04-05",30.950001
"66","2007-04-09",30.91
"67","2007-04-10",31.110001
"68","2007-04-11",31.049999
"69","2007-04-12",31.02
"70","2007-04-13",31.34
"71","2007-04-16",31.969999
"72","2007-04-17",31.719999
"73","2007-04-18",31.41
"74","2007-04-19",31.139999
"75","2007-04-20",31.549999
"76","2007-04-23",31.51
"77","2007-04-24",31.57
"78","2007-04-25",32.330002
"79","2007-04-26",33.93
"80","2007-04-27",33.740002
"81","2007-04-30",32.860001
"82","2007-05-01",33.32
"83","2007-05-02",33.75
"84","2007-05-03",33.490002
"85","2007-05-04",33.240002
"86","2007-05-07",33.23
"87","2007-05-08",33.130001
"88","2007-05-09",33.419998
"89","2007-05-10",32.73
"90","2007-05-11",33.25
"91","2007-05-14",32.900002
"92","2007-05-15",32.82
"93","2007-05-16",33.459999
"94","2007-05-17",34.619999
"95","2007-05-18",36.549999
"96","2007-05-21",36.880001
"97","2007-05-22",37.139999
"98","2007-05-23",36.93
"99","2007-05-24",36.139999
"100","2007-05-25",36.830002
"101","2007-05-29",36.810001
"102","2007-05-30",37.16
"103","2007-05-31",37.139999
"104","2007-06-01",37.73
"105","2007-06-04",37.540001
"106","2007-06-05",37.029999
"107","2007-06-06",36.619999
"108","2007-06-07",35.860001
"109","2007-06-08",36.080002
"110","2007-06-11",35.939999
"111","2007-06-12",35.619999
"112","2007-06-13",36.150002
"113","2007-06-14",36.110001
"114","2007-06-15",36.689999
"115","2007-06-18",36.25
"116","2007-06-19",36.330002
"117","2007-06-20",36.169998
"118","2007-06-21",36.330002
