"","date","ITUB"
"1","2007-01-03",7.354871
"2","2007-01-04",7.322815
"3","2007-01-05",7.092412
"4","2007-01-08",7.146506
"5","2007-01-09",6.966191
"6","2007-01-10",6.998247
"7","2007-01-11",7.092412
"8","2007-01-12",7.184573
"9","2007-01-16",7.276734
"10","2007-01-17",7.252692
"11","2007-01-18",7.230654
"12","2007-01-19",7.38292
"13","2007-01-22",7.360881
"14","2007-01-23",7.400952
"15","2007-01-24",7.485099
"16","2007-01-25",7.288755
"17","2007-01-26",7.447032
"18","2007-01-29",7.256699
"19","2007-01-30",7.332832
"20","2007-01-31",7.406962
"21","2007-02-01",7.521162
"22","2007-02-02",7.513148
"23","2007-02-05",7.575257
"24","2007-02-06",7.571249
"25","2007-02-07",7.571249
"26","2007-02-08",7.5432
"27","2007-02-09",7.426997
"28","2007-02-12",7.322815
"29","2007-02-13",7.254696
"30","2007-02-14",7.493113
"31","2007-02-15",7.487103
"32","2007-02-16",7.364889
"33","2007-02-20",7.41698
"34","2007-02-21",7.364889
"35","2007-02-22",7.352868
"36","2007-02-23",7.212622
"37","2007-02-26",7.252692
"38","2007-02-27",6.755823
"39","2007-02-28",6.843977
"40","2007-03-01",6.771851
"41","2007-03-02",6.549461
"42","2007-03-05",6.423241
"43","2007-03-06",6.813924
"44","2007-03-07",6.713749
"45","2007-03-08",6.827949
"46","2007-03-09",6.946156
"47","2007-03-12",7.018282
"48","2007-03-13",6.735787
"49","2007-03-14",6.773854
"50","2007-03-15",6.775858
"51","2007-03-16",6.695717
"52","2007-03-19",6.948159
"53","2007-03-20",7.00025
"54","2007-03-21",7.340847
"55","2007-03-22",7.326822
"56","2007-03-23",7.266717
"57","2007-03-26",7.282745
"58","2007-03-27",7.190584
"59","2007-03-28",6.932131
"60","2007-03-29",7.04032
"61","2007-03-30",6.976208
"62","2007-04-02",6.948159
"63","2007-04-03",7.142499
"64","2007-04-04",7.274731
"65","2007-04-05",7.332832
"66","2007-04-09",7.42299
"67","2007-04-10",7.426997
"68","2007-04-11",7.258703
"69","2007-04-12",7.340847
"70","2007-04-13",7.433008
"71","2007-04-16",7.617331
"72","2007-04-17",7.799649
"73","2007-04-18",7.68545
"74","2007-04-19",7.773604
"75","2007-04-20",7.913849
"76","2007-04-23",7.835712
"77","2007-04-24",7.681443
"78","2007-04-25",7.901828
"79","2007-04-26",7.921863
"80","2007-04-27",7.863761
"81","2007-04-30",7.729527
"82","2007-05-01",7.777611
"83","2007-05-02",8.002004
"84","2007-05-03",8.184322
"85","2007-05-04",8.218382
"86","2007-05-07",8.318558
"87","2007-05-08",8.31455
"88","2007-05-09",8.639118
"89","2007-05-10",8.288505
"90","2007-05-11",8.498873
"91","2007-05-14",8.300526
"92","2007-05-15",8.402705
"93","2007-05-16",8.803406
"94","2007-05-17",8.921613
"95","2007-05-18",9.125971
"96","2007-05-21",9.230153
"97","2007-05-22",9.105935
"98","2007-05-23",8.945655
"99","2007-05-24",8.599049
"100","2007-05-25",8.781367
"101","2007-05-29",8.803406
"102","2007-05-30",8.88555
"103","2007-05-31",8.833459
"104","2007-06-01",9.144002
"105","2007-06-04",8.983722
"106","2007-06-05",8.85149
"107","2007-06-06",8.661157
"108","2007-06-07",8.452792
"109","2007-06-08",8.621087
"110","2007-06-11",8.81142
"111","2007-06-12",8.564989
"112","2007-06-13",8.831455
"113","2007-06-14",8.991735
"114","2007-06-15",9.156023
"115","2007-06-18",9.144002
"116","2007-06-19",9.178061
"117","2007-06-20",8.96569
"118","2007-06-21",9.073879
"119","2007-06-22",8.897571
"120","2007-06-25",8.821438
"121","2007-06-26",8.763336
"122","2007-06-27",8.84548
"123","2007-06-28",8.919609
"124","2007-06-29",8.903582
"125","2007-07-02",9.083897
"126","2007-07-03",9.083897
"127","2007-07-05",8.997746
"128","2007-07-06",9.117956
"129","2007-07-09",9.19409
"130","2007-07-10",9.019785
"131","2007-07-11",9.304282
"132","2007-07-12",9.755072
"133","2007-07-13",9.77711
"134","2007-07-16",9.915352
"135","2007-07-17",9.989482
"136","2007-07-18",10.063611
"137","2007-07-19",10.197846
"138","2007-07-20",9.955422
"139","2007-07-23",10.229902
"140","2007-07-24",9.596794
"141","2007-07-25",9.562735
"142","2007-07-26",9.07989
"143","2007-07-27",8.865515
"144","2007-07-30",9.204107
"145","2007-07-31",9.164037
"146","2007-08-01",9.146006
"147","2007-08-02",9.306286
"148","2007-08-03",8.813423
"149","2007-08-06",9.043827
"150","2007-08-07",8.775357
"151","2007-08-08",8.899574
"152","2007-08-09",8.585024
"153","2007-08-10",8.53694
"154","2007-08-13",8.382669
"155","2007-08-14",8.090158
"156","2007-08-15",7.595292
"157","2007-08-16",7.26872
"158","2007-08-17",7.841723
"159","2007-08-20",7.91986
"160","2007-08-21",7.975958
"161","2007-08-22",8.352617
"162","2007-08-23",8.374656
"163","2007-08-24",8.647133
