"","date","OPES"
"1","2018-03-26",9.68
"2","2018-03-27",9.75
"3","2018-03-28",9.79
"4","2018-03-29",9.691
"5","2018-04-02",9.68
"6","2018-04-03",9.7
"7","2018-04-04",9.7
"8","2018-04-05",9.7
"9","2018-04-06",9.88
"10","2018-04-09",9.7
"11","2018-04-10",9.69
"12","2018-04-11",9.69
"13","2018-04-12",9.68
"14","2018-04-13",9.68
"15","2018-04-16",9.68
"16","2018-04-17",9.68
"17","2018-04-18",9.68
"18","2018-04-19",9.68
"19","2018-04-20",9.68
"20","2018-04-23",9.68
"21","2018-04-24",9.68
"22","2018-04-25",9.68
"23","2018-04-26",9.69
"24","2018-04-27",9.69
"25","2018-04-30",9.68
"26","2018-05-01",9.7
"27","2018-05-02",9.71
"28","2018-05-03",9.71
"29","2018-05-04",9.75
"30","2018-05-07",9.69
"31","2018-05-08",9.69
"32","2018-05-09",9.69
"33","2018-05-10",9.69
"34","2018-05-11",9.69
"35","2018-05-14",9.72
"36","2018-05-15",9.72
"37","2018-05-16",9.72
"38","2018-05-17",9.694
"39","2018-05-18",9.694
"40","2018-05-21",9.694
"41","2018-05-22",9.694
"42","2018-05-23",9.694
"43","2018-05-24",9.69
"44","2018-05-25",9.69
"45","2018-05-29",9.69
"46","2018-05-30",9.7
"47","2018-05-31",9.71
"48","2018-06-01",9.71
"49","2018-06-04",9.71
"50","2018-06-05",9.72
"51","2018-06-06",9.72
"52","2018-06-07",9.7
"53","2018-06-08",9.7
"54","2018-06-11",9.7
"55","2018-06-12",9.7
"56","2018-06-13",9.7
"57","2018-06-14",9.7
"58","2018-06-15",9.7
"59","2018-06-18",9.7
"60","2018-06-19",9.7
"61","2018-06-20",9.7
"62","2018-06-21",9.7
"63","2018-06-22",9.7
"64","2018-06-25",9.7
"65","2018-06-26",9.7
"66","2018-06-27",9.7
"67","2018-06-28",9.7
"68","2018-06-29",9.7
"69","2018-07-02",9.7
"70","2018-07-03",9.73
"71","2018-07-05",9.73
"72","2018-07-06",9.73
"73","2018-07-09",9.73
"74","2018-07-10",9.76
"75","2018-07-11",9.76
"76","2018-07-12",9.76
"77","2018-07-13",9.76
"78","2018-07-16",9.76
"79","2018-07-17",9.76
"80","2018-07-18",9.76
"81","2018-07-19",9.76
"82","2018-07-20",9.76
"83","2018-07-23",9.76
"84","2018-07-24",9.76
"85","2018-07-25",9.76
"86","2018-07-26",9.74
"87","2018-07-27",9.74
"88","2018-07-30",9.74
"89","2018-07-31",9.77
"90","2018-08-01",9.77
"91","2018-08-02",9.77
"92","2018-08-03",9.77
"93","2018-08-06",9.77
"94","2018-08-07",9.78
"95","2018-08-08",9.78
"96","2018-08-09",9.78
