"","date","SOGO"
"1","2017-11-09",13.5
"2","2017-11-10",13.85
"3","2017-11-13",13.82
"4","2017-11-14",13
"5","2017-11-15",12.69
"6","2017-11-16",13.27
"7","2017-11-17",13.19
"8","2017-11-20",13.55
"9","2017-11-21",13.7
"10","2017-11-22",13.55
"11","2017-11-24",13.05
"12","2017-11-27",13.05
"13","2017-11-28",12.92
"14","2017-11-29",13.05
"15","2017-11-30",12.3
"16","2017-12-01",11.16
"17","2017-12-04",11
"18","2017-12-05",11.7
"19","2017-12-06",11.43
"20","2017-12-07",11.63
"21","2017-12-08",11.65
"22","2017-12-11",11.94
"23","2017-12-12",11.67
"24","2017-12-13",11.4
"25","2017-12-14",11.1
"26","2017-12-15",11.19
"27","2017-12-18",11.37
"28","2017-12-19",11.72
"29","2017-12-20",11.61
"30","2017-12-21",11.6
"31","2017-12-22",11.66
"32","2017-12-26",11.72
"33","2017-12-27",11.81
"34","2017-12-28",11.74
"35","2017-12-29",11.57
"36","2018-01-02",11.9
"37","2018-01-03",11.9
"38","2018-01-04",12.17
"39","2018-01-05",12.53
"40","2018-01-08",12.82
"41","2018-01-09",12.62
"42","2018-01-10",12.61
"43","2018-01-11",12.46
"44","2018-01-12",12.33
"45","2018-01-16",12.16
"46","2018-01-17",11.75
"47","2018-01-18",11.47
"48","2018-01-19",11.44
"49","2018-01-22",11.18
"50","2018-01-23",11.29
"51","2018-01-24",11.62
"52","2018-01-25",11.53
"53","2018-01-26",12.32
"54","2018-01-29",11.17
"55","2018-01-30",10.65
"56","2018-01-31",10.28
"57","2018-02-01",10.28
"58","2018-02-02",10.2
"59","2018-02-05",9.53
"60","2018-02-06",10.29
"61","2018-02-07",9.47
"62","2018-02-08",9.03
"63","2018-02-09",8.74
"64","2018-02-12",9.11
"65","2018-02-13",9.78
"66","2018-02-14",9.45
"67","2018-02-15",9.48
"68","2018-02-16",9.42
"69","2018-02-20",9.28
"70","2018-02-21",9.34
"71","2018-02-22",9.26
"72","2018-02-23",9.08
"73","2018-02-26",9.14
"74","2018-02-27",8.95
"75","2018-02-28",8.8
"76","2018-03-01",8.97
"77","2018-03-02",9.33
"78","2018-03-05",9.34
"79","2018-03-06",9.63
"80","2018-03-07",9.68
"81","2018-03-08",9.9
"82","2018-03-09",9.68
"83","2018-03-12",9.48
"84","2018-03-13",9.52
"85","2018-03-14",9.53
"86","2018-03-15",9.49
"87","2018-03-16",9.8
"88","2018-03-19",9.59
"89","2018-03-20",9.44
"90","2018-03-21",9.28
"91","2018-03-22",8.96
"92","2018-03-23",8.41
"93","2018-03-26",8.32
"94","2018-03-27",8.27
"95","2018-03-28",8.2
"96","2018-03-29",8.25
"97","2018-04-02",8.11
"98","2018-04-03",8.13
"99","2018-04-04",8.59
"100","2018-04-05",8.24
"101","2018-04-06",8.12
"102","2018-04-09",8.32
"103","2018-04-10",8.7
"104","2018-04-11",8.52
"105","2018-04-12",8.65
"106","2018-04-13",8.77
"107","2018-04-16",8.57
"108","2018-04-17",8.56
"109","2018-04-18",8.52
"110","2018-04-19",8.47
"111","2018-04-20",8.47
"112","2018-04-23",8.37
"113","2018-04-24",8.56
"114","2018-04-25",8.25
"115","2018-04-26",8.5
"116","2018-04-27",8.81
"117","2018-04-30",8.6
"118","2018-05-01",8.49
"119","2018-05-02",8.5
"120","2018-05-03",8.61
"121","2018-05-04",8.5
"122","2018-05-07",8.67
"123","2018-05-08",8.77
"124","2018-05-09",9.26
"125","2018-05-10",9.47
"126","2018-05-11",9.49
"127","2018-05-14",9.65
"128","2018-05-15",9.5
"129","2018-05-16",9.4
"130","2018-05-17",9.48
"131","2018-05-18",9.63
"132","2018-05-21",9.85
"133","2018-05-22",9.68
"134","2018-05-23",9.66
"135","2018-05-24",9.71
"136","2018-05-25",9.78
"137","2018-05-29",9.6
"138","2018-05-30",9.5
"139","2018-05-31",9.53
"140","2018-06-01",9.61
"141","2018-06-04",10.88
"142","2018-06-05",11.19
"143","2018-06-06",11.33
"144","2018-06-07",10.97
"145","2018-06-08",11.33
"146","2018-06-11",12.25
"147","2018-06-12",12.75
"148","2018-06-13",12.47
"149","2018-06-14",13.38
"150","2018-06-15",13.85
"151","2018-06-18",15.43
"152","2018-06-19",13.93
"153","2018-06-20",14.02
"154","2018-06-21",12.53
"155","2018-06-22",11.73
"156","2018-06-25",11.58
"157","2018-06-26",11.72
"158","2018-06-27",11.28
"159","2018-06-28",11.36
"160","2018-06-29",11.43
"161","2018-07-02",10.99
"162","2018-07-03",10.85
"163","2018-07-05",10.44
"164","2018-07-06",10.76
"165","2018-07-09",11.06
"166","2018-07-10",10.61
"167","2018-07-11",10.41
"168","2018-07-12",11.07
"169","2018-07-13",10.78
"170","2018-07-16",11.13
"171","2018-07-17",12.02
"172","2018-07-18",11.73
"173","2018-07-19",11.29
"174","2018-07-20",11.38
"175","2018-07-23",11.23
"176","2018-07-24",10.61
"177","2018-07-25",10.94
"178","2018-07-26",10.77
"179","2018-07-27",10.33
"180","2018-07-30",9.55
"181","2018-07-31",9.21
"182","2018-08-01",9.45
"183","2018-08-02",9.09
"184","2018-08-03",9.37
"185","2018-08-06",9.24
"186","2018-08-07",9.3
"187","2018-08-08",9
"188","2018-08-09",9.02
"189","2018-08-10",8.96
