"","date","CIIC"
"1","2020-02-03",9.95
"2","2020-02-04",9.94
"3","2020-02-05",9.94
"4","2020-02-06",9.94
"5","2020-02-07",9.92
"6","2020-02-10",9.92
"7","2020-02-11",9.92
"8","2020-02-12",9.95
"9","2020-02-13",9.95
"10","2020-02-14",9.95
"11","2020-02-18",9.95
"12","2020-02-19",9.95
"13","2020-02-20",9.9
"14","2020-02-21",9.9
"15","2020-02-24",9.9
"16","2020-02-25",9.9
"17","2020-02-26",9.91
"18","2020-02-27",9.91
"19","2020-02-28",9.9
"20","2020-03-02",9.9
"21","2020-03-03",9.9
"22","2020-03-04",9.9
"23","2020-03-05",9.9
"24","2020-03-06",9.9
"25","2020-03-09",9.9
"26","2020-03-10",9.9
"27","2020-03-11",9.85
"28","2020-03-12",9.8
"29","2020-03-13",9.75
"30","2020-03-16",9.75
"31","2020-03-17",9.75
"32","2020-03-18",9.6
"33","2020-03-19",9.5
"34","2020-03-20",9.538
"35","2020-03-23",9.35
"36","2020-03-24",9.65
"37","2020-03-25",9.65
"38","2020-03-26",9.67
"39","2020-03-27",9.7
"40","2020-03-30",9.7
"41","2020-03-31",9.7
"42","2020-04-01",9.575
"43","2020-04-02",9.56
"44","2020-04-03",9.56
"45","2020-04-06",9.56
"46","2020-04-07",9.56
"47","2020-04-08",9.68
"48","2020-04-09",9.7
"49","2020-04-13",9.7
"50","2020-04-14",9.71
"51","2020-04-15",9.73
"52","2020-04-16",9.725
"53","2020-04-17",9.725
"54","2020-04-20",9.7
"55","2020-04-21",9.75
"56","2020-04-22",9.75
"57","2020-04-23",9.75
"58","2020-04-24",9.72
"59","2020-04-27",9.72
"60","2020-04-28",9.72
"61","2020-04-29",9.72
"62","2020-04-30",9.72
"63","2020-05-01",9.58
"64","2020-05-04",9.7
"65","2020-05-05",9.7
"66","2020-05-06",9.7
"67","2020-05-07",9.7
"68","2020-05-08",9.7
"69","2020-05-11",9.7
"70","2020-05-12",9.7
"71","2020-05-13",9.7
"72","2020-05-14",9.7
"73","2020-05-15",9.725
"74","2020-05-18",9.725
"75","2020-05-19",9.7
"76","2020-05-20",9.7
"77","2020-05-21",9.7
"78","2020-05-22",9.7
"79","2020-05-26",9.7
"80","2020-05-27",9.7
"81","2020-05-28",9.7
"82","2020-05-29",9.7
"83","2020-06-01",9.7
"84","2020-06-02",9.72
"85","2020-06-03",9.72
"86","2020-06-04",9.77
"87","2020-06-05",9.85
"88","2020-06-08",9.85
"89","2020-06-09",9.85
"90","2020-06-10",9.85
"91","2020-06-11",9.85
"92","2020-06-12",9.85
"93","2020-06-15",9.85
"94","2020-06-16",9.78
"95","2020-06-17",9.8
"96","2020-06-18",9.9
"97","2020-06-19",9.8
"98","2020-06-22",9.9
"99","2020-06-23",9.82
"100","2020-06-24",9.86
"101","2020-06-25",9.8
"102","2020-06-26",9.8
"103","2020-06-29",9.8
"104","2020-06-30",9.9
"105","2020-07-01",9.85
"106","2020-07-02",9.9
"107","2020-07-06",9.9
"108","2020-07-07",9.88
"109","2020-07-08",9.86
"110","2020-07-09",9.99
"111","2020-07-10",9.99
"112","2020-07-13",9.99
"113","2020-07-14",10.01
"114","2020-07-15",10.07
"115","2020-07-16",10.14
"116","2020-07-17",10.25
"117","2020-07-20",10.18
"118","2020-07-21",10.3
"119","2020-07-22",10.3
"120","2020-07-23",10.3
"121","2020-07-24",10.3
"122","2020-07-27",10.3
"123","2020-07-28",10.3
"124","2020-07-29",10.3
"125","2020-07-30",10.3
"126","2020-07-31",10.05
"127","2020-08-03",10.15
"128","2020-08-04",10.15
"129","2020-08-05",10.125
"130","2020-08-06",10.2
"131","2020-08-07",10.08
"132","2020-08-10",10.06
"133","2020-08-11",10.06
"134","2020-08-12",10.115
"135","2020-08-13",10.1
"136","2020-08-14",10.1
"137","2020-08-17",10.03
"138","2020-08-18",10
"139","2020-08-19",9.98
"140","2020-08-20",9.95
"141","2020-08-21",10.04
"142","2020-08-24",10.04
"143","2020-08-25",10.04
"144","2020-08-26",10.04
"145","2020-08-27",10.04
"146","2020-08-28",10.1
"147","2020-08-31",9.97
