"","date","SNES"
"1","2016-12-08",163.199997
"2","2016-12-09",160
"3","2016-12-12",160
"4","2016-12-13",160
"5","2016-12-14",160
"6","2016-12-15",160
"7","2016-12-16",160
"8","2016-12-19",162
"9","2016-12-20",162.759995
"10","2016-12-21",160.800003
"11","2016-12-22",160.339996
"12","2016-12-23",163.800003
"13","2016-12-27",165
"14","2016-12-28",160
"15","2016-12-29",163
"16","2016-12-30",163
"17","2017-01-03",160.399994
"18","2017-01-04",164.600006
"19","2017-01-05",164.800003
"20","2017-01-06",163.199997
"21","2017-01-09",156.600006
"22","2017-01-10",157.800003
"23","2017-01-11",162
"24","2017-01-12",161.399994
"25","2017-01-13",187.600006
"26","2017-01-17",195
"27","2017-01-18",197.399994
"28","2017-01-19",188
"29","2017-01-20",176.300003
"30","2017-01-23",150
"31","2017-01-24",147.600006
"32","2017-01-25",144.399994
"33","2017-01-26",142.600006
"34","2017-01-27",149.800003
"35","2017-01-30",151.199997
"36","2017-01-31",154.800003
"37","2017-02-01",162.899994
"38","2017-02-02",166
"39","2017-02-03",170
"40","2017-02-06",169.199997
"41","2017-02-07",172
"42","2017-02-08",171.399994
"43","2017-02-09",169
"44","2017-02-10",169.800003
"45","2017-02-13",167
"46","2017-02-14",163
"47","2017-02-15",163
"48","2017-02-16",160
"49","2017-02-17",161.199997
"50","2017-02-21",162
"51","2017-02-22",163.399994
"52","2017-02-23",161.600006
"53","2017-02-24",162.199997
"54","2017-02-27",162.399994
"55","2017-02-28",162.199997
"56","2017-03-01",167.800003
"57","2017-03-02",165.199997
"58","2017-03-03",170
"59","2017-03-06",177.399994
"60","2017-03-07",171.199997
"61","2017-03-08",170
"62","2017-03-09",166.399994
"63","2017-03-10",168.800003
"64","2017-03-13",174
"65","2017-03-14",183.600006
"66","2017-03-15",180.199997
"67","2017-03-16",177.199997
"68","2017-03-17",166
"69","2017-03-20",169.800003
"70","2017-03-21",165.199997
"71","2017-03-22",160.800003
"72","2017-03-23",169.399994
"73","2017-03-24",165.600006
"74","2017-03-27",167
"75","2017-03-28",164
"76","2017-03-29",164
"77","2017-03-30",160.199997
"78","2017-03-31",158.199997
"79","2017-04-03",160
"80","2017-04-04",159.600006
"81","2017-04-05",159.800003
"82","2017-04-06",158.399994
"83","2017-04-07",159.800003
"84","2017-04-10",157
"85","2017-04-11",159
"86","2017-04-12",161.600006
"87","2017-04-13",160
"88","2017-04-17",161
"89","2017-04-18",160
"90","2017-04-19",154
"91","2017-04-20",152.800003
"92","2017-04-21",152.800003
"93","2017-04-24",150.639999
"94","2017-04-25",153.199997
"95","2017-04-26",147.399994
"96","2017-04-27",145.800003
"97","2017-04-28",143
"98","2017-05-01",141.399994
"99","2017-05-02",136.399994
"100","2017-05-03",130.199997
"101","2017-05-04",131.600006
"102","2017-05-05",148
"103","2017-05-08",135.600006
"104","2017-05-09",132.800003
"105","2017-05-10",139.600006
"106","2017-05-11",137.800003
"107","2017-05-12",147.399994
"108","2017-05-15",155
"109","2017-05-16",159.800003
"110","2017-05-17",141.600006
"111","2017-05-18",136.600006
"112","2017-05-19",139.800003
"113","2017-05-22",140.800003
"114","2017-05-23",139.199997
"115","2017-05-24",141
"116","2017-05-25",136.800003
"117","2017-05-26",130.199997
"118","2017-05-30",120.400002
"119","2017-05-31",122
"120","2017-06-01",121.400002
"121","2017-06-02",118.199997
"122","2017-06-05",100
"123","2017-06-06",97.599998
"124","2017-06-07",110
"125","2017-06-08",112.199997
"126","2017-06-09",114
"127","2017-06-12",123.599998
"128","2017-06-13",124.199997
"129","2017-06-14",119.800003
"130","2017-06-15",112.900002
"131","2017-06-16",123.800003
"132","2017-06-19",119.919998
"133","2017-06-20",120
"134","2017-06-21",119
"135","2017-06-22",121
"136","2017-06-23",126.800003
"137","2017-06-26",121
"138","2017-06-27",122.239998
"139","2017-06-28",117.199997
