"","date","HDB"
"1","2007-01-03",7.493
"2","2007-01-04",7.479
"3","2007-01-05",7.321
"4","2007-01-08",7.26
"5","2007-01-09",7.157
"6","2007-01-10",7.095
"7","2007-01-11",7.264
"8","2007-01-12",7.797
"9","2007-01-16",7.815
"10","2007-01-17",7.661
"11","2007-01-18",7.462
"12","2007-01-19",7.517
"13","2007-01-22",7.463
"14","2007-01-23",7.589
"15","2007-01-24",7.721
"16","2007-01-25",7.484
"17","2007-01-26",7.5
"18","2007-01-29",7.453
"19","2007-01-30",7.588
"20","2007-01-31",7.632
"21","2007-02-01",7.8
"22","2007-02-02",7.8
"23","2007-02-05",7.73
"24","2007-02-06",7.736
"25","2007-02-07",7.844
"26","2007-02-08",7.79
"27","2007-02-09",7.658
"28","2007-02-12",7.578
"29","2007-02-13",7.125
"30","2007-02-14",7.183
"31","2007-02-15",7.181
"32","2007-02-16",7.225
"33","2007-02-20",7.203
"34","2007-02-21",7.153
"35","2007-02-22",7.086
"36","2007-02-23",6.884
"37","2007-02-26",6.742
"38","2007-02-27",6.32
"39","2007-02-28",6.636
"40","2007-03-01",6.56
"41","2007-03-02",6.436
"42","2007-03-05",6.115
"43","2007-03-06",6.49
"44","2007-03-07",6.413
"45","2007-03-08",6.738
"46","2007-03-09",6.64
"47","2007-03-12",6.689
"48","2007-03-13",6.414
"49","2007-03-14",6.546
"50","2007-03-15",6.47
"51","2007-03-16",6.401
"52","2007-03-19",6.632
"53","2007-03-20",6.77
"54","2007-03-21",6.989
"55","2007-03-22",7.062
"56","2007-03-23",7.051
"57","2007-03-26",6.922
"58","2007-03-27",6.824
"59","2007-03-28",6.737
"60","2007-03-29",6.725
"61","2007-03-30",6.445
"62","2007-04-02",6.47
"63","2007-04-03",6.625
"64","2007-04-04",6.575
"65","2007-04-05",6.708
"66","2007-04-09",6.762
"67","2007-04-10",6.799
"68","2007-04-11",6.766
"69","2007-04-12",6.779
"70","2007-04-13",6.88
"71","2007-04-16",7.092
"72","2007-04-17",7.065
"73","2007-04-18",7.019
"74","2007-04-19",6.945
"75","2007-04-20",7.016
"76","2007-04-23",7.037
"77","2007-04-24",7.281
"78","2007-04-25",7.492
"79","2007-04-26",7.466
"80","2007-04-27",7.398
"81","2007-04-30",7.263
"82","2007-05-01",7.245
"83","2007-05-02",7.427
"84","2007-05-03",7.443
"85","2007-05-04",7.416
"86","2007-05-07",7.317
"87","2007-05-08",7.283
"88","2007-05-09",7.361
"89","2007-05-10",7.221
"90","2007-05-11",7.379
"91","2007-05-14",7.308
"92","2007-05-15",7.32
"93","2007-05-16",7.62
"94","2007-05-17",7.735
"95","2007-05-18",7.81
"96","2007-05-21",8.195
"97","2007-05-22",8.281
"98","2007-05-23",8.207
"99","2007-05-24",8.044
"100","2007-05-25",8.218
