"","date","W"
"1","2014-10-02",37.720001
"2","2014-10-03",32.18
"3","2014-10-06",32.799999
"4","2014-10-07",32.82
"5","2014-10-08",31.049999
"6","2014-10-09",26.709999
"7","2014-10-10",25.870001
"8","2014-10-13",26.41
"9","2014-10-14",26.18
"10","2014-10-15",24.67
"11","2014-10-16",23.889999
"12","2014-10-17",26.870001
"13","2014-10-20",30.02
"14","2014-10-21",30.889999
"15","2014-10-22",27.9
"16","2014-10-23",26.01
"17","2014-10-24",25.16
"18","2014-10-27",26.049999
"19","2014-10-28",25.690001
"20","2014-10-29",25.059999
"21","2014-10-30",24.4
"22","2014-10-31",25.1
"23","2014-11-03",25.719999
"24","2014-11-04",26.030001
"25","2014-11-05",25.440001
"26","2014-11-06",25.700001
"27","2014-11-07",26.01
"28","2014-11-10",28.1
"29","2014-11-11",23.66
"30","2014-11-12",21.309999
"31","2014-11-13",22.01
"32","2014-11-14",21.57
"33","2014-11-17",21.57
"34","2014-11-18",22.08
"35","2014-11-19",22.290001
"36","2014-11-20",23
"37","2014-11-21",22.280001
"38","2014-11-24",23
"39","2014-11-25",23.27
"40","2014-11-26",23.9
"41","2014-11-28",24.26
"42","2014-12-01",23.01
"43","2014-12-02",22.049999
"44","2014-12-03",21.15
"45","2014-12-04",20.9
"46","2014-12-05",20.73
"47","2014-12-08",21.1
"48","2014-12-09",21
"49","2014-12-10",20.129999
"50","2014-12-11",19.379999
"51","2014-12-12",18.440001
"52","2014-12-15",19.16
"53","2014-12-16",18.4
"54","2014-12-17",20.709999
"55","2014-12-18",20.809999
"56","2014-12-19",20.059999
"57","2014-12-22",20.379999
"58","2014-12-23",20.790001
"59","2014-12-24",20.440001
"60","2014-12-26",20.309999
"61","2014-12-29",19.440001
"62","2014-12-30",19.540001
"63","2014-12-31",19.85
"64","2015-01-02",20.780001
"65","2015-01-05",22.02
"66","2015-01-06",22.6
"67","2015-01-07",22.34
"68","2015-01-08",21.4
"69","2015-01-09",20.9
"70","2015-01-12",21.82
"71","2015-01-13",22.209999
"72","2015-01-14",22.219999
"73","2015-01-15",23.280001
"74","2015-01-16",22.5
"75","2015-01-20",21.35
"76","2015-01-21",21.209999
"77","2015-01-22",20.52
"78","2015-01-23",20.450001
"79","2015-01-26",20.110001
"80","2015-01-27",20
"81","2015-01-28",19.34
"82","2015-01-29",19.120001
"83","2015-01-30",19.559999
"84","2015-02-02",20.09
"85","2015-02-03",21.32
"86","2015-02-04",21.040001
"87","2015-02-05",21.870001
"88","2015-02-06",21.4
"89","2015-02-09",21.17
"90","2015-02-10",21.459999
"91","2015-02-11",22
"92","2015-02-12",22.969999
"93","2015-02-13",21.959999
"94","2015-02-17",22.18
"95","2015-02-18",22.280001
"96","2015-02-19",23.450001
"97","2015-02-20",24.530001
"98","2015-02-23",24.43
"99","2015-02-24",24.120001
"100","2015-02-25",23.67
"101","2015-02-26",23.5
"102","2015-02-27",23.35
"103","2015-03-02",23.559999
"104","2015-03-03",25.25
"105","2015-03-04",28.9
"106","2015-03-05",27.780001
"107","2015-03-06",28.809999
"108","2015-03-09",29.040001
"109","2015-03-10",28.26
"110","2015-03-11",28.57
"111","2015-03-12",29.870001
"112","2015-03-13",32.450001
"113","2015-03-16",32.48
"114","2015-03-17",30.85
"115","2015-03-18",31.26
"116","2015-03-19",33.07
"117","2015-03-20",31.940001
"118","2015-03-23",32.220001
"119","2015-03-24",31.4
"120","2015-03-25",30.870001
"121","2015-03-26",31.25
"122","2015-03-27",32.330002
"123","2015-03-30",33.459999
"124","2015-03-31",32.119999
"125","2015-04-01",31.360001
"126","2015-04-02",30.809999
"127","2015-04-06",31.559999
"128","2015-04-07",31.74
"129","2015-04-08",32.919998
"130","2015-04-09",32.779999
"131","2015-04-10",33.720001
"132","2015-04-13",34.150002
"133","2015-04-14",34.060001
"134","2015-04-15",33.790001
"135","2015-04-16",34.529999
"136","2015-04-17",32.07
"137","2015-04-20",32.150002
"138","2015-04-21",32.599998
"139","2015-04-22",32.32
"140","2015-04-23",33.07
"141","2015-04-24",32.740002
"142","2015-04-27",33.84
"143","2015-04-28",32.959999
"144","2015-04-29",33.099998
"145","2015-04-30",32.119999
"146","2015-05-01",30.030001
"147","2015-05-04",29.559999
"148","2015-05-05",29.33
"149","2015-05-06",27.76
"150","2015-05-07",28.549999
