"","date","SRAC"
"1","2020-01-02",9.81
"2","2020-01-03",9.85
"3","2020-01-06",9.85
"4","2020-01-07",9.85
"5","2020-01-08",9.88
"6","2020-01-09",9.88
"7","2020-01-10",9.88
"8","2020-01-13",9.88
"9","2020-01-14",9.88
"10","2020-01-15",9.88
"11","2020-01-16",9.88
"12","2020-01-17",9.97
"13","2020-01-21",9.88
"14","2020-01-22",9.88
"15","2020-01-23",9.88
"16","2020-01-24",9.88
"17","2020-01-27",9.89
"18","2020-01-28",9.89
"19","2020-01-29",9.94
"20","2020-01-30",9.94
"21","2020-01-31",9.94
"22","2020-02-03",9.94
"23","2020-02-04",9.94
"24","2020-02-05",9.94
"25","2020-02-06",9.9
"26","2020-02-07",9.91
"27","2020-02-10",9.91
"28","2020-02-11",9.91
"29","2020-02-12",9.91
"30","2020-02-13",9.91
"31","2020-02-14",9.91
"32","2020-02-18",9.91
"33","2020-02-19",9.9
"34","2020-02-20",9.9
"35","2020-02-21",9.9
"36","2020-02-24",9.9
"37","2020-02-25",9.92
"38","2020-02-26",9.92
"39","2020-02-27",9.92
"40","2020-02-28",9.85
"41","2020-03-02",9.85
"42","2020-03-03",9.85
"43","2020-03-04",9.85
"44","2020-03-05",9.85
"45","2020-03-06",9.85
"46","2020-03-09",9.85
"47","2020-03-10",9.95
"48","2020-03-11",9.95
"49","2020-03-12",9.85
"50","2020-03-13",9.77
"51","2020-03-16",9.77
"52","2020-03-17",9.77
"53","2020-03-18",9.4
"54","2020-03-19",9.45
"55","2020-03-20",9.44
"56","2020-03-23",9.45
"57","2020-03-24",9.45
"58","2020-03-25",9.45
"59","2020-03-26",9.6
"60","2020-03-27",9.65
"61","2020-03-30",9.75
"62","2020-03-31",9.75
"63","2020-04-01",9.75
"64","2020-04-02",9.7
"65","2020-04-03",9.7
"66","2020-04-06",9.7
"67","2020-04-07",9.7
"68","2020-04-08",9.7
"69","2020-04-09",9.7
"70","2020-04-13",9.85
"71","2020-04-14",9.85
