"","date","TIGR"
"1","2019-03-20",10.92
"2","2019-03-21",10.45
"3","2019-03-22",10.82
"4","2019-03-25",11.3
"5","2019-03-26",12.05
"6","2019-03-27",12.87
"7","2019-03-28",12.26
"8","2019-03-29",12.94
"9","2019-04-01",14
"10","2019-04-02",14.92
"11","2019-04-03",15.34
"12","2019-04-04",15.39
"13","2019-04-05",15.3
"14","2019-04-08",14.89
"15","2019-04-09",14.75
"16","2019-04-10",15.21
"17","2019-04-11",17
"18","2019-04-12",17.610001
"19","2019-04-15",19.209999
"20","2019-04-16",22
"21","2019-04-17",15.93
"22","2019-04-18",15.52
"23","2019-04-22",14.5
"24","2019-04-23",15.41
"25","2019-04-24",14.93
"26","2019-04-25",14.63
"27","2019-04-26",16.76
"28","2019-04-29",15.62
"29","2019-04-30",13.64
"30","2019-05-01",13.5
"31","2019-05-02",13.16
"32","2019-05-03",13.26
"33","2019-05-06",12.61
"34","2019-05-07",10.92
"35","2019-05-08",10.73
"36","2019-05-09",9.01
"37","2019-05-10",8.29
"38","2019-05-13",7.79
"39","2019-05-14",7.7
"40","2019-05-15",8.25
"41","2019-05-16",6.98
"42","2019-05-17",5.77
"43","2019-05-20",5.63
"44","2019-05-21",6.25
"45","2019-05-22",5.76
"46","2019-05-23",5.4
"47","2019-05-24",5.29
"48","2019-05-28",5.36
"49","2019-05-29",5.19
"50","2019-05-30",5.15
"51","2019-05-31",4.72
"52","2019-06-03",4.49
"53","2019-06-04",4.86
"54","2019-06-05",4.45
"55","2019-06-06",4.26
"56","2019-06-07",4.32
"57","2019-06-10",4.37
"58","2019-06-11",4.61
"59","2019-06-12",4.41
"60","2019-06-13",4.3
"61","2019-06-14",4.11
"62","2019-06-17",5.54
"63","2019-06-18",5.29
"64","2019-06-19",5.34
"65","2019-06-20",5.32
"66","2019-06-21",5.14
"67","2019-06-24",4.91
"68","2019-06-25",4.95
"69","2019-06-26",5.08
"70","2019-06-27",5.25
"71","2019-06-28",5.57
"72","2019-07-01",5.46
"73","2019-07-02",5.22
"74","2019-07-03",5.18
"75","2019-07-05",5.03
"76","2019-07-08",5.03
"77","2019-07-09",5.41
"78","2019-07-10",5.25
"79","2019-07-11",4.9
"80","2019-07-12",5.02
"81","2019-07-15",4.95
"82","2019-07-16",4.86
"83","2019-07-17",4.67
"84","2019-07-18",4.62
"85","2019-07-19",4.68
"86","2019-07-22",4.31
"87","2019-07-23",4.38
"88","2019-07-24",4.37
"89","2019-07-25",4.27
"90","2019-07-26",4.2
"91","2019-07-29",4.31
"92","2019-07-30",4.31
"93","2019-07-31",4.2
"94","2019-08-01",4.14
"95","2019-08-02",4
"96","2019-08-05",4.01
"97","2019-08-06",4.07
"98","2019-08-07",4.3
"99","2019-08-08",4.35
"100","2019-08-09",4.23
"101","2019-08-12",4.16
"102","2019-08-13",4.17
"103","2019-08-14",4.07
"104","2019-08-15",4.24
"105","2019-08-16",4.45
"106","2019-08-19",4.7
"107","2019-08-20",4.86
"108","2019-08-21",4.9
"109","2019-08-22",5
"110","2019-08-23",5.09
"111","2019-08-26",4.5
"112","2019-08-27",4.51
"113","2019-08-28",4.365
"114","2019-08-29",4.31
"115","2019-08-30",4.34
"116","2019-09-03",4.35
"117","2019-09-04",4.6
"118","2019-09-05",4.6
"119","2019-09-06",4.61
"120","2019-09-09",4.42
"121","2019-09-10",4.51
"122","2019-09-11",4.75
"123","2019-09-12",4.56
"124","2019-09-13",4.7
"125","2019-09-16",4.98
"126","2019-09-17",4.94
"127","2019-09-18",4.77
"128","2019-09-19",4.76
"129","2019-09-20",4.67
"130","2019-09-23",4.72
"131","2019-09-24",4.5
"132","2019-09-25",4.49
"133","2019-09-26",4.32
"134","2019-09-27",4.22
"135","2019-09-30",4.24
"136","2019-10-01",3.93
"137","2019-10-02",3.98
"138","2019-10-03",4.18
"139","2019-10-04",4.11
"140","2019-10-07",4.08
"141","2019-10-08",4.05
"142","2019-10-09",4.15
"143","2019-10-10",4.06
"144","2019-10-11",4.15
"145","2019-10-14",4.14
"146","2019-10-15",4.06
"147","2019-10-16",4.27
"148","2019-10-17",4.2
"149","2019-10-18",4.15
"150","2019-10-21",4.04
"151","2019-10-22",4
"152","2019-10-23",3.92
"153","2019-10-24",3.97
"154","2019-10-25",3.91
"155","2019-10-28",3.91
"156","2019-10-29",3.98
"157","2019-10-30",3.99
"158","2019-10-31",3.96
"159","2019-11-01",3.92
"160","2019-11-04",4.11
"161","2019-11-05",4
"162","2019-11-06",4.09
"163","2019-11-07",4.08
"164","2019-11-08",4.12
"165","2019-11-11",3.98
"166","2019-11-12",3.93
"167","2019-11-13",3.89
"168","2019-11-14",3.81
"169","2019-11-15",3.83
"170","2019-11-18",3.86
"171","2019-11-19",3.72
"172","2019-11-20",3.62
"173","2019-11-21",3.7
"174","2019-11-22",3.68
"175","2019-11-25",3.68
"176","2019-11-26",3.75
"177","2019-11-27",3.65
"178","2019-11-29",3.58
"179","2019-12-02",3.41
"180","2019-12-03",3.36
"181","2019-12-04",3.28
"182","2019-12-05",3.4
"183","2019-12-06",3.35
"184","2019-12-09",3.34
"185","2019-12-10",3.3
"186","2019-12-11",3.29
"187","2019-12-12",3.31
"188","2019-12-13",3.295
"189","2019-12-16",3.35
"190","2019-12-17",3.47
"191","2019-12-18",3.45
"192","2019-12-19",3.58
"193","2019-12-20",3.75
"194","2019-12-23",3.62
"195","2019-12-24",3.57
"196","2019-12-26",3.5
"197","2019-12-27",3.39
"198","2019-12-30",3.6
"199","2019-12-31",3.55
"200","2020-01-02",3.6
"201","2020-01-03",3.51
"202","2020-01-06",3.42
"203","2020-01-07",3.37
"204","2020-01-08",3.38
"205","2020-01-09",3.36
"206","2020-01-10",3.34
"207","2020-01-13",3.36
"208","2020-01-14",3.34
"209","2020-01-15",3.47
"210","2020-01-16",4.32
"211","2020-01-17",4.1
"212","2020-01-21",4.11
"213","2020-01-22",4.13
"214","2020-01-23",3.92
"215","2020-01-24",3.75
"216","2020-01-27",3.78
"217","2020-01-28",3.79
"218","2020-01-29",3.73
"219","2020-01-30",3.6
"220","2020-01-31",3.51
"221","2020-02-03",3.57
"222","2020-02-04",3.67
"223","2020-02-05",3.77
"224","2020-02-06",3.8
"225","2020-02-07",3.61
"226","2020-02-10",3.72
"227","2020-02-11",3.78
"228","2020-02-12",3.72
"229","2020-02-13",3.64
"230","2020-02-14",3.7
"231","2020-02-18",3.66
"232","2020-02-19",3.62
"233","2020-02-20",3.85
"234","2020-02-21",3.96
"235","2020-02-24",3.84
"236","2020-02-25",3.69
"237","2020-02-26",3.69
"238","2020-02-27",3.52
"239","2020-02-28",3.41
"240","2020-03-02",3.64
"241","2020-03-03",3.6
"242","2020-03-04",3.6
"243","2020-03-05",3.5
"244","2020-03-06",3.45
"245","2020-03-09",3.1
"246","2020-03-10",2.91
"247","2020-03-11",2.92
"248","2020-03-12",2.5
"249","2020-03-13",2.51
"250","2020-03-16",2.38
"251","2020-03-17",2.42
"252","2020-03-18",2.2
"253","2020-03-19",2.36
"254","2020-03-20",2.35
"255","2020-03-23",2.32
"256","2020-03-24",2.64
"257","2020-03-25",2.75
"258","2020-03-26",2.82
"259","2020-03-27",2.79
"260","2020-03-30",2.66
"261","2020-03-31",2.73
"262","2020-04-01",2.65
"263","2020-04-02",2.57
"264","2020-04-03",2.58
"265","2020-04-06",2.7
"266","2020-04-07",2.58
"267","2020-04-08",2.58
"268","2020-04-09",2.58
"269","2020-04-13",2.61
"270","2020-04-14",2.68
"271","2020-04-15",2.8
"272","2020-04-16",3.1
"273","2020-04-17",3
"274","2020-04-20",2.86
"275","2020-04-21",2.85
"276","2020-04-22",2.89
"277","2020-04-23",2.87
"278","2020-04-24",2.87
"279","2020-04-27",2.92
"280","2020-04-28",2.885
"281","2020-04-29",2.94
"282","2020-04-30",2.92
"283","2020-05-01",2.7
"284","2020-05-04",2.68
"285","2020-05-05",2.71
"286","2020-05-06",2.77
"287","2020-05-07",2.72
"288","2020-05-08",2.82
"289","2020-05-11",2.9
"290","2020-05-12",2.86
"291","2020-05-13",2.81
"292","2020-05-14",2.87
"293","2020-05-15",3
"294","2020-05-18",3.14
"295","2020-05-19",3.32
"296","2020-05-20",3.48
"297","2020-05-21",3.3
"298","2020-05-22",3.08
"299","2020-05-26",3.43
"300","2020-05-27",3.66
"301","2020-05-28",3.4
"302","2020-05-29",3.33
"303","2020-06-01",3.33
"304","2020-06-02",3.42
"305","2020-06-03",3.53
"306","2020-06-04",3.74
"307","2020-06-05",3.8
"308","2020-06-08",3.8
"309","2020-06-09",4.16
"310","2020-06-10",3.96
"311","2020-06-11",3.83
"312","2020-06-12",3.89
"313","2020-06-15",3.96
"314","2020-06-16",3.88
"315","2020-06-17",4.05
"316","2020-06-18",3.98
"317","2020-06-19",4.12
"318","2020-06-22",4.06
"319","2020-06-23",4.29
"320","2020-06-24",4.41
"321","2020-06-25",4.35
"322","2020-06-26",4.24
"323","2020-06-29",4.1
"324","2020-06-30",4.16
"325","2020-07-01",4.15
"326","2020-07-02",4.14
"327","2020-07-06",5.5
"328","2020-07-07",5.49
"329","2020-07-08",6.9
"330","2020-07-09",6.97
"331","2020-07-10",6.41
"332","2020-07-13",6.3
"333","2020-07-14",5.87
"334","2020-07-15",5.78
"335","2020-07-16",5.31
"336","2020-07-17",5.32
"337","2020-07-20",5.83
"338","2020-07-21",6.06
"339","2020-07-22",5.58
"340","2020-07-23",5.31
"341","2020-07-24",5.3
"342","2020-07-27",5.19
"343","2020-07-28",5.03
"344","2020-07-29",5.25
"345","2020-07-30",5.39
"346","2020-07-31",5.27
"347","2020-08-03",5.55
"348","2020-08-04",5.63
"349","2020-08-05",5.57
"350","2020-08-06",5.52
"351","2020-08-07",5.4
"352","2020-08-10",5.56
"353","2020-08-11",5.67
"354","2020-08-12",6.88
"355","2020-08-13",6.76
"356","2020-08-14",6.52
"357","2020-08-17",7
"358","2020-08-18",6.24
"359","2020-08-19",6.04
"360","2020-08-20",6.1
"361","2020-08-21",5.9
"362","2020-08-24",5.67
"363","2020-08-25",5.74
"364","2020-08-26",5.57
"365","2020-08-27",5.74
"366","2020-08-28",5.58
"367","2020-08-31",5.37
"368","2020-09-01",5.3
"369","2020-09-02",5.11
"370","2020-09-03",5.01
"371","2020-09-04",4.94
"372","2020-09-08",4.7
"373","2020-09-09",4.76
"374","2020-09-10",4.69
"375","2020-09-11",4.69
"376","2020-09-14",4.83
"377","2020-09-15",4.97
"378","2020-09-16",4.93
"379","2020-09-17",4.86
"380","2020-09-18",4.93
"381","2020-09-21",4.69
"382","2020-09-22",4.69
"383","2020-09-23",4.47
"384","2020-09-24",4.65
"385","2020-09-25",4.72
"386","2020-09-28",4.69
"387","2020-09-29",4.69
"388","2020-09-30",4.74
"389","2020-10-01",4.7
"390","2020-10-02",4.69
"391","2020-10-05",4.67
"392","2020-10-06",5
"393","2020-10-07",5.16
"394","2020-10-08",5.25
"395","2020-10-09",5.23
"396","2020-10-12",5.05
"397","2020-10-13",4.95
"398","2020-10-14",4.73
"399","2020-10-15",4.57
"400","2020-10-16",4.74
"401","2020-10-19",4.68
"402","2020-10-20",4.72
"403","2020-10-21",4.76
"404","2020-10-22",4.81
"405","2020-10-23",5.06
"406","2020-10-26",4.82
"407","2020-10-27",4.87
"408","2020-10-28",4.77
"409","2020-10-29",4.74
"410","2020-10-30",4.55
"411","2020-11-02",4.35
"412","2020-11-03",4.38
"413","2020-11-04",4.47
"414","2020-11-05",4.72
"415","2020-11-06",4.97
"416","2020-11-09",5.22
"417","2020-11-10",4.94
"418","2020-11-11",5.09
"419","2020-11-12",5.08
"420","2020-11-13",5.38
"421","2020-11-16",5.96
"422","2020-11-17",6.13
"423","2020-11-18",5.64
"424","2020-11-19",7.17
"425","2020-11-20",7.15
"426","2020-11-23",7.1
"427","2020-11-24",6.95
"428","2020-11-25",6.65
"429","2020-11-27",6.24
