"","date","BGS"
"1","2007-05-23",13.26
"2","2007-05-24",13.7
"3","2007-05-25",13.6
"4","2007-05-29",13.71
"5","2007-05-30",13.55
"6","2007-05-31",13.52
"7","2007-06-01",13.71
"8","2007-06-04",13.65
"9","2007-06-05",13.74
"10","2007-06-06",13.7
"11","2007-06-07",13.72
"12","2007-06-08",13.85
"13","2007-06-11",13.51
"14","2007-06-12",13.25
"15","2007-06-13",13.46
"16","2007-06-14",13.48
"17","2007-06-15",13.64
"18","2007-06-18",13.5
"19","2007-06-19",13.9
"20","2007-06-20",13.53
"21","2007-06-21",13.59
"22","2007-06-22",13.68
"23","2007-06-25",13.35
"24","2007-06-26",13.4
"25","2007-06-27",13.3
"26","2007-06-28",13.15
"27","2007-06-29",13.2
"28","2007-07-02",13.25
"29","2007-07-03",13.27
"30","2007-07-05",13.35
"31","2007-07-06",13.43
"32","2007-07-09",13.31
"33","2007-07-10",13.55
"34","2007-07-11",13.58
"35","2007-07-12",13.6
"36","2007-07-13",13.7
"37","2007-07-16",13.75
"38","2007-07-17",13.79
"39","2007-07-18",13.75
"40","2007-07-19",13.75
"41","2007-07-20",14.06
"42","2007-07-23",13.81
"43","2007-07-24",13.63
"44","2007-07-25",13.8
"45","2007-07-26",13.49
"46","2007-07-27",13.52
"47","2007-07-30",13.5
"48","2007-07-31",13.31
"49","2007-08-01",13.48
"50","2007-08-02",13.46
"51","2007-08-03",13.3
"52","2007-08-06",13.39
"53","2007-08-07",13.4
"54","2007-08-08",13.46
"55","2007-08-09",13.01
"56","2007-08-10",13.17
"57","2007-08-13",13.29
"58","2007-08-14",12.58
"59","2007-08-15",12.92
"60","2007-08-16",12.54
"61","2007-08-17",12.53
"62","2007-08-20",12.44
"63","2007-08-21",12.45
"64","2007-08-22",12.57
"65","2007-08-23",12.7
"66","2007-08-24",12.7
"67","2007-08-27",12.52
"68","2007-08-28",12.5
"69","2007-08-29",12.55
"70","2007-08-30",12.67
"71","2007-08-31",12.79
"72","2007-09-04",13.05
"73","2007-09-05",13.1
"74","2007-09-06",13.1
"75","2007-09-07",13.31
"76","2007-09-10",13.14
"77","2007-09-11",13.22
"78","2007-09-12",13.24
"79","2007-09-13",13.2
"80","2007-09-14",13.3
"81","2007-09-17",13.29
"82","2007-09-18",13.22
"83","2007-09-19",13.35
"84","2007-09-20",13.35
"85","2007-09-21",13.4
"86","2007-09-24",13.4
"87","2007-09-25",13.24
"88","2007-09-26",13
"89","2007-09-27",12.88
"90","2007-09-28",12.8
"91","2007-10-01",12.76
"92","2007-10-02",12.7
"93","2007-10-03",12.35
"94","2007-10-04",12.61
"95","2007-10-05",12.99
"96","2007-10-08",12.88
"97","2007-10-09",12.9
"98","2007-10-10",12.91
"99","2007-10-11",12.92
"100","2007-10-12",12.94
"101","2007-10-15",13.08
"102","2007-10-16",13.03
"103","2007-10-17",12.97
"104","2007-10-18",12.86
"105","2007-10-19",12.7
"106","2007-10-22",12.32
"107","2007-10-23",12.28
"108","2007-10-24",12.32
"109","2007-10-25",12.31
"110","2007-10-26",12.28
"111","2007-10-29",12.04
"112","2007-10-30",11.61
"113","2007-10-31",11.96
"114","2007-11-01",12
"115","2007-11-02",11.92
"116","2007-11-05",11.66
"117","2007-11-06",11.61
"118","2007-11-07",11.59
"119","2007-11-08",10.99
"120","2007-11-09",10.64
"121","2007-11-12",11
"122","2007-11-13",11.25
"123","2007-11-14",11.4
"124","2007-11-15",11.74
"125","2007-11-16",11.6
"126","2007-11-19",11.56
"127","2007-11-20",11.19
"128","2007-11-21",10.63
"129","2007-11-23",10.43
"130","2007-11-26",10.15
"131","2007-11-27",10.19
"132","2007-11-28",10.44
"133","2007-11-29",10.57
"134","2007-11-30",10.69
"135","2007-12-03",10.6
"136","2007-12-04",10.29
"137","2007-12-05",10.2
"138","2007-12-06",10.44
"139","2007-12-07",10.54
"140","2007-12-10",10.72
"141","2007-12-11",10.44
"142","2007-12-12",10.11
"143","2007-12-13",10.03
"144","2007-12-14",9.87
"145","2007-12-17",9.97
"146","2007-12-18",10.17
"147","2007-12-19",10.99
"148","2007-12-20",10.08
"149","2007-12-21",10.28
"150","2007-12-24",10.26
"151","2007-12-26",10.43
"152","2007-12-27",10.07
"153","2007-12-28",10.07
"154","2007-12-31",10.21
"155","2008-01-02",10.11
"156","2008-01-03",10.08
"157","2008-01-04",9.82
"158","2008-01-07",10.08
"159","2008-01-08",9.94
"160","2008-01-09",9.85
"161","2008-01-10",10.4
"162","2008-01-11",10.4
"163","2008-01-14",10.43
"164","2008-01-15",10.1
"165","2008-01-16",10.23
"166","2008-01-17",10.01
"167","2008-01-18",9.68
"168","2008-01-22",9.65
"169","2008-01-23",9.9
"170","2008-01-24",10
"171","2008-01-25",9.97
"172","2008-01-28",9.82
"173","2008-01-29",9.84
"174","2008-01-30",9.91
"175","2008-01-31",9.92
"176","2008-02-01",9.9
"177","2008-02-04",10
"178","2008-02-05",9.76
"179","2008-02-06",9.42
"180","2008-02-07",9.2
"181","2008-02-08",9.21
"182","2008-02-11",9.42
"183","2008-02-12",9.59
"184","2008-02-13",9.69
"185","2008-02-14",9.62
"186","2008-02-15",9.5
"187","2008-02-19",9.61
"188","2008-02-20",9.7
"189","2008-02-21",9.57
"190","2008-02-22",9.75
"191","2008-02-25",9.91
"192","2008-02-26",10
"193","2008-02-27",10
"194","2008-02-28",9.83
"195","2008-02-29",9.94
"196","2008-03-03",9.96
"197","2008-03-04",9.91
"198","2008-03-05",9.82
"199","2008-03-06",10.1
"200","2008-03-07",10
"201","2008-03-10",9.51
"202","2008-03-11",9.89
"203","2008-03-12",10.02
"204","2008-03-13",10.06
"205","2008-03-14",10.01
"206","2008-03-17",10.03
"207","2008-03-18",10.43
"208","2008-03-19",10.6
"209","2008-03-20",11.15
"210","2008-03-24",11.37
"211","2008-03-25",11.76
"212","2008-03-26",11.68
"213","2008-03-27",11.2
"214","2008-03-28",11.23
"215","2008-03-31",11
"216","2008-04-01",10.63
"217","2008-04-02",10.15
"218","2008-04-03",10.2
"219","2008-04-04",10.26
"220","2008-04-07",9.93
"221","2008-04-08",9.89
"222","2008-04-09",9.62
"223","2008-04-10",9.57
"224","2008-04-11",9.34
"225","2008-04-14",9.25
"226","2008-04-15",9.25
"227","2008-04-16",8.99
"228","2008-04-17",8.92
"229","2008-04-18",8.99
"230","2008-04-21",8.87
"231","2008-04-22",8.67
"232","2008-04-23",8.29
"233","2008-04-24",8.15
"234","2008-04-25",8.09
"235","2008-04-28",8.02
"236","2008-04-29",8.02
"237","2008-04-30",8.08
"238","2008-05-01",8.69
"239","2008-05-02",9.07
"240","2008-05-05",9.14
"241","2008-05-06",9.11
"242","2008-05-07",9.14
"243","2008-05-08",9.16
"244","2008-05-09",9.11
"245","2008-05-12",9.13
"246","2008-05-13",9.41
"247","2008-05-14",9.48
"248","2008-05-15",9.64
"249","2008-05-16",9.7
"250","2008-05-19",9.64
"251","2008-05-20",9.6
"252","2008-05-21",9.53
"253","2008-05-22",9.68
"254","2008-05-23",9.65
"255","2008-05-27",9.6
"256","2008-05-28",9.57
"257","2008-05-29",9.62
"258","2008-05-30",9.72
"259","2008-06-02",9.88
"260","2008-06-03",9.9
"261","2008-06-04",9.9
"262","2008-06-05",9.9
"263","2008-06-06",9.82
"264","2008-06-09",9.72
"265","2008-06-10",9.81
"266","2008-06-11",9.74
"267","2008-06-12",9.83
"268","2008-06-13",9.84
"269","2008-06-16",9.77
"270","2008-06-17",9.77
"271","2008-06-18",9.66
"272","2008-06-19",9.66
"273","2008-06-20",9.61
"274","2008-06-23",9.64
"275","2008-06-24",9.38
"276","2008-06-25",9.34
"277","2008-06-26",9.09
"278","2008-06-27",9.1
"279","2008-06-30",9.34
"280","2008-07-01",9.03
"281","2008-07-02",8.84
"282","2008-07-03",8.75
"283","2008-07-07",8.8
"284","2008-07-08",9.25
"285","2008-07-09",9.16
"286","2008-07-10",9.44
"287","2008-07-11",9.47
"288","2008-07-14",9.55
"289","2008-07-15",9.54
"290","2008-07-16",9.75
"291","2008-07-17",9.65
"292","2008-07-18",9.61
"293","2008-07-21",9.46
"294","2008-07-22",9.75
"295","2008-07-23",9.78
"296","2008-07-24",10.04
"297","2008-07-25",10.32
"298","2008-07-28",10.03
"299","2008-07-29",8.99
"300","2008-07-30",8.85
"301","2008-07-31",8.9
"302","2008-08-01",8.83
"303","2008-08-04",8.53
"304","2008-08-05",8.47
"305","2008-08-06",8.53
"306","2008-08-07",8.36
"307","2008-08-08",8.59
"308","2008-08-11",8.78
"309","2008-08-12",8.47
"310","2008-08-13",8.49
"311","2008-08-14",8.53
"312","2008-08-15",8.64
"313","2008-08-18",8.54
"314","2008-08-19",8.47
"315","2008-08-20",8.44
"316","2008-08-21",8.27
"317","2008-08-22",8.3
"318","2008-08-25",8.07
"319","2008-08-26",8.05
"320","2008-08-27",8.05
"321","2008-08-28",8.1
"322","2008-08-29",8.06
"323","2008-09-02",8.19
"324","2008-09-03",8.39
"325","2008-09-04",8.14
"326","2008-09-05",8.09
"327","2008-09-08",8.28
"328","2008-09-09",8.11
"329","2008-09-10",8.11
"330","2008-09-11",8.06
"331","2008-09-12",8.03
"332","2008-09-15",7.95
"333","2008-09-16",7.64
"334","2008-09-17",6.74
