"","date","FLL"
"1","2007-01-03",3.75
"2","2007-01-04",3.7
"3","2007-01-05",3.77
"4","2007-01-08",3.89
"5","2007-01-09",3.85
"6","2007-01-10",3.83
"7","2007-01-11",3.9
"8","2007-01-12",3.9
"9","2007-01-16",3.91
"10","2007-01-17",3.95
"11","2007-01-18",4.15
"12","2007-01-19",4.09
"13","2007-01-22",4.11
"14","2007-01-23",4.04
"15","2007-01-24",4.05
"16","2007-01-25",4.09
"17","2007-01-26",4.25
"18","2007-01-29",4.18
"19","2007-01-30",4.05
"20","2007-01-31",3.91
"21","2007-02-01",4.18
"22","2007-02-02",4.12
"23","2007-02-05",4.06
"24","2007-02-06",3.93
"25","2007-02-07",3.99
"26","2007-02-08",4.13
"27","2007-02-09",4.12
"28","2007-02-12",4.01
"29","2007-02-13",4
"30","2007-02-14",3.9
"31","2007-02-15",3.83
"32","2007-02-16",3.8
"33","2007-02-20",3.68
"34","2007-02-21",3.8
"35","2007-02-22",3.95
"36","2007-02-23",3.97
"37","2007-02-26",3.86
"38","2007-02-27",3.86
"39","2007-02-28",3.74
"40","2007-03-01",3.63
"41","2007-03-02",3.65
"42","2007-03-05",3.7
"43","2007-03-06",3.65
"44","2007-03-07",3.65
"45","2007-03-08",3.71
"46","2007-03-09",3.62
"47","2007-03-12",3.68
"48","2007-03-13",3.64
"49","2007-03-14",3.51
"50","2007-03-15",3.51
"51","2007-03-16",3.4
"52","2007-03-19",3.4
"53","2007-03-20",3.59
"54","2007-03-21",3.55
"55","2007-03-22",3.53
"56","2007-03-23",3.55
"57","2007-03-26",3.59
"58","2007-03-27",3.55
"59","2007-03-28",3.78
"60","2007-03-29",3.8
"61","2007-03-30",3.79
"62","2007-04-02",3.8
"63","2007-04-03",3.86
"64","2007-04-04",3.9
"65","2007-04-05",3.85
"66","2007-04-09",3.98
"67","2007-04-10",3.94
"68","2007-04-11",3.95
"69","2007-04-12",3.88
"70","2007-04-13",3.86
"71","2007-04-16",3.89
"72","2007-04-17",3.99
"73","2007-04-18",3.95
"74","2007-04-19",3.9
"75","2007-04-20",3.95
"76","2007-04-23",3.9
"77","2007-04-24",3.81
"78","2007-04-25",3.9
"79","2007-04-26",3.85
"80","2007-04-27",3.79
"81","2007-04-30",3.79
"82","2007-05-01",3.79
"83","2007-05-02",3.79
"84","2007-05-03",3.79
"85","2007-05-04",3.7
"86","2007-05-07",3.69
