"","date","CHD"
"1","2007-01-03",11.01
"2","2007-01-04",10.995
"3","2007-01-05",11.0125
"4","2007-01-08",10.8675
"5","2007-01-09",11.0075
"6","2007-01-10",10.98
"7","2007-01-11",11.0725
"8","2007-01-12",11.095
"9","2007-01-16",11.0525
"10","2007-01-17",11.1725
"11","2007-01-18",11.115
"12","2007-01-19",11.1525
"13","2007-01-22",11.15
"14","2007-01-23",11.225
"15","2007-01-24",11.275
"16","2007-01-25",11.25
"17","2007-01-26",11.2275
"18","2007-01-29",11.255
"19","2007-01-30",11.2675
"20","2007-01-31",11.3275
"21","2007-02-01",11.3175
"22","2007-02-02",11.2125
"23","2007-02-05",11.145
"24","2007-02-06",11.5475
"25","2007-02-07",11.77
"26","2007-02-08",11.645
"27","2007-02-09",11.605
"28","2007-02-12",11.63
"29","2007-02-13",11.765
"30","2007-02-14",11.755
"31","2007-02-15",11.7
"32","2007-02-16",11.835
"33","2007-02-20",11.7725
"34","2007-02-21",11.775
"35","2007-02-22",11.755
"36","2007-02-23",11.7575
"37","2007-02-26",11.845
"38","2007-02-27",11.775
"39","2007-02-28",11.9875
"40","2007-03-01",11.9625
"41","2007-03-02",11.815
"42","2007-03-05",11.7125
"43","2007-03-06",11.7725
"44","2007-03-07",11.7575
"45","2007-03-08",11.86
"46","2007-03-09",11.925
"47","2007-03-12",11.9475
"48","2007-03-13",11.8825
"49","2007-03-14",11.89
"50","2007-03-15",12.0275
"51","2007-03-16",11.99
"52","2007-03-19",12.1475
"53","2007-03-20",12.2775
"54","2007-03-21",12.435
"55","2007-03-22",12.475
"56","2007-03-23",12.47
"57","2007-03-26",12.4875
"58","2007-03-27",12.425
"59","2007-03-28",12.445
"60","2007-03-29",12.4775
"61","2007-03-30",12.5875
"62","2007-04-02",12.78
"63","2007-04-03",12.765
"64","2007-04-04",12.795
"65","2007-04-05",12.8475
"66","2007-04-09",12.975
"67","2007-04-10",12.9725
"68","2007-04-11",12.9375
"69","2007-04-12",12.935
"70","2007-04-13",12.95
"71","2007-04-16",12.98
"72","2007-04-17",13.005
"73","2007-04-18",12.8875
"74","2007-04-19",12.8725
"75","2007-04-20",12.86
"76","2007-04-23",12.9075
"77","2007-04-24",12.8275
"78","2007-04-25",12.8175
"79","2007-04-26",12.7475
"80","2007-04-27",12.75
"81","2007-04-30",12.6825
"82","2007-05-01",12.8475
"83","2007-05-02",12.9
"84","2007-05-03",12.8575
"85","2007-05-04",12.975
"86","2007-05-07",13.0125
"87","2007-05-08",12.7375
"88","2007-05-09",12.6125
"89","2007-05-10",12.3975
"90","2007-05-11",12.385
"91","2007-05-14",12.38
"92","2007-05-15",12.325
"93","2007-05-16",12.4725
"94","2007-05-17",12.28
"95","2007-05-18",12.175
"96","2007-05-21",12.2375
"97","2007-05-22",12.2025
"98","2007-05-23",12.2375
"99","2007-05-24",12.0825
"100","2007-05-25",12.15
"101","2007-05-29",12.3775
"102","2007-05-30",12.4875
"103","2007-05-31",12.5025
"104","2007-06-01",12.5825
"105","2007-06-04",12.6175
"106","2007-06-05",12.595
"107","2007-06-06",12.41
"108","2007-06-07",12.2375
"109","2007-06-08",12.355
"110","2007-06-11",12.32
"111","2007-06-12",12.275
"112","2007-06-13",12.2825
"113","2007-06-14",12.1675
"114","2007-06-15",12.23
"115","2007-06-18",12.1175
"116","2007-06-19",12.2875
"117","2007-06-20",12.34
"118","2007-06-21",12.3575
"119","2007-06-22",12.255
"120","2007-06-25",12.255
"121","2007-06-26",12.2625
"122","2007-06-27",12.1775
"123","2007-06-28",12.185
"124","2007-06-29",12.115
"125","2007-07-02",12.195
"126","2007-07-03",12.255
"127","2007-07-05",12.2025
"128","2007-07-06",12.2875
"129","2007-07-09",12.3875
"130","2007-07-10",12.2725
"131","2007-07-11",12.3025
"132","2007-07-12",12.5075
"133","2007-07-13",12.575
"134","2007-07-16",12.4325
"135","2007-07-17",12.38
"136","2007-07-18",12.34
"137","2007-07-19",12.375
"138","2007-07-20",12.165
"139","2007-07-23",12.38
"140","2007-07-24",12.3475
