"","date","TRMT"
"1","2017-09-14",17.290001
"2","2017-09-15",16.4
"3","2017-09-18",16.51
"4","2017-09-19",16.559999
"5","2017-09-20",16.870001
"6","2017-09-21",16.950001
"7","2017-09-22",16.610001
"8","2017-09-25",16.620001
"9","2017-09-26",16.559999
"10","2017-09-27",16.57
"11","2017-09-28",16.299999
"12","2017-09-29",16.700001
"13","2017-10-02",16.549999
"14","2017-10-03",16.4
"15","2017-10-04",16.209999
"16","2017-10-05",16.299999
"17","2017-10-06",16.549999
"18","2017-10-09",16.110001
"19","2017-10-10",16.309999
"20","2017-10-11",16.450001
"21","2017-10-12",16.91
"22","2017-10-13",16.950001
"23","2017-10-16",17
"24","2017-10-17",16.83
"25","2017-10-18",16.6
"26","2017-10-19",16.5
"27","2017-10-20",16.639999
"28","2017-10-23",16.639999
"29","2017-10-24",16.610001
"30","2017-10-25",16.290001
"31","2017-10-26",16.1
"32","2017-10-27",15.96
"33","2017-10-30",16.398001
"34","2017-10-31",16.389999
"35","2017-11-01",16.01
"36","2017-11-02",16.24
"37","2017-11-03",15.9
"38","2017-11-06",16.24
"39","2017-11-07",15.83
"40","2017-11-08",16.24
"41","2017-11-09",16.01
"42","2017-11-10",15.9
"43","2017-11-13",15.87
"44","2017-11-14",15.56
"45","2017-11-15",16.02
"46","2017-11-16",15.96
"47","2017-11-17",15.77
"48","2017-11-20",15.79
"49","2017-11-21",15.91
"50","2017-11-22",15.62
"51","2017-11-24",15.85
"52","2017-11-27",15.55
"53","2017-11-28",15.48
"54","2017-11-29",15.34
"55","2017-11-30",15.24
"56","2017-12-01",15.24
"57","2017-12-04",15.09
"58","2017-12-05",15.125
"59","2017-12-06",15.03
"60","2017-12-07",15.01
"61","2017-12-08",14.95
"62","2017-12-11",15.44
"63","2017-12-12",14.95
"64","2017-12-13",14.98
"65","2017-12-14",14.89
"66","2017-12-15",14.65
"67","2017-12-18",14.62
"68","2017-12-19",14.76
"69","2017-12-20",14.68
"70","2017-12-21",14.88
"71","2017-12-22",14.7
"72","2017-12-26",14.82
"73","2017-12-27",14.65
"74","2017-12-28",14.87
"75","2017-12-29",14.69
"76","2018-01-02",14.46
"77","2018-01-03",14.46
"78","2018-01-04",14.575
"79","2018-01-05",14.8
"80","2018-01-08",14.7
"81","2018-01-09",14.85
"82","2018-01-10",14.93
"83","2018-01-11",14.99
"84","2018-01-12",14.73
"85","2018-01-16",15.14
"86","2018-01-17",15.5
"87","2018-01-18",15.02
"88","2018-01-19",14.7
"89","2018-01-22",14.79
"90","2018-01-23",15.17
"91","2018-01-24",15.16
"92","2018-01-25",15.39
"93","2018-01-26",14.94
"94","2018-01-29",14.68
"95","2018-01-30",14.49
"96","2018-01-31",15.07
"97","2018-02-01",15.08
"98","2018-02-02",15.43
"99","2018-02-05",14.99
