"","date","LEJU"
"1","2014-04-17",11.86
"2","2014-04-21",11.79
"3","2014-04-22",12.32
"4","2014-04-23",11.73
"5","2014-04-24",11.53
"6","2014-04-25",10.56
"7","2014-04-28",10.35
"8","2014-04-29",10.59
"9","2014-04-30",10.51
"10","2014-05-01",10.68
"11","2014-05-02",10.81
"12","2014-05-05",10.76
"13","2014-05-06",10.3
"14","2014-05-07",9.84
"15","2014-05-08",9.45
"16","2014-05-09",10.04
"17","2014-05-12",9.98
"18","2014-05-13",10.78
"19","2014-05-14",10.84
"20","2014-05-15",10.49
"21","2014-05-16",10.43
"22","2014-05-19",10.05
"23","2014-05-20",10.76
"24","2014-05-21",12.64
"25","2014-05-22",12.69
"26","2014-05-23",12.55
"27","2014-05-27",12.24
"28","2014-05-28",12.13
"29","2014-05-29",12.43
"30","2014-05-30",11.69
"31","2014-06-02",11.1
"32","2014-06-03",11.6
"33","2014-06-04",10.99
"34","2014-06-05",11.34
"35","2014-06-06",11.74
"36","2014-06-09",11.73
"37","2014-06-10",11.16
"38","2014-06-11",11.56
"39","2014-06-12",10.82
"40","2014-06-13",10.47
"41","2014-06-16",10.36
"42","2014-06-17",10.72
"43","2014-06-18",9.93
"44","2014-06-19",9.97
"45","2014-06-20",9.56
"46","2014-06-23",10.1
"47","2014-06-24",10
"48","2014-06-25",9.97
"49","2014-06-26",10.44
"50","2014-06-27",10.48
"51","2014-06-30",10.46
"52","2014-07-01",11.05
"53","2014-07-02",11.19
"54","2014-07-03",11.58
"55","2014-07-07",11.93
"56","2014-07-08",11.07
"57","2014-07-09",12.08
"58","2014-07-10",11.94
"59","2014-07-11",11.67
"60","2014-07-14",11.85
"61","2014-07-15",11.79
"62","2014-07-16",11.67
"63","2014-07-17",11.3
"64","2014-07-18",11.5
"65","2014-07-21",11.63
"66","2014-07-22",12.06
"67","2014-07-23",13.15
"68","2014-07-24",13.5
"69","2014-07-25",13.52
"70","2014-07-28",13.72
"71","2014-07-29",14.07
"72","2014-07-30",13.99
"73","2014-07-31",13.06
"74","2014-08-01",13.48
"75","2014-08-04",13.21
"76","2014-08-05",11.94
"77","2014-08-06",11.86
"78","2014-08-07",12.68
"79","2014-08-08",13.3
"80","2014-08-11",13.95
"81","2014-08-12",13.86
"82","2014-08-13",13.72
"83","2014-08-14",13.6
"84","2014-08-15",13.57
"85","2014-08-18",13.98
"86","2014-08-19",14.61
"87","2014-08-20",16.35
"88","2014-08-21",16.25
"89","2014-08-22",18.41
"90","2014-08-25",17.450001
"91","2014-08-26",18
"92","2014-08-27",16.6
"93","2014-08-28",16.42
"94","2014-08-29",16.35
"95","2014-09-02",16.16
"96","2014-09-03",17.15
"97","2014-09-04",17.290001
"98","2014-09-05",17.09
"99","2014-09-08",17.17
"100","2014-09-09",16.01
"101","2014-09-10",16.17
"102","2014-09-11",15.12
"103","2014-09-12",14.58
"104","2014-09-15",13.79
"105","2014-09-16",13.85
"106","2014-09-17",13.59
"107","2014-09-18",13.1
"108","2014-09-19",13.28
"109","2014-09-22",13.45
"110","2014-09-23",13.23
"111","2014-09-24",13.27
"112","2014-09-25",12.63
"113","2014-09-26",12.54
"114","2014-09-29",12.12
"115","2014-09-30",12.85
"116","2014-10-01",12.52
"117","2014-10-02",12.58
"118","2014-10-03",14.07
"119","2014-10-06",13.96
"120","2014-10-07",12.88
"121","2014-10-08",13.87
"122","2014-10-09",13.5
"123","2014-10-10",13
"124","2014-10-13",12.49
"125","2014-10-14",12.37
"126","2014-10-15",12.29
"127","2014-10-16",13.01
"128","2014-10-17",13.67
"129","2014-10-20",13.41
"130","2014-10-21",13.61
"131","2014-10-22",12.94
"132","2014-10-23",13.59
"133","2014-10-24",13.57
"134","2014-10-27",13.47
"135","2014-10-28",13.52
"136","2014-10-29",13.44
"137","2014-10-30",13.64
"138","2014-10-31",14
"139","2014-11-03",14.75
"140","2014-11-04",15.98
"141","2014-11-05",13.9
"142","2014-11-06",14.45
"143","2014-11-07",13.98
"144","2014-11-10",14.48
"145","2014-11-11",14.51
"146","2014-11-12",14.65
"147","2014-11-13",14.78
"148","2014-11-14",14.16
"149","2014-11-17",14.12
"150","2014-11-18",14.16
"151","2014-11-19",12.07
"152","2014-11-20",11.94
"153","2014-11-21",13.44
"154","2014-11-24",12.86
"155","2014-11-25",12.49
"156","2014-11-26",13.11
"157","2014-11-28",13.08
"158","2014-12-01",12.14
"159","2014-12-02",11.99
"160","2014-12-03",12.17
"161","2014-12-04",12
"162","2014-12-05",12.31
"163","2014-12-08",11.99
"164","2014-12-09",11.47
"165","2014-12-10",10.77
"166","2014-12-11",10.84
"167","2014-12-12",10.83
"168","2014-12-15",10.76
"169","2014-12-16",10.72
"170","2014-12-17",10.12
"171","2014-12-18",9.88
"172","2014-12-19",10.7
"173","2014-12-22",10.41
"174","2014-12-23",10.44
"175","2014-12-24",10.72
"176","2014-12-26",11.04
"177","2014-12-29",10.92
"178","2014-12-30",10.88
"179","2014-12-31",10.76
"180","2015-01-02",12.3
"181","2015-01-05",12.38
"182","2015-01-06",12.67
"183","2015-01-07",13.02
"184","2015-01-08",12.9
"185","2015-01-09",12.7
"186","2015-01-12",12.18
"187","2015-01-13",12.31
"188","2015-01-14",11.94
"189","2015-01-15",11.39
"190","2015-01-16",11.13
"191","2015-01-20",11.01
"192","2015-01-21",11.42
"193","2015-01-22",11.36
"194","2015-01-23",11.2
"195","2015-01-26",11.2
"196","2015-01-27",11.42
"197","2015-01-28",10.94
"198","2015-01-29",10.63
"199","2015-01-30",10.18
"200","2015-02-02",10.08
"201","2015-02-03",10.43
"202","2015-02-04",10.44
"203","2015-02-05",9.95
