"","date","SIRI"
"1","2007-01-03",3.74
"2","2007-01-04",3.77
"3","2007-01-05",3.8
"4","2007-01-08",3.76
"5","2007-01-09",3.71
"6","2007-01-10",3.98
"7","2007-01-11",3.9
"8","2007-01-12",4.1
"9","2007-01-16",4.15
"10","2007-01-17",3.86
"11","2007-01-18",4.05
"12","2007-01-19",3.96
"13","2007-01-22",3.85
"14","2007-01-23",3.78
"15","2007-01-24",3.75
"16","2007-01-25",3.73
"17","2007-01-26",3.74
"18","2007-01-29",3.7
"19","2007-01-30",3.71
"20","2007-01-31",3.69
"21","2007-02-01",3.7
"22","2007-02-02",3.68
"23","2007-02-05",3.64
"24","2007-02-06",3.68
"25","2007-02-07",3.68
"26","2007-02-08",3.73
"27","2007-02-09",3.63
"28","2007-02-12",3.57
"29","2007-02-13",3.57
"30","2007-02-14",3.59
"31","2007-02-15",3.6
"32","2007-02-16",3.7
"33","2007-02-20",3.92
"34","2007-02-21",3.92
"35","2007-02-22",3.8
"36","2007-02-23",3.74
"37","2007-02-26",3.74
"38","2007-02-27",3.65
"39","2007-02-28",3.65
"40","2007-03-01",3.62
"41","2007-03-02",3.55
"42","2007-03-05",3.37
"43","2007-03-06",3.47
"44","2007-03-07",3.41
"45","2007-03-08",3.49
"46","2007-03-09",3.42
"47","2007-03-12",3.37
"48","2007-03-13",3.29
"49","2007-03-14",3.23
"50","2007-03-15",3.3
"51","2007-03-16",3.24
"52","2007-03-19",3.29
"53","2007-03-20",3.31
"54","2007-03-21",3.37
"55","2007-03-22",3.34
"56","2007-03-23",3.35
"57","2007-03-26",3.31
"58","2007-03-27",3.26
"59","2007-03-28",3.26
"60","2007-03-29",3.26
"61","2007-03-30",3.2
"62","2007-04-02",3.15
"63","2007-04-03",3.09
"64","2007-04-04",3.09
"65","2007-04-05",3.11
"66","2007-04-09",3.12
"67","2007-04-10",3.12
"68","2007-04-11",3.09
"69","2007-04-12",3.08
"70","2007-04-13",3.08
"71","2007-04-16",3.04
"72","2007-04-17",3.03
"73","2007-04-18",3.02
"74","2007-04-19",2.98
"75","2007-04-20",2.98
"76","2007-04-23",2.8
"77","2007-04-24",2.77
"78","2007-04-25",2.83
"79","2007-04-26",2.96
"80","2007-04-27",3.04
"81","2007-04-30",2.96
"82","2007-05-01",2.87
"83","2007-05-02",2.94
"84","2007-05-03",2.9
"85","2007-05-04",2.85
"86","2007-05-07",2.87
"87","2007-05-08",2.89
"88","2007-05-09",2.86
"89","2007-05-10",2.84
"90","2007-05-11",2.84
"91","2007-05-14",2.77
"92","2007-05-15",2.73
"93","2007-05-16",2.69
"94","2007-05-17",2.72
"95","2007-05-18",2.73
"96","2007-05-21",2.79
"97","2007-05-22",2.8
"98","2007-05-23",2.86
"99","2007-05-24",2.9
"100","2007-05-25",2.9
"101","2007-05-29",2.92
"102","2007-05-30",2.93
"103","2007-05-31",2.93
"104","2007-06-01",2.88
"105","2007-06-04",2.89
"106","2007-06-05",2.84
"107","2007-06-06",2.82
"108","2007-06-07",2.78
"109","2007-06-08",2.74
"110","2007-06-11",2.78
"111","2007-06-12",2.76
"112","2007-06-13",2.77
"113","2007-06-14",2.75
"114","2007-06-15",2.92
"115","2007-06-18",2.9
"116","2007-06-19",2.89
"117","2007-06-20",2.85
"118","2007-06-21",2.84
"119","2007-06-22",3.01
"120","2007-06-25",3.08
"121","2007-06-26",2.93
"122","2007-06-27",2.97
"123","2007-06-28",3.02
"124","2007-06-29",3.02
"125","2007-07-02",3.03
"126","2007-07-03",2.98
"127","2007-07-05",3.1
"128","2007-07-06",3.07
"129","2007-07-09",3.01
"130","2007-07-10",3.02
"131","2007-07-11",3.04
"132","2007-07-12",3.04
"133","2007-07-13",3.12
"134","2007-07-16",3.18
"135","2007-07-17",3.17
"136","2007-07-18",3.24
"137","2007-07-19",3.19
"138","2007-07-20",3.12
"139","2007-07-23",3.21
