"","date","BBGI"
"1","2007-01-03",9.54
"2","2007-01-04",9.5
"3","2007-01-05",9.45
"4","2007-01-08",9.42
"5","2007-01-09",9.41
"6","2007-01-10",9.3
"7","2007-01-11",9.21
"8","2007-01-12",9
"9","2007-01-16",9.09
"10","2007-01-17",9.06
"11","2007-01-18",9.2
"12","2007-01-19",9.2
"13","2007-01-22",9.12
"14","2007-01-23",9.29
"15","2007-01-24",9.11
"16","2007-01-25",9.15
"17","2007-01-26",9.12
"18","2007-01-29",9.18
"19","2007-01-30",9.27
"20","2007-01-31",9.49
"21","2007-02-01",9.25
"22","2007-02-02",9.25
"23","2007-02-05",9.22
"24","2007-02-06",9.22
"25","2007-02-07",9.16
"26","2007-02-08",9.24
"27","2007-02-09",9.17
"28","2007-02-12",9.09
"29","2007-02-13",9.2
"30","2007-02-14",9.2
"31","2007-02-15",9.14
"32","2007-02-16",9.13
"33","2007-02-20",9.19
"34","2007-02-21",9.2
"35","2007-02-22",9.2
"36","2007-02-23",9.21
"37","2007-02-26",9.2
"38","2007-02-27",8.87
"39","2007-02-28",8.75
"40","2007-03-01",8.73
"41","2007-03-02",8.85
"42","2007-03-05",9.04
"43","2007-03-06",9.12
"44","2007-03-07",8.8
"45","2007-03-08",8.8
"46","2007-03-09",9.25
"47","2007-03-12",9.19
"48","2007-03-13",9.2
"49","2007-03-14",9
"50","2007-03-15",9
"51","2007-03-16",9
"52","2007-03-19",9
"53","2007-03-20",8.98
"54","2007-03-21",9
"55","2007-03-22",9
"56","2007-03-23",8.97
"57","2007-03-26",9.06
"58","2007-03-27",9.07
"59","2007-03-28",8.92
"60","2007-03-29",8.63
"61","2007-03-30",8.47
"62","2007-04-02",8.64
"63","2007-04-03",8.9
"64","2007-04-04",8.8
"65","2007-04-05",8.75
"66","2007-04-09",8.62
"67","2007-04-10",8.77
"68","2007-04-11",8.62
"69","2007-04-12",9.13
"70","2007-04-13",9.02
"71","2007-04-16",9.01
"72","2007-04-17",9.01
"73","2007-04-18",9.02
"74","2007-04-19",9.04
"75","2007-04-20",9.03
"76","2007-04-23",9.09
"77","2007-04-24",9.02
"78","2007-04-25",9.01
"79","2007-04-26",8.96
"80","2007-04-27",8.95
"81","2007-04-30",9.14
"82","2007-05-01",9
"83","2007-05-02",9.08
"84","2007-05-03",9.01
"85","2007-05-04",8.9
"86","2007-05-07",9
"87","2007-05-08",8.97
"88","2007-05-09",8.96
"89","2007-05-10",9
"90","2007-05-11",8.98
"91","2007-05-14",9
"92","2007-05-15",8.99
"93","2007-05-16",9
"94","2007-05-17",9
"95","2007-05-18",8.98
"96","2007-05-21",8.98
"97","2007-05-22",8.93
"98","2007-05-23",8.84
"99","2007-05-24",8.79
"100","2007-05-25",8.75
"101","2007-05-29",8.69
"102","2007-05-30",8.63
"103","2007-05-31",8.59
"104","2007-06-01",8.69
"105","2007-06-04",8.73
"106","2007-06-05",8.86
"107","2007-06-06",8.87
"108","2007-06-07",8.73
"109","2007-06-08",8.77
"110","2007-06-11",8.67
"111","2007-06-12",8.64
"112","2007-06-13",8.47
"113","2007-06-14",7.87
"114","2007-06-15",7.49
"115","2007-06-18",7.75
"116","2007-06-19",8.21
"117","2007-06-20",8.44
"118","2007-06-21",8.46
"119","2007-06-22",8.35
"120","2007-06-25",8.43
"121","2007-06-26",8.51
"122","2007-06-27",8.67
"123","2007-06-28",8.67
"124","2007-06-29",8.9
"125","2007-07-02",9
"126","2007-07-03",9
"127","2007-07-05",9
"128","2007-07-06",9
"129","2007-07-09",8.96
"130","2007-07-10",8.94
"131","2007-07-11",8.75
"132","2007-07-12",8.66
"133","2007-07-13",8.52
"134","2007-07-16",8.36
"135","2007-07-17",8.21
"136","2007-07-18",8.29
"137","2007-07-19",8.39
"138","2007-07-20",8.52
"139","2007-07-23",8.68
"140","2007-07-24",8.77
"141","2007-07-25",8.72
"142","2007-07-26",8.61
"143","2007-07-27",8.67
"144","2007-07-30",8.6
"145","2007-07-31",8.63
"146","2007-08-01",8.59
"147","2007-08-02",8.65
"148","2007-08-03",8.48
"149","2007-08-06",8.47
"150","2007-08-07",7.88
"151","2007-08-08",7.63
"152","2007-08-09",7.96
"153","2007-08-10",8.03
"154","2007-08-13",7.05
"155","2007-08-14",7.04
"156","2007-08-15",7.25
"157","2007-08-16",7.14
"158","2007-08-17",7.12
"159","2007-08-20",7.1
"160","2007-08-21",7.07
"161","2007-08-22",7.01
"162","2007-08-23",7
"163","2007-08-24",7.22
"164","2007-08-27",7.19
"165","2007-08-28",7.16
"166","2007-08-29",7.27
"167","2007-08-30",7.3
"168","2007-08-31",7.38
"169","2007-09-04",7.34
"170","2007-09-05",7.19
"171","2007-09-06",7.17
"172","2007-09-07",7.13
"173","2007-09-10",7.13
"174","2007-09-11",7.02
"175","2007-09-12",7.02
"176","2007-09-13",7.09
"177","2007-09-14",7.05
"178","2007-09-17",7.03
"179","2007-09-18",7.03
"180","2007-09-19",6.68
"181","2007-09-20",7.2
"182","2007-09-21",7
"183","2007-09-24",7.11
"184","2007-09-25",7.17
"185","2007-09-26",7.3
"186","2007-09-27",7.36
"187","2007-09-28",7.51
"188","2007-10-01",7.51
"189","2007-10-02",7.34
"190","2007-10-03",7.41
"191","2007-10-04",7.51
"192","2007-10-05",7.77
"193","2007-10-08",8.02
"194","2007-10-09",7.6
"195","2007-10-10",7.75
"196","2007-10-11",7.84
"197","2007-10-12",7.79
"198","2007-10-15",7.71
"199","2007-10-16",7.78
"200","2007-10-17",7.7
"201","2007-10-18",7.42
"202","2007-10-19",7.43
"203","2007-10-22",7.49
"204","2007-10-23",7.58
"205","2007-10-24",7.66
"206","2007-10-25",7.75
"207","2007-10-26",7.68
"208","2007-10-29",7.71
"209","2007-10-30",7.65
"210","2007-10-31",7.53
"211","2007-11-01",7.59
"212","2007-11-02",7.34
"213","2007-11-05",7.42
"214","2007-11-06",7.45
"215","2007-11-07",7.44
"216","2007-11-08",7.46
"217","2007-11-09",7.24
"218","2007-11-12",7.2
"219","2007-11-13",7.1
"220","2007-11-14",7.17
"221","2007-11-15",7.18
"222","2007-11-16",6.89
"223","2007-11-19",7.03
"224","2007-11-20",6.97
"225","2007-11-21",6.95
"226","2007-11-23",7
"227","2007-11-26",6.95
"228","2007-11-27",6.97
"229","2007-11-28",6.82
"230","2007-11-29",6.8
"231","2007-11-30",7
"232","2007-12-03",6.78
"233","2007-12-04",6.74
"234","2007-12-05",6.75
"235","2007-12-06",6.77
"236","2007-12-07",6.65
"237","2007-12-10",6.65
"238","2007-12-11",6.4
"239","2007-12-12",6.09
"240","2007-12-13",7.4
"241","2007-12-14",6.75
"242","2007-12-17",6.41
"243","2007-12-18",5.66
"244","2007-12-19",5.11
"245","2007-12-20",4.99
"246","2007-12-21",5.01
"247","2007-12-24",5.25
"248","2007-12-26",5.4
"249","2007-12-27",5.15
"250","2007-12-28",6.06
"251","2007-12-31",5.2
"252","2008-01-02",6.13
"253","2008-01-03",6.15
"254","2008-01-04",5.96
"255","2008-01-07",5.93
"256","2008-01-08",5.8
"257","2008-01-09",5.05
"258","2008-01-10",4.81
"259","2008-01-11",4.73
"260","2008-01-14",4.83
"261","2008-01-15",4.68
"262","2008-01-16",4.74
"263","2008-01-17",5.17
"264","2008-01-18",4.17
"265","2008-01-22",4.48
"266","2008-01-23",4.52
"267","2008-01-24",4.98
"268","2008-01-25",5.35
"269","2008-01-28",5.43
"270","2008-01-29",5.46
"271","2008-01-30",5.6
"272","2008-01-31",5.7
"273","2008-02-01",5.65
"274","2008-02-04",4.75
"275","2008-02-05",5.54
"276","2008-02-06",5.68
"277","2008-02-07",5.42
"278","2008-02-08",5.73
"279","2008-02-11",5.5
"280","2008-02-12",5.71
"281","2008-02-13",5.39
"282","2008-02-14",5.41
"283","2008-02-15",5.42
"284","2008-02-19",5.5
"285","2008-02-20",5.7
"286","2008-02-21",5.75
"287","2008-02-22",5.62
"288","2008-02-25",5.68
"289","2008-02-26",5.74
"290","2008-02-27",5.75
"291","2008-02-28",5.7
"292","2008-02-29",5.4
"293","2008-03-03",5.56
"294","2008-03-04",5.34
"295","2008-03-05",5.31
"296","2008-03-06",5.35
"297","2008-03-07",5.41
"298","2008-03-10",5.74
"299","2008-03-11",4.6
"300","2008-03-12",4.95
"301","2008-03-13",5.02
"302","2008-03-14",5.03
"303","2008-03-17",4.3
"304","2008-03-18",4.62
"305","2008-03-19",4.53
"306","2008-03-20",4.66
"307","2008-03-24",5.29
"308","2008-03-25",5.31
"309","2008-03-26",4.88
"310","2008-03-27",4.84
