"","date","UEPS"
"1","2007-01-03",29.02
"2","2007-01-04",29.379999
"3","2007-01-05",28.540001
"4","2007-01-08",28.16
"5","2007-01-09",28.059999
"6","2007-01-10",28.27
"7","2007-01-11",28.9
"8","2007-01-12",28.84
"9","2007-01-16",27.799999
"10","2007-01-17",27.309999
"11","2007-01-18",27.110001
"12","2007-01-19",27.629999
"13","2007-01-22",27.559999
"14","2007-01-23",27.209999
"15","2007-01-24",27
"16","2007-01-25",26.879999
"17","2007-01-26",27.43
"18","2007-01-29",27.5
"19","2007-01-30",27.4
"20","2007-01-31",27.1
"21","2007-02-01",30.09
"22","2007-02-02",30.049999
"23","2007-02-05",30.09
"24","2007-02-06",30.030001
"25","2007-02-07",29.83
"26","2007-02-08",30.18
"27","2007-02-09",29.139999
"28","2007-02-12",28.74
"29","2007-02-13",29.91
"30","2007-02-14",29.85
"31","2007-02-15",29.129999
"32","2007-02-16",28.85
"33","2007-02-20",28.540001
"34","2007-02-21",28.360001
"35","2007-02-22",28.23
"36","2007-02-23",28.110001
"37","2007-02-26",27.65
"38","2007-02-27",25.940001
"39","2007-02-28",26.76
"40","2007-03-01",27.01
"41","2007-03-02",26.309999
"42","2007-03-05",25.690001
"43","2007-03-06",26.34
"44","2007-03-07",26.34
"45","2007-03-08",26.049999
"46","2007-03-09",26.440001
"47","2007-03-12",27.01
"48","2007-03-13",26.030001
"49","2007-03-14",26.110001
"50","2007-03-15",25.5
"51","2007-03-16",25.1
"52","2007-03-19",24.83
"53","2007-03-20",25.5
"54","2007-03-21",26.18
"55","2007-03-22",26.01
"56","2007-03-23",26.02
"57","2007-03-26",26.09
"58","2007-03-27",26.02
"59","2007-03-28",25.540001
"60","2007-03-29",25.41
"61","2007-03-30",24.879999
"62","2007-04-02",24.91
"63","2007-04-03",25.040001
"64","2007-04-04",24.59
"65","2007-04-05",24.700001
"66","2007-04-09",24.459999
"67","2007-04-10",24.790001
"68","2007-04-11",24.799999
"69","2007-04-12",24.969999
"70","2007-04-13",24.870001
"71","2007-04-16",25.92
"72","2007-04-17",26.120001
"73","2007-04-18",26.110001
"74","2007-04-19",26.139999
"75","2007-04-20",26.17
"76","2007-04-23",25.75
"77","2007-04-24",25.799999
"78","2007-04-25",25.99
"79","2007-04-26",26.26
"80","2007-04-27",26.139999
"81","2007-04-30",25.18
"82","2007-05-01",24.879999
"83","2007-05-02",25.32
"84","2007-05-03",25.200001
"85","2007-05-04",25.51
"86","2007-05-07",25.190001
"87","2007-05-08",25.09
"88","2007-05-09",25.290001
"89","2007-05-10",24.76
"90","2007-05-11",26.969999
"91","2007-05-14",26.33
"92","2007-05-15",25.49
"93","2007-05-16",25.790001
