"","date","KRP"
"1","2017-02-03",20.639999
"2","2017-02-06",20.549999
"3","2017-02-07",20.43
"4","2017-02-08",19.790001
"5","2017-02-09",19.75
"6","2017-02-10",20
"7","2017-02-13",19.65
"8","2017-02-14",19.75
"9","2017-02-15",19.799999
"10","2017-02-16",19.549999
"11","2017-02-17",19.75
"12","2017-02-21",19.940001
"13","2017-02-22",19.361
"14","2017-02-23",19.15
"15","2017-02-24",19.25
"16","2017-02-27",19.16
"17","2017-02-28",19.27
"18","2017-03-01",19.309999
"19","2017-03-02",19.32
"20","2017-03-03",19.33
"21","2017-03-06",19.389999
"22","2017-03-07",19.34
"23","2017-03-08",19.700001
"24","2017-03-09",19.360001
"25","2017-03-10",19.389999
"26","2017-03-13",19.51
"27","2017-03-14",19.49
"28","2017-03-15",19.43
"29","2017-03-16",19.92
"30","2017-03-17",19.9
"31","2017-03-20",19.549999
"32","2017-03-21",19.35
"33","2017-03-22",19.549999
"34","2017-03-23",19.540001
"35","2017-03-24",19.58
"36","2017-03-27",19.48
"37","2017-03-28",19.5
"38","2017-03-29",19.5
"39","2017-03-30",19.629999
"40","2017-03-31",19.5
"41","2017-04-03",19.9
"42","2017-04-04",19.75
"43","2017-04-05",19.290001
"44","2017-04-06",19.42
"45","2017-04-07",19.65
"46","2017-04-10",19.4
"47","2017-04-11",19.309999
"48","2017-04-12",19.639999
"49","2017-04-13",19.559999
"50","2017-04-17",19.379999
"51","2017-04-18",19.389999
"52","2017-04-19",19.389999
"53","2017-04-20",18.5
"54","2017-04-21",18.450001
"55","2017-04-24",18.488001
"56","2017-04-25",18.620001
"57","2017-04-26",18.99
"58","2017-04-27",19.030001
"59","2017-04-28",18.92
"60","2017-05-01",19.07
"61","2017-05-02",19.049999
"62","2017-05-03",19.040001
"63","2017-05-04",18.83
"64","2017-05-05",18.940001
"65","2017-05-08",19.059999
"66","2017-05-09",18.940001
"67","2017-05-10",18.42
"68","2017-05-11",18.41
"69","2017-05-12",18.870001
"70","2017-05-15",19
"71","2017-05-16",19.125
"72","2017-05-17",18.85
"73","2017-05-18",18.889999
"74","2017-05-19",19.370001
"75","2017-05-22",19.16
"76","2017-05-23",19.75
"77","2017-05-24",19.85
"78","2017-05-25",19.99
"79","2017-05-26",19.85
"80","2017-05-30",19.67
"81","2017-05-31",19.9
"82","2017-06-01",19.709999
"83","2017-06-02",19.700001
"84","2017-06-05",18.860001
"85","2017-06-06",18.99
"86","2017-06-07",19
"87","2017-06-08",19.17
"88","2017-06-09",19.1
"89","2017-06-12",18.715
"90","2017-06-13",18.59
"91","2017-06-14",17
"92","2017-06-15",16.690001
"93","2017-06-16",16.75
"94","2017-06-19",16.049999
"95","2017-06-20",16
"96","2017-06-21",16.190001
"97","2017-06-22",16.08
"98","2017-06-23",16.25
"99","2017-06-26",15.96
"100","2017-06-27",16
"101","2017-06-28",15.875
"102","2017-06-29",16.620001
"103","2017-06-30",16.83
"104","2017-07-03",16.57
"105","2017-07-05",16.370001
"106","2017-07-06",16.5
"107","2017-07-07",16.530001
"108","2017-07-10",16.4
"109","2017-07-11",16.66
"110","2017-07-12",16.09
"111","2017-07-13",15.84
"112","2017-07-14",16.209999
"113","2017-07-17",16.35
"114","2017-07-18",16.059999
"115","2017-07-19",16.370001
"116","2017-07-20",16.040001
"117","2017-07-21",16.02
"118","2017-07-24",16.355
"119","2017-07-25",16.139999
"120","2017-07-26",16.02
"121","2017-07-27",15.94
"122","2017-07-28",16.049999
"123","2017-07-31",16.25
"124","2017-08-01",16.1
"125","2017-08-02",15.79
"126","2017-08-03",15.56
"127","2017-08-04",15.66
"128","2017-08-07",15.41
"129","2017-08-08",15.97
"130","2017-08-09",15.29
"131","2017-08-10",15.54
"132","2017-08-11",15.95
"133","2017-08-14",15.93
"134","2017-08-15",15.59
"135","2017-08-16",15.999
"136","2017-08-17",15.83
"137","2017-08-18",15.84
"138","2017-08-21",15.83
"139","2017-08-22",15.4
"140","2017-08-23",15.7
"141","2017-08-24",15.5
"142","2017-08-25",15.57
"143","2017-08-28",16.040001
"144","2017-08-29",15.69
"145","2017-08-30",15.5
"146","2017-08-31",15.69
"147","2017-09-01",15.5
"148","2017-09-05",15.9
"149","2017-09-06",15.92
"150","2017-09-07",15.93
"151","2017-09-08",16
"152","2017-09-11",15.82
"153","2017-09-12",15.75
"154","2017-09-13",15.91
"155","2017-09-14",15.54
"156","2017-09-15",15.91
"157","2017-09-18",15.675
"158","2017-09-19",15.75
"159","2017-09-20",15.95
"160","2017-09-21",15.7
"161","2017-09-22",15.82
"162","2017-09-25",15.66
"163","2017-09-26",15.75
"164","2017-09-27",15.8
