"","date","TG"
"1","2007-01-03",22.67
"2","2007-01-04",22.91
"3","2007-01-05",22.09
"4","2007-01-08",22.540001
"5","2007-01-09",22.200001
"6","2007-01-10",22.07
"7","2007-01-11",22.290001
"8","2007-01-12",22.35
"9","2007-01-16",22.719999
"10","2007-01-17",22.559999
"11","2007-01-18",22.059999
"12","2007-01-19",22.16
"13","2007-01-22",21.99
"14","2007-01-23",22.49
"15","2007-01-24",23.049999
"16","2007-01-25",22.6
"17","2007-01-26",22.5
"18","2007-01-29",22.700001
"19","2007-01-30",22.93
"20","2007-01-31",22.969999
"21","2007-02-01",22.99
"22","2007-02-02",23.16
"23","2007-02-05",23.139999
"24","2007-02-06",23.93
"25","2007-02-07",23.5
"26","2007-02-08",23.93
"27","2007-02-09",24.120001
"28","2007-02-12",24.34
"29","2007-02-13",24.440001
"30","2007-02-14",23.4
"31","2007-02-15",24
"32","2007-02-16",22.99
"33","2007-02-20",23.860001
"34","2007-02-21",23.85
"35","2007-02-22",24.200001
"36","2007-02-23",23.59
"37","2007-02-26",24.09
"38","2007-02-27",22.68
"39","2007-02-28",22.309999
"40","2007-03-01",22.25
"41","2007-03-02",21.35
"42","2007-03-05",21.18
"43","2007-03-06",22.030001
"44","2007-03-07",21.799999
"45","2007-03-08",22.030001
"46","2007-03-09",22.25
"47","2007-03-12",22.709999
"48","2007-03-13",21.950001
"49","2007-03-14",22.33
"50","2007-03-15",22.5
"51","2007-03-16",21.92
"52","2007-03-19",22.48
"53","2007-03-20",22.860001
"54","2007-03-21",23.309999
"55","2007-03-22",22.91
"56","2007-03-23",23.059999
"57","2007-03-26",22.879999
"58","2007-03-27",22.59
"59","2007-03-28",22.629999
"60","2007-03-29",22.74
"61","2007-03-30",22.790001
"62","2007-04-02",22.790001
"63","2007-04-03",23.370001
"64","2007-04-04",23.33
"65","2007-04-05",23.450001
"66","2007-04-09",23.07
"67","2007-04-10",23.469999
"68","2007-04-11",22.85
"69","2007-04-12",23.5
"70","2007-04-13",23.48
"71","2007-04-16",23.73
"72","2007-04-17",24.290001
"73","2007-04-18",23.440001
"74","2007-04-19",23.15
"75","2007-04-20",23.73
"76","2007-04-23",24.219999
"77","2007-04-24",23.709999
"78","2007-04-25",24.389999
"79","2007-04-26",24.360001
"80","2007-04-27",24.120001
"81","2007-04-30",23.370001
"82","2007-05-01",23.6
"83","2007-05-02",24.450001
"84","2007-05-03",23.299999
"85","2007-05-04",22.98
"86","2007-05-07",23.24
"87","2007-05-08",22.73
"88","2007-05-09",22.879999
"89","2007-05-10",22.129999
"90","2007-05-11",22.75
"91","2007-05-14",22.040001
"92","2007-05-15",21.879999
"93","2007-05-16",22.65
"94","2007-05-17",21.84
"95","2007-05-18",21.690001
"96","2007-05-21",22.540001
"97","2007-05-22",22.280001
"98","2007-05-23",22.67
"99","2007-05-24",22.389999
"100","2007-05-25",22.85
"101","2007-05-29",23.549999
"102","2007-05-30",23.91
"103","2007-05-31",23.110001
"104","2007-06-01",23.709999
"105","2007-06-04",23.24
"106","2007-06-05",23.110001
"107","2007-06-06",22.68
"108","2007-06-07",22.16
"109","2007-06-08",22.48
"110","2007-06-11",20.98
"111","2007-06-12",20.57
"112","2007-06-13",21.299999
"113","2007-06-14",21.48
"114","2007-06-15",22.190001
"115","2007-06-18",21.700001
"116","2007-06-19",22.43
"117","2007-06-20",21.629999
"118","2007-06-21",21.73
"119","2007-06-22",21.49
"120","2007-06-25",21.32
"121","2007-06-26",21.08
"122","2007-06-27",21.07
"123","2007-06-28",21.74
"124","2007-06-29",21.299999
"125","2007-07-02",22.129999
"126","2007-07-03",22.200001
"127","2007-07-05",21.780001
"128","2007-07-06",21.82
"129","2007-07-09",21.58
"130","2007-07-10",20.940001
"131","2007-07-11",21.120001
"132","2007-07-12",21.57
"133","2007-07-13",21.610001
"134","2007-07-16",20.77
"135","2007-07-17",21.43
"136","2007-07-18",21.6
"137","2007-07-19",21.26
"138","2007-07-20",21.190001
"139","2007-07-23",22.25
"140","2007-07-24",22.43
"141","2007-07-25",22.32
"142","2007-07-26",20.32
"143","2007-07-27",18.809999
"144","2007-07-30",19.290001
"145","2007-07-31",18.360001
"146","2007-08-01",18.549999
