"","date","CAMP"
"1","2007-01-03",8.28
"2","2007-01-04",8.41
"3","2007-01-05",8.15
"4","2007-01-08",8.14
"5","2007-01-09",8.12
"6","2007-01-10",7.98
"7","2007-01-11",8.07
"8","2007-01-12",7.45
"9","2007-01-16",7.54
"10","2007-01-17",7.68
"11","2007-01-18",7.64
"12","2007-01-19",7.64
"13","2007-01-22",7.6
"14","2007-01-23",7.82
"15","2007-01-24",7.88
"16","2007-01-25",7.75
"17","2007-01-26",7.84
"18","2007-01-29",7.92
"19","2007-01-30",8.11
"20","2007-01-31",7.96
"21","2007-02-01",8.19
"22","2007-02-02",8.27
"23","2007-02-05",8.35
"24","2007-02-06",8.65
"25","2007-02-07",8.5
"26","2007-02-08",9.01
"27","2007-02-09",8.88
"28","2007-02-12",8.92
"29","2007-02-13",8.88
"30","2007-02-14",8.88
"31","2007-02-15",8.83
"32","2007-02-16",8.89
"33","2007-02-20",9.02
"34","2007-02-21",8.98
"35","2007-02-22",8.97
"36","2007-02-23",8.64
"37","2007-02-26",9.04
"38","2007-02-27",8.66
"39","2007-02-28",8.89
"40","2007-03-01",8.82
"41","2007-03-02",8.53
"42","2007-03-05",8.43
"43","2007-03-06",8.52
"44","2007-03-07",8.52
"45","2007-03-08",8.56
"46","2007-03-09",8.55
"47","2007-03-12",8.92
"48","2007-03-13",8.57
"49","2007-03-14",8.77
"50","2007-03-15",8.72
"51","2007-03-16",8.79
"52","2007-03-19",8.7
"53","2007-03-20",8.92
"54","2007-03-21",8.97
"55","2007-03-22",8.84
"56","2007-03-23",8.82
"57","2007-03-26",8.87
"58","2007-03-27",8.71
"59","2007-03-28",8.67
"60","2007-03-29",8.66
"61","2007-03-30",8.63
"62","2007-04-02",8.75
"63","2007-04-03",9.04
"64","2007-04-04",8.9
"65","2007-04-05",8.99
"66","2007-04-09",8.91
"67","2007-04-10",8.88
"68","2007-04-11",8.88
"69","2007-04-12",8.99
"70","2007-04-13",9
"71","2007-04-16",9.5
"72","2007-04-17",9.02
"73","2007-04-18",9.1
"74","2007-04-19",8.94
"75","2007-04-20",9
"76","2007-04-23",8.95
"77","2007-04-24",8.99
"78","2007-04-25",8.99
"79","2007-04-26",8.95
"80","2007-04-27",8.75
"81","2007-04-30",8.33
"82","2007-05-01",8.35
"83","2007-05-02",8.36
"84","2007-05-03",8.5
"85","2007-05-04",8.52
"86","2007-05-07",8.16
"87","2007-05-08",8.07
"88","2007-05-09",8.08
"89","2007-05-10",7.6
"90","2007-05-11",8.06
"91","2007-05-14",7.89
"92","2007-05-15",7.71
"93","2007-05-16",7.9
"94","2007-05-17",7.82
