"","date","ONCS"
"1","2011-04-08",302
"2","2011-04-11",302
"3","2011-04-12",302
"4","2011-04-13",304
"5","2011-04-14",308
"6","2011-04-15",310
"7","2011-04-18",300
"8","2011-04-19",270
"9","2011-04-20",274
"10","2011-04-21",282
"11","2011-04-25",270
"12","2011-04-26",300
"13","2011-04-27",310
"14","2011-04-28",302
"15","2011-04-29",302
"16","2011-05-02",310
"17","2011-05-03",324
"18","2011-05-04",328
"19","2011-05-05",332
"20","2011-05-06",316
"21","2011-05-09",332
"22","2011-05-10",334
"23","2011-05-11",338
"24","2011-05-12",352
"25","2011-05-13",358
"26","2011-05-16",376
"27","2011-05-17",338
"28","2011-05-18",336
"29","2011-05-19",348
"30","2011-05-20",358
"31","2011-05-23",342
"32","2011-05-24",300
"33","2011-05-25",260
"34","2011-05-26",260
"35","2011-05-27",300
"36","2011-05-31",296
"37","2011-06-01",286
"38","2011-06-02",294
"39","2011-06-03",300
"40","2011-06-06",300
"41","2011-06-07",300
"42","2011-06-08",296
"43","2011-06-09",302
"44","2011-06-10",298
"45","2011-06-13",298
"46","2011-06-14",276
"47","2011-06-15",250
"48","2011-06-16",280
"49","2011-06-17",252
"50","2011-06-20",254
"51","2011-06-21",224
"52","2011-06-22",200
"53","2011-06-23",172
"54","2011-06-24",154
"55","2011-06-27",160
"56","2011-06-28",198
"57","2011-06-29",210
"58","2011-06-30",214
"59","2011-07-01",204
"60","2011-07-05",188
"61","2011-07-06",196
"62","2011-07-07",194
"63","2011-07-08",180
"64","2011-07-11",180
"65","2011-07-12",178
"66","2011-07-13",176
"67","2011-07-14",198
"68","2011-07-15",186
"69","2011-07-18",184
"70","2011-07-19",180
"71","2011-07-20",186
"72","2011-07-21",200
"73","2011-07-22",196
"74","2011-07-25",192
"75","2011-07-26",198
"76","2011-07-27",192
"77","2011-07-28",200
"78","2011-07-29",186
"79","2011-08-01",198
"80","2011-08-02",190
"81","2011-08-03",188
"82","2011-08-04",194
"83","2011-08-05",186
"84","2011-08-08",166
"85","2011-08-09",184
"86","2011-08-10",178
"87","2011-08-11",160
"88","2011-08-12",150
"89","2011-08-15",150
"90","2011-08-16",132
"91","2011-08-17",156
"92","2011-08-18",150
"93","2011-08-19",146
"94","2011-08-22",144
"95","2011-08-23",130
"96","2011-08-24",148
"97","2011-08-25",156
"98","2011-08-26",152
"99","2011-08-29",148
"100","2011-08-30",150
"101","2011-08-31",148
"102","2011-09-01",148
"103","2011-09-02",148
"104","2011-09-06",146
"105","2011-09-07",134
"106","2011-09-08",132
"107","2011-09-09",130
"108","2011-09-12",112
"109","2011-09-13",110
"110","2011-09-14",96
"111","2011-09-15",86
"112","2011-09-16",90
"113","2011-09-19",80
"114","2011-09-20",80
"115","2011-09-21",80
"116","2011-09-22",86
"117","2011-09-23",86
"118","2011-09-26",80
"119","2011-09-27",80
"120","2011-09-28",90
"121","2011-09-29",100
"122","2011-09-30",92
"123","2011-10-03",68
"124","2011-10-04",66
"125","2011-10-05",80
"126","2011-10-06",72
"127","2011-10-07",66
"128","2011-10-10",68
"129","2011-10-11",72
"130","2011-10-12",72
"131","2011-10-13",72
"132","2011-10-14",72
"133","2011-10-17",68
"134","2011-10-18",74
"135","2011-10-19",74
"136","2011-10-20",74
"137","2011-10-21",78
"138","2011-10-24",70
"139","2011-10-25",72
"140","2011-10-26",72
"141","2011-10-27",74
"142","2011-10-28",74
"143","2011-10-31",62
"144","2011-11-01",74
"145","2011-11-02",74
"146","2011-11-03",74
"147","2011-11-04",70
"148","2011-11-07",74
"149","2011-11-08",74
"150","2011-11-09",74
"151","2011-11-10",76
"152","2011-11-11",60
"153","2011-11-14",78
"154","2011-11-15",62
"155","2011-11-16",74
"156","2011-11-17",70
"157","2011-11-18",70
"158","2011-11-21",70
"159","2011-11-22",70
"160","2011-11-23",70
"161","2011-11-25",70
"162","2011-11-28",70
"163","2011-11-29",70
"164","2011-11-30",70
"165","2011-12-01",68
"166","2011-12-02",64
"167","2011-12-05",62
"168","2011-12-06",64
"169","2011-12-07",60
"170","2011-12-08",60
"171","2011-12-09",60
"172","2011-12-12",60
"173","2011-12-13",56
"174","2011-12-14",48
"175","2011-12-15",40
"176","2011-12-16",40
"177","2011-12-19",36
"178","2011-12-20",46
"179","2011-12-21",46
"180","2011-12-22",60
"181","2011-12-23",50
"182","2011-12-27",50
"183","2011-12-28",44
"184","2011-12-29",50
"185","2011-12-30",50
"186","2012-01-03",58
"187","2012-01-04",50
"188","2012-01-05",50
"189","2012-01-06",50
"190","2012-01-09",50
"191","2012-01-10",56
"192","2012-01-11",50
"193","2012-01-12",46
"194","2012-01-13",48
"195","2012-01-17",52
"196","2012-01-18",80
"197","2012-01-19",78
"198","2012-01-20",76
"199","2012-01-23",76
"200","2012-01-24",80
"201","2012-01-25",82
"202","2012-01-26",96
"203","2012-01-27",124
"204","2012-01-30",144
"205","2012-01-31",152
"206","2012-02-01",140
"207","2012-02-02",130
"208","2012-02-03",126
"209","2012-02-06",128
"210","2012-02-07",126
"211","2012-02-08",130
"212","2012-02-09",138
"213","2012-02-10",150
"214","2012-02-13",140
"215","2012-02-14",144
"216","2012-02-15",144
"217","2012-02-16",148
"218","2012-02-17",152
"219","2012-02-21",146
"220","2012-02-22",140
"221","2012-02-23",140
"222","2012-02-24",152
"223","2012-02-27",152
"224","2012-02-28",148
"225","2012-02-29",152
"226","2012-03-01",140
"227","2012-03-02",144
"228","2012-03-05",138
"229","2012-03-06",138
"230","2012-03-07",130
"231","2012-03-08",136
"232","2012-03-09",132
"233","2012-03-12",128
"234","2012-03-13",102
"235","2012-03-14",78
"236","2012-03-15",70
"237","2012-03-16",58
"238","2012-03-19",48
"239","2012-03-20",60
"240","2012-03-21",74
"241","2012-03-22",64
"242","2012-03-23",66
"243","2012-03-26",46
"244","2012-03-27",42
"245","2012-03-28",44
"246","2012-03-29",38
"247","2012-03-30",38
"248","2012-04-02",40
"249","2012-04-03",36
"250","2012-04-04",38
"251","2012-04-05",36
"252","2012-04-09",38
"253","2012-04-10",38
"254","2012-04-11",38
"255","2012-04-12",38
"256","2012-04-13",34
"257","2012-04-16",32
"258","2012-04-17",34
"259","2012-04-18",34
"260","2012-04-19",40
"261","2012-04-20",38
"262","2012-04-23",38
"263","2012-04-24",40
"264","2012-04-25",42
"265","2012-04-26",36
"266","2012-04-27",36
"267","2012-04-30",38
"268","2012-05-01",36
"269","2012-05-02",36
"270","2012-05-03",32
"271","2012-05-04",32
"272","2012-05-07",32
"273","2012-05-08",32
"274","2012-05-09",30
"275","2012-05-10",32
"276","2012-05-11",34
"277","2012-05-14",34
"278","2012-05-15",32
"279","2012-05-16",32
"280","2012-05-17",32
"281","2012-05-18",32
"282","2012-05-21",34
"283","2012-05-22",34
"284","2012-05-23",36
"285","2012-05-24",34
"286","2012-05-25",34
"287","2012-05-29",34
"288","2012-05-30",36
"289","2012-05-31",38
"290","2012-06-01",38
"291","2012-06-04",36
"292","2012-06-05",38
"293","2012-06-06",38
"294","2012-06-07",36
"295","2012-06-08",36
"296","2012-06-11",36
"297","2012-06-12",38
"298","2012-06-13",38
"299","2012-06-14",40
"300","2012-06-15",38
"301","2012-06-18",36
"302","2012-06-19",40
"303","2012-06-20",40
"304","2012-06-21",42
"305","2012-06-22",44
"306","2012-06-25",42
"307","2012-06-26",40
"308","2012-06-27",38
"309","2012-06-28",36
"310","2012-06-29",40
"311","2012-07-02",44
"312","2012-07-03",48
"313","2012-07-05",46
"314","2012-07-06",50
"315","2012-07-09",54
"316","2012-07-10",54
"317","2012-07-11",54
"318","2012-07-12",54
"319","2012-07-13",52
"320","2012-07-16",54
"321","2012-07-17",50
"322","2012-07-18",50
"323","2012-07-19",48
"324","2012-07-20",48
"325","2012-07-23",38
"326","2012-07-24",38
"327","2012-07-25",40
"328","2012-07-26",40
"329","2012-07-27",40
"330","2012-07-30",44
"331","2012-07-31",42
"332","2012-08-01",42
"333","2012-08-02",40
"334","2012-08-03",38
"335","2012-08-06",40
"336","2012-08-07",40
"337","2012-08-08",40
"338","2012-08-09",40
"339","2012-08-10",38
"340","2012-08-13",38
"341","2012-08-14",38
"342","2012-08-15",40
"343","2012-08-16",40
"344","2012-08-17",40
"345","2012-08-20",40
"346","2012-08-21",40
"347","2012-08-22",40
"348","2012-08-23",40
"349","2012-08-24",38
"350","2012-08-27",38
"351","2012-08-28",36
"352","2012-08-29",40
"353","2012-08-30",42
"354","2012-08-31",42
"355","2012-09-04",42
"356","2012-09-05",40
"357","2012-09-06",42
"358","2012-09-07",42
"359","2012-09-10",46
"360","2012-09-11",46
"361","2012-09-12",44
"362","2012-09-13",46
"363","2012-09-14",44
"364","2012-09-17",44
"365","2012-09-18",44
"366","2012-09-19",44
"367","2012-09-20",44
"368","2012-09-21",44
"369","2012-09-24",44
"370","2012-09-25",44
"371","2012-09-26",42
"372","2012-09-27",42
"373","2012-09-28",42
"374","2012-10-01",44
"375","2012-10-02",48
"376","2012-10-03",50
"377","2012-10-04",48
"378","2012-10-05",46
"379","2012-10-08",52
"380","2012-10-09",58
"381","2012-10-10",74
"382","2012-10-11",68
"383","2012-10-12",68
"384","2012-10-15",70
"385","2012-10-16",68
"386","2012-10-17",84
"387","2012-10-18",86
"388","2012-10-19",90
"389","2012-10-22",90
"390","2012-10-23",74
"391","2012-10-24",76
"392","2012-10-25",68
"393","2012-10-26",58
"394","2012-10-31",62
"395","2012-11-01",60
"396","2012-11-02",60
"397","2012-11-05",60
"398","2012-11-06",60
"399","2012-11-07",70
"400","2012-11-08",68
"401","2012-11-09",64
"402","2012-11-12",64
"403","2012-11-13",64
"404","2012-11-14",78
"405","2012-11-15",66
"406","2012-11-16",62
"407","2012-11-19",54
"408","2012-11-20",56
"409","2012-11-21",56
"410","2012-11-23",56
"411","2012-11-26",56
"412","2012-11-27",62
"413","2012-11-28",60
"414","2012-11-29",58
"415","2012-11-30",58
"416","2012-12-03",68
"417","2012-12-04",68
"418","2012-12-05",64
"419","2012-12-06",62
"420","2012-12-07",62
"421","2012-12-10",62
"422","2012-12-11",60
"423","2012-12-12",62
"424","2012-12-13",48
"425","2012-12-14",46
"426","2012-12-17",46
"427","2012-12-18",46
"428","2012-12-19",46
"429","2012-12-20",44
"430","2012-12-21",46
"431","2012-12-24",44
"432","2012-12-26",44
"433","2012-12-27",42
"434","2012-12-28",42
"435","2012-12-31",44
"436","2013-01-02",44
"437","2013-01-03",44
"438","2013-01-04",44
"439","2013-01-07",46
"440","2013-01-08",44
"441","2013-01-09",44
"442","2013-01-10",46
"443","2013-01-11",44
"444","2013-01-14",44
"445","2013-01-15",46
"446","2013-01-16",46
"447","2013-01-17",46
"448","2013-01-18",46
"449","2013-01-22",44
"450","2013-01-23",44
"451","2013-01-24",44
"452","2013-01-25",42
"453","2013-01-28",42
"454","2013-01-29",44
"455","2013-01-30",42
"456","2013-01-31",44
"457","2013-02-01",44
"458","2013-02-04",46
"459","2013-02-05",44
"460","2013-02-06",44
"461","2013-02-07",46
"462","2013-02-08",46
"463","2013-02-11",46
"464","2013-02-12",46
"465","2013-02-13",46
"466","2013-02-14",44
"467","2013-02-15",40
"468","2013-02-19",42
"469","2013-02-20",42
"470","2013-02-21",40
"471","2013-02-22",38
"472","2013-02-25",40
"473","2013-02-26",42
"474","2013-02-27",42
"475","2013-02-28",42
"476","2013-03-01",40
"477","2013-03-04",40
"478","2013-03-05",40
"479","2013-03-06",40
"480","2013-03-07",40
"481","2013-03-08",40
"482","2013-03-11",40
"483","2013-03-12",40
"484","2013-03-13",40
"485","2013-03-14",42
"486","2013-03-15",42
"487","2013-03-18",42
"488","2013-03-19",44
"489","2013-03-20",46
"490","2013-03-21",44
"491","2013-03-22",42
"492","2013-03-25",42
"493","2013-03-26",42
"494","2013-03-27",46
"495","2013-03-28",46
"496","2013-04-01",48
"497","2013-04-02",46
"498","2013-04-03",46
"499","2013-04-04",46
"500","2013-04-05",50
"501","2013-04-08",48
"502","2013-04-09",50
"503","2013-04-10",48
"504","2013-04-11",48
"505","2013-04-12",50
"506","2013-04-15",50
"507","2013-04-16",50
"508","2013-04-17",50
"509","2013-04-18",48
"510","2013-04-19",48
"511","2013-04-22",50
"512","2013-04-23",48
"513","2013-04-24",48
"514","2013-04-25",48
"515","2013-04-26",48
"516","2013-04-29",52
"517","2013-04-30",56
"518","2013-05-01",52
"519","2013-05-02",54
"520","2013-05-03",56
"521","2013-05-06",60
"522","2013-05-07",58
"523","2013-05-08",56
"524","2013-05-09",58
"525","2013-05-10",56
"526","2013-05-13",52
"527","2013-05-14",54
"528","2013-05-15",60
"529","2013-05-16",60
"530","2013-05-17",60
"531","2013-05-20",64
"532","2013-05-21",64
"533","2013-05-22",62
"534","2013-05-23",62
"535","2013-05-24",64
"536","2013-05-28",62
"537","2013-05-29",60
"538","2013-05-30",60
"539","2013-05-31",60
"540","2013-06-03",58
"541","2013-06-04",58
"542","2013-06-05",56
"543","2013-06-06",54
"544","2013-06-07",54
"545","2013-06-10",56
"546","2013-06-11",56
