"","date","OPRT"
"1","2019-09-26",16.17
"2","2019-09-27",16.26
"3","2019-09-30",16.219999
"4","2019-10-01",15.58
"5","2019-10-02",15.4
"6","2019-10-03",14.42
"7","2019-10-04",15
"8","2019-10-07",15.41
"9","2019-10-08",15.23
"10","2019-10-09",15.55
"11","2019-10-10",15.68
"12","2019-10-11",15.56
"13","2019-10-14",15.58
"14","2019-10-15",15.63
"15","2019-10-16",15.91
"16","2019-10-17",16.1
"17","2019-10-18",15.86
"18","2019-10-21",15.99
"19","2019-10-22",16.25
"20","2019-10-23",16.16
"21","2019-10-24",16.379999
"22","2019-10-25",16.99
"23","2019-10-28",16.65
"24","2019-10-29",16.200001
"25","2019-10-30",16.299999
"26","2019-10-31",16.120001
"27","2019-11-01",16.25
"28","2019-11-04",16.41
"29","2019-11-05",16.23
"30","2019-11-06",16.15
"31","2019-11-07",17
"32","2019-11-08",17.16
"33","2019-11-11",18.280001
"34","2019-11-12",18.51
"35","2019-11-13",19.84
"36","2019-11-14",19.33
"37","2019-11-15",19.690001
"38","2019-11-18",19.219999
"39","2019-11-19",20.110001
"40","2019-11-20",18.91
"41","2019-11-21",18.1
"42","2019-11-22",18.34
"43","2019-11-25",18.700001
"44","2019-11-26",18.76
"45","2019-11-27",19.059999
"46","2019-11-29",21.190001
"47","2019-12-02",20.9
"48","2019-12-03",19.889999
"49","2019-12-04",20.059999
"50","2019-12-05",20.15
"51","2019-12-06",20.26
"52","2019-12-09",20.4
"53","2019-12-10",20.08
"54","2019-12-11",19.99
"55","2019-12-12",19.440001
"56","2019-12-13",19.99
"57","2019-12-16",20.25
"58","2019-12-17",21.02
"59","2019-12-18",21.389999
"60","2019-12-19",21.93
"61","2019-12-20",21.01
"62","2019-12-23",22.450001
"63","2019-12-24",23.709999
"64","2019-12-26",24.75
"65","2019-12-27",23.34
"66","2019-12-30",23.879999
"67","2019-12-31",23.799999
"68","2020-01-02",23.629999
"69","2020-01-03",23.469999
"70","2020-01-06",23.51
"71","2020-01-07",23.33
"72","2020-01-08",23.09
"73","2020-01-09",22.91
"74","2020-01-10",22.68
"75","2020-01-13",23.389999
"76","2020-01-14",23.73
"77","2020-01-15",22.950001
"78","2020-01-16",23.049999
"79","2020-01-17",21.379999
"80","2020-01-21",21.379999
"81","2020-01-22",21.540001
"82","2020-01-23",20.780001
"83","2020-01-24",20.370001
"84","2020-01-27",20.620001
"85","2020-01-28",21.440001
"86","2020-01-29",21.4
"87","2020-01-30",22.450001
"88","2020-01-31",21.040001
"89","2020-02-03",19.969999
"90","2020-02-04",19.969999
