"","date","BLPH"
"1","2015-02-13",134.550003
"2","2015-02-17",138.600006
"3","2015-02-18",138.600006
"4","2015-02-19",138.600006
"5","2015-02-20",141.300003
"6","2015-02-23",144.149994
"7","2015-02-24",140.850006
"8","2015-02-25",142.350006
"9","2015-02-26",171.75
"10","2015-02-27",180
"11","2015-03-02",179.100006
"12","2015-03-03",175.350006
"13","2015-03-04",169.800003
"14","2015-03-05",174.75
"15","2015-03-06",174.600006
"16","2015-03-09",161.25
"17","2015-03-10",148.050003
"18","2015-03-11",152.399994
"19","2015-03-12",153.300003
"20","2015-03-13",146.25
"21","2015-03-16",168
"22","2015-03-17",170.699997
"23","2015-03-18",166.050003
"24","2015-03-19",161.699997
"25","2015-03-20",166.5
"26","2015-03-23",153
"27","2015-03-24",154.350006
"28","2015-03-25",151.350006
"29","2015-03-26",155.399994
"30","2015-03-27",150
"31","2015-03-30",140.25
"32","2015-03-31",137.699997
"33","2015-04-01",140.175003
"34","2015-04-02",144.75
"35","2015-04-06",146.25
"36","2015-04-07",151.199997
"37","2015-04-08",151.830002
"38","2015-04-09",147
"39","2015-04-10",149.100006
"40","2015-04-13",152.850006
"41","2015-04-14",154.800003
"42","2015-04-15",156.75
"43","2015-04-16",157.649994
"44","2015-04-17",154.949997
"45","2015-04-20",155.550003
"46","2015-04-21",150.899994
"47","2015-04-22",149.625
"48","2015-04-23",148.800003
"49","2015-04-24",142.949997
"50","2015-04-27",142.649994
"51","2015-04-28",127.5
"52","2015-04-29",136.350006
"53","2015-04-30",135
"54","2015-05-01",139.050003
"55","2015-05-04",128.699997
"56","2015-05-05",125.699997
"57","2015-05-06",128.850006
"58","2015-05-07",126.824997
"59","2015-05-08",128.25
"60","2015-05-11",127.949997
"61","2015-05-12",129.75
"62","2015-05-13",127.5
"63","2015-05-14",127.800003
"64","2015-05-15",129.899994
"65","2015-05-18",123
"66","2015-05-19",125.849998
"67","2015-05-20",128.25
"68","2015-05-21",135.300003
"69","2015-05-22",135.75
"70","2015-05-26",140.100006
