"","date","BANX"
"1","2013-11-07",25
"2","2013-11-08",24.99
"3","2013-11-11",25.25
"4","2013-11-12",25.01
"5","2013-11-13",25.209999
"6","2013-11-14",25.450001
"7","2013-11-15",25.299999
"8","2013-11-18",25.389999
"9","2013-11-19",25.700001
"10","2013-11-20",25.799999
"11","2013-11-21",25.68
"12","2013-11-22",25.299999
"13","2013-11-25",25.200001
"14","2013-11-26",25.049999
"15","2013-11-27",25
"16","2013-11-29",25.09
"17","2013-12-02",25.440001
"18","2013-12-03",25.34
"19","2013-12-04",25.35
"20","2013-12-05",25.389999
"21","2013-12-06",25.209999
"22","2013-12-09",25.200001
"23","2013-12-10",25.09
"24","2013-12-11",24.9
"25","2013-12-12",25
"26","2013-12-13",24.700001
"27","2013-12-16",24.85
"28","2013-12-17",24.9
"29","2013-12-18",25.02
"30","2013-12-19",24.9
"31","2013-12-20",24.5
"32","2013-12-23",24.620001
"33","2013-12-24",24.9
"34","2013-12-26",24.9
"35","2013-12-27",24.85
"36","2013-12-30",24.709999
"37","2013-12-31",24.559999
"38","2014-01-02",24.690001
"39","2014-01-03",24.75
"40","2014-01-06",24.780001
"41","2014-01-07",24.799999
"42","2014-01-08",24.6
"43","2014-01-09",24.65
"44","2014-01-10",24.719999
"45","2014-01-13",24.65
"46","2014-01-14",24.85
"47","2014-01-15",24.85
"48","2014-01-16",24.91
"49","2014-01-17",24.950001
"50","2014-01-21",25.1
"51","2014-01-22",25.18
"52","2014-01-23",25
"53","2014-01-24",24.9
"54","2014-01-27",24.809999
"55","2014-01-28",25
"56","2014-01-29",25
"57","2014-01-30",25.139999
"58","2014-01-31",25.09
"59","2014-02-03",24.93
"60","2014-02-04",24.809999
"61","2014-02-05",24.85
"62","2014-02-06",24.690001
"63","2014-02-07",25.09
"64","2014-02-10",24.690001
"65","2014-02-11",24.940001
"66","2014-02-12",24.940001
"67","2014-02-13",24.99
"68","2014-02-14",25
"69","2014-02-18",24.889999
"70","2014-02-19",24.65
"71","2014-02-20",24.65
"72","2014-02-21",24.700001
"73","2014-02-24",24.5
"74","2014-02-25",24.32
"75","2014-02-26",24.6
"76","2014-02-27",25
"77","2014-02-28",24.99
"78","2014-03-03",24.99
"79","2014-03-04",24.889999
"80","2014-03-05",24.459999
"81","2014-03-06",24.940001
"82","2014-03-07",24.99
"83","2014-03-10",24.549999
"84","2014-03-11",24.360001
"85","2014-03-12",24.459999
"86","2014-03-13",24.51
"87","2014-03-14",24.530001
"88","2014-03-17",24.76
"89","2014-03-18",25
"90","2014-03-19",25
"91","2014-03-20",24.91
"92","2014-03-21",25.01
"93","2014-03-24",25.1
