"","date","VIVE"
"1","2010-05-03",12800
"2","2010-05-04",12800
"3","2010-05-05",12800
"4","2010-05-06",13600
"5","2010-05-07",12800
"6","2010-05-10",11200
"7","2010-05-11",11200
"8","2010-05-12",11200
"9","2010-05-13",11200
"10","2010-05-14",14400
"11","2010-05-17",11200
"12","2010-05-18",12000
"13","2010-05-19",10000
"14","2010-05-20",9600
"15","2010-05-21",10000
"16","2010-05-24",10000
"17","2010-05-25",10000
"18","2010-05-26",10000
"19","2010-05-27",11200
"20","2010-05-28",10000
"21","2010-06-01",10000
"22","2010-06-02",10400
"23","2010-06-03",10400
"24","2010-06-04",10080
"25","2010-06-07",10000
"26","2010-06-08",10000
"27","2010-06-09",10000
"28","2010-06-10",11200
"29","2010-06-11",11200
"30","2010-06-14",11200
"31","2010-06-15",11200
"32","2010-06-16",10400
"33","2010-06-17",10400
"34","2010-06-18",10400
"35","2010-06-21",10560
"36","2010-06-22",10400
"37","2010-06-23",10400
"38","2010-06-24",12000
"39","2010-06-25",9600
"40","2010-06-28",8080
"41","2010-06-29",8080
"42","2010-06-30",8080
"43","2010-07-01",8080
"44","2010-07-02",8080
"45","2010-07-06",4400
"46","2010-07-07",6400
"47","2010-07-08",6400
"48","2010-07-09",5200
"49","2010-07-12",5200
"50","2010-07-13",5280
"51","2010-07-14",5280
"52","2010-07-15",5280
"53","2010-07-16",5520
"54","2010-07-19",5600
"55","2010-07-20",8000
"56","2010-07-21",5600
"57","2010-07-22",5600
"58","2010-07-23",6400
"59","2010-07-26",6400
"60","2010-07-27",6400
"61","2010-07-28",6400
"62","2010-07-29",7200
"63","2010-07-30",6400
"64","2010-08-02",6640
"65","2010-08-03",6400
"66","2010-08-04",6400
"67","2010-08-05",6400
"68","2010-08-06",6400
"69","2010-08-09",6400
"70","2010-08-10",6400
"71","2010-08-11",6400
"72","2010-08-12",6400
"73","2010-08-13",7200
"74","2010-08-16",6400
"75","2010-08-17",6400
"76","2010-08-18",6400
"77","2010-08-19",6400
"78","2010-08-20",6640
"79","2010-08-23",6640
"80","2010-08-24",6400
"81","2010-08-25",6400
"82","2010-08-26",6000
"83","2010-08-27",6000
"84","2010-08-30",6240
"85","2010-08-31",6240
"86","2010-09-01",6240
"87","2010-09-02",6240
"88","2010-09-03",6240
"89","2010-09-07",6240
"90","2010-09-08",6240
"91","2010-09-09",6240
"92","2010-09-10",6240
"93","2010-09-13",6240
"94","2010-09-14",6400
"95","2010-09-15",5680
"96","2010-09-16",5680
"97","2010-09-17",5680
"98","2010-09-20",5600
