"","date","ORRF"
"223","2007-11-19",31.75
"224","2007-11-20",31.75
"225","2007-11-21",32
"226","2007-11-23",34
"227","2007-11-26",31.700001
"228","2007-11-27",31.700001
"229","2007-11-28",32
"230","2007-11-29",32
"231","2007-11-30",31.5
"232","2007-12-03",31.5
"233","2007-12-04",33
"234","2007-12-05",32.5
"235","2007-12-06",32.5
"236","2007-12-07",33.25
"237","2007-12-10",33.25
"238","2007-12-11",31.5
"239","2007-12-12",31.5
"240","2007-12-13",31.5
"241","2007-12-14",31.5
"242","2007-12-17",32.099998
"243","2007-12-18",30
"244","2007-12-19",30
"245","2007-12-20",30.75
"246","2007-12-21",30.75
"247","2007-12-24",30
"248","2007-12-26",30
"249","2007-12-27",30
"250","2007-12-28",30
"251","2007-12-31",30
"252","2008-01-02",30
"253","2008-01-03",30
"254","2008-01-04",30
"255","2008-01-07",30
"256","2008-01-08",30
"257","2008-01-09",30
"258","2008-01-10",30
"259","2008-01-11",30
"260","2008-01-14",30
"261","2008-01-15",30
"262","2008-01-16",30
"263","2008-01-17",30
"264","2008-01-18",30
"265","2008-01-22",30
"266","2008-01-23",29.549999
"267","2008-01-24",29.549999
"268","2008-01-25",29.5
"269","2008-01-28",29.5
"270","2008-01-29",29.5
"271","2008-01-30",29.5
"272","2008-01-31",29.5
"273","2008-02-01",29.5
"274","2008-02-04",29.5
"275","2008-02-05",30
"276","2008-02-06",30
"277","2008-02-07",30
"278","2008-02-08",30
"279","2008-02-11",30
"280","2008-02-12",30.049999
"281","2008-02-13",30.049999
"282","2008-02-14",30.049999
"283","2008-02-15",30.1
"284","2008-02-19",30.1
"285","2008-02-20",31
"286","2008-02-21",30.1
"287","2008-02-22",30.549999
"288","2008-02-25",30.1
"289","2008-02-26",30.1
"290","2008-02-27",30.1
"291","2008-02-28",30.1
"292","2008-02-29",30.549999
"293","2008-03-03",30.549999
"294","2008-03-04",30.5
"295","2008-03-05",30.5
"296","2008-03-06",30.5
"297","2008-03-07",30.5
"298","2008-03-10",30.5
"299","2008-03-11",30.75
"300","2008-03-12",30.75
"301","2008-03-13",30.1
"302","2008-03-14",30.25
"303","2008-03-17",30.1
"304","2008-03-18",30.1
"305","2008-03-19",30.1
"306","2008-03-20",30.1
"307","2008-03-24",30.1
"308","2008-03-25",30.1
"309","2008-03-26",30.1
"310","2008-03-27",30.1
"311","2008-03-28",30.1
"312","2008-03-31",30.1
"313","2008-04-01",30.1
"314","2008-04-02",30.1
"315","2008-04-03",30.1
"316","2008-04-04",30.5
"317","2008-04-07",30.049999
"318","2008-04-08",30.049999
"319","2008-04-09",30.049999
"320","2008-04-10",30.049999
"321","2008-04-11",30.049999
"322","2008-04-14",30.049999
"323","2008-04-15",30.049999
"324","2008-04-16",31
"325","2008-04-17",31
"326","2008-04-18",30.5
"327","2008-04-21",30.5
"328","2008-04-22",30.5
"329","2008-04-23",30.5
"330","2008-04-24",30.049999
"331","2008-04-25",30.049999
"332","2008-04-28",30.049999
"333","2008-04-29",30.25
"334","2008-04-30",30.049999
"335","2008-05-01",30.049999
"336","2008-05-02",30.15
"337","2008-05-05",30.15
"338","2008-05-06",30.15
"339","2008-05-07",30.049999
"340","2008-05-08",30
"341","2008-05-09",30
"342","2008-05-12",31
"343","2008-05-13",30
"344","2008-05-14",30
"345","2008-05-15",30
"346","2008-05-16",31
"347","2008-05-19",31
"348","2008-05-20",30
"349","2008-05-21",30
"350","2008-05-22",31
"351","2008-05-23",30.5
"352","2008-05-27",30.5
"353","2008-05-28",30.5
"354","2008-05-29",30.5
"355","2008-05-30",30.99
"356","2008-06-02",31
"357","2008-06-03",32.75
"358","2008-06-04",33.959999
"359","2008-06-05",33.959999
"360","2008-06-06",32
"361","2008-06-09",32
"362","2008-06-10",32.049999
"363","2008-06-11",32.049999
"364","2008-06-12",32.34
"365","2008-06-13",32.34
"366","2008-06-16",32
"367","2008-06-17",32
"368","2008-06-18",31.25
"369","2008-06-19",30.5
"370","2008-06-20",30.5
"371","2008-06-23",30.5
"372","2008-06-24",30.5
"373","2008-06-25",30
"374","2008-06-26",30.25
"375","2008-06-27",30
"376","2008-06-30",30
"377","2008-07-01",29
"378","2008-07-02",29
"379","2008-07-03",29
"380","2008-07-07",29.549999
"381","2008-07-08",29.75
"382","2008-07-09",29.75
"383","2008-07-10",29.75
"384","2008-07-11",29.75
"385","2008-07-14",29.75
"386","2008-07-15",29.75
"387","2008-07-16",29.75
"388","2008-07-17",30
"389","2008-07-18",30
"390","2008-07-21",30
"391","2008-07-22",30
"392","2008-07-23",30
"393","2008-07-24",30.5
"394","2008-07-25",30.5
"395","2008-07-28",30.5
"396","2008-07-29",30.5
"397","2008-07-30",30.5
"398","2008-07-31",31
"399","2008-08-01",31
"400","2008-08-04",30.75
"401","2008-08-05",30.75
"402","2008-08-06",30.75
"403","2008-08-07",30.5
"404","2008-08-08",30
"405","2008-08-11",30.6
"406","2008-08-12",30
"407","2008-08-13",30
"408","2008-08-14",30
"409","2008-08-15",30.450001
"410","2008-08-18",30.549999
"411","2008-08-19",30.549999
"412","2008-08-20",30
"413","2008-08-21",30
"414","2008-08-22",30.549999
"415","2008-08-25",31.25
"416","2008-08-26",31.75
"417","2008-08-27",31.75
"418","2008-08-28",30.25
"419","2008-08-29",30.25
"420","2008-09-02",30
"421","2008-09-03",30.040001
"422","2008-09-04",30.040001
"423","2008-09-05",30.040001
"424","2008-09-08",30
"425","2008-09-09",30
"426","2008-09-10",30
"427","2008-09-11",30
"428","2008-09-12",30
"429","2008-09-15",30
"430","2008-09-16",30
"431","2008-09-17",30
"432","2008-09-18",30
"433","2008-09-19",30
"434","2008-09-22",30
"435","2008-09-23",30.5
"436","2008-09-24",30
"437","2008-09-25",30
"438","2008-09-26",30
"439","2008-09-29",30.5
"440","2008-09-30",30.5
"441","2008-10-01",30
"442","2008-10-02",30
"443","2008-10-03",30
"444","2008-10-06",30.25
"445","2008-10-07",30
"446","2008-10-08",29.799999
"447","2008-10-09",30
"448","2008-10-10",30.25
"449","2008-10-13",29.5
"450","2008-10-14",29.5
"451","2008-10-15",29.5
"452","2008-10-16",29.5
"453","2008-10-17",30.25
"454","2008-10-20",29.5
"455","2008-10-21",29.5
"456","2008-10-22",29.5
"457","2008-10-23",29.5
"458","2008-10-24",29.5
"459","2008-10-27",29.5
"460","2008-10-28",29.549999
"461","2008-10-29",29.549999
"462","2008-10-30",29.5
"463","2008-10-31",29.5
"464","2008-11-03",29.75
"465","2008-11-04",29.5
"466","2008-11-05",29.5
"467","2008-11-06",29.5
"468","2008-11-07",29.5
"469","2008-11-10",29.5
"470","2008-11-11",29.75
"471","2008-11-12",29.5
"472","2008-11-13",29.5
"473","2008-11-14",29.549999
"474","2008-11-17",29.5
"475","2008-11-18",29.5
"476","2008-11-19",29.5
"477","2008-11-20",29.5
"478","2008-11-21",29
"479","2008-11-24",29
"480","2008-11-25",29.25
"481","2008-11-26",29.5
"482","2008-11-28",29.5
"483","2008-12-01",29.299999
"484","2008-12-02",29.299999
"485","2008-12-03",29
"486","2008-12-04",29.25
"487","2008-12-05",29.25
"488","2008-12-08",29
"489","2008-12-09",29.75
"490","2008-12-10",29
"491","2008-12-11",29
"492","2008-12-12",29
"493","2008-12-15",28
"494","2008-12-16",28
"495","2008-12-17",27.75
"496","2008-12-18",27.75
"497","2008-12-19",27.75
"498","2008-12-22",27.75
"499","2008-12-23",27.25
"500","2008-12-24",27.25
"501","2008-12-26",27.25
"502","2008-12-29",27.25
"503","2008-12-30",27
"504","2008-12-31",27
"505","2009-01-02",27
"506","2009-01-05",28
"507","2009-01-06",28
"508","2009-01-07",29.25
"509","2009-01-08",28.25
"510","2009-01-09",28
"511","2009-01-12",28
"512","2009-01-13",27.5
"513","2009-01-14",27
"514","2009-01-15",27
"515","2009-01-16",27
"516","2009-01-20",27
"517","2009-01-21",27
"518","2009-01-22",27.5
"519","2009-01-23",27.5
"520","2009-01-26",27.5
"521","2009-01-27",27.5
"522","2009-01-28",27.5
"523","2009-01-29",27
"524","2009-01-30",27
"525","2009-02-02",27
"526","2009-02-03",27
"527","2009-02-04",26
"528","2009-02-05",27
"529","2009-02-06",27
"530","2009-02-09",27
"531","2009-02-10",27
"532","2009-02-11",27
"533","2009-02-12",27
"534","2009-02-13",27
"535","2009-02-17",27
"536","2009-02-18",25.5
"537","2009-02-19",25.5
"538","2009-02-20",26.75
"539","2009-02-23",26.75
"540","2009-02-24",25.5
"541","2009-02-25",26
"542","2009-02-26",26
"543","2009-02-27",27
"544","2009-03-02",25.5
"545","2009-03-03",25.5
"546","2009-03-04",24.5
"547","2009-03-05",24
"548","2009-03-06",24
"549","2009-03-09",23.5
"550","2009-03-10",23.5
"551","2009-03-11",23.5
"552","2009-03-12",24
"553","2009-03-13",24
"554","2009-03-16",24
"555","2009-03-17",24
"556","2009-03-18",24
"557","2009-03-19",23.5
"558","2009-03-20",23.5
"559","2009-03-23",24.5
"560","2009-03-24",24.5
"561","2009-03-25",24.5
"562","2009-03-26",24.5
"563","2009-03-27",24
"564","2009-03-30",24
"565","2009-03-31",24
"566","2009-04-01",24
"567","2009-04-02",24
"568","2009-04-03",24
"569","2009-04-06",24
"570","2009-04-07",24
"571","2009-04-08",23.25
"572","2009-04-09",23
"573","2009-04-13",23
"574","2009-04-14",23
"575","2009-04-15",23
"576","2009-04-16",22
"577","2009-04-17",22
"578","2009-04-20",22
"579","2009-04-21",22.5
"580","2009-04-22",22.5
"581","2009-04-23",22.75
"582","2009-04-24",22.75
"583","2009-04-27",23.9
"584","2009-04-28",24.51
"585","2009-04-29",24
"586","2009-04-30",25.25
"587","2009-05-01",24.5
"588","2009-05-04",24.5
"589","2009-05-05",24.5
"590","2009-05-06",25
"591","2009-05-07",25
"592","2009-05-08",25.92
"593","2009-05-11",27
"594","2009-05-12",26.700001
"595","2009-05-13",25.209999
"596","2009-05-14",27
"597","2009-05-15",27
"598","2009-05-18",27.049999
"599","2009-05-19",29.450001
"600","2009-05-20",31.75
"601","2009-05-21",32.200001
"602","2009-05-22",30
"603","2009-05-26",31
"604","2009-05-27",31.75
"605","2009-05-28",31.6
"606","2009-05-29",30.790001
"607","2009-06-01",30.379999
"608","2009-06-02",30.459999
"609","2009-06-03",32
"610","2009-06-04",33.5
"611","2009-06-05",34.959999
"612","2009-06-08",35.009998
"613","2009-06-09",36.060001
"614","2009-06-10",36.450001
"615","2009-06-11",39.450001
"616","2009-06-12",39.799999
"617","2009-06-15",38.349998
"618","2009-06-16",37.299999
"619","2009-06-17",37.5
"620","2009-06-18",36.75
"621","2009-06-19",37.5
"622","2009-06-22",36.73
"623","2009-06-23",36.060001
"624","2009-06-24",38.09
"625","2009-06-25",38.450001
"626","2009-06-26",39
"627","2009-06-29",36.310001
"628","2009-06-30",37.240002
"629","2009-07-01",37.509998
"630","2009-07-02",36.709999
"631","2009-07-06",36.59
"632","2009-07-07",36.439999
"633","2009-07-08",36.27
"634","2009-07-09",36.099998
"635","2009-07-10",36.09
"636","2009-07-13",36.610001
"637","2009-07-14",36.580002
"638","2009-07-15",37.18
"639","2009-07-16",36.810001
"640","2009-07-17",36.59
"641","2009-07-20",36.150002
