"","date","EBS"
"1","2007-01-03",11.3
"2","2007-01-04",11.4
"3","2007-01-05",11.03
"4","2007-01-08",11.42
"5","2007-01-09",11.93
"6","2007-01-10",11.77
"7","2007-01-11",11.93
"8","2007-01-12",12.81
"9","2007-01-16",13.42
"10","2007-01-17",13.82
"11","2007-01-18",13.91
"12","2007-01-19",15.19
"13","2007-01-22",15.76
"14","2007-01-23",16
"15","2007-01-24",16.98
"16","2007-01-25",16.91
"17","2007-01-26",15.84
"18","2007-01-29",15.74
"19","2007-01-30",15.42
"20","2007-01-31",15.09
"21","2007-02-01",15.07
"22","2007-02-02",14.87
"23","2007-02-05",14.82
"24","2007-02-06",14.95
"25","2007-02-07",15
"26","2007-02-08",14.84
"27","2007-02-09",14.89
"28","2007-02-12",15.06
"29","2007-02-13",15.03
"30","2007-02-14",14.67
"31","2007-02-15",14.91
"32","2007-02-16",14.96
"33","2007-02-20",15.01
"34","2007-02-21",15.03
"35","2007-02-22",14.06
"36","2007-02-23",14.02
"37","2007-02-26",13.8
"38","2007-02-27",12.71
"39","2007-02-28",12.57
"40","2007-03-01",11.99
"41","2007-03-02",11.51
"42","2007-03-05",10.83
"43","2007-03-06",10.66
"44","2007-03-07",11.57
"45","2007-03-08",11.99
"46","2007-03-09",12
"47","2007-03-12",11.95
"48","2007-03-13",11.88
"49","2007-03-14",11.99
"50","2007-03-15",11.82
"51","2007-03-16",11.92
"52","2007-03-19",12.14
"53","2007-03-20",12.32
"54","2007-03-21",13.46
"55","2007-03-22",14.2
"56","2007-03-23",15.07
"57","2007-03-26",13.68
"58","2007-03-27",14.42
"59","2007-03-28",13.6
"60","2007-03-29",13.4
"61","2007-03-30",13.42
"62","2007-04-02",12.95
"63","2007-04-03",13.31
"64","2007-04-04",13.07
"65","2007-04-05",13.28
"66","2007-04-09",13.01
"67","2007-04-10",13.37
"68","2007-04-11",13.73
"69","2007-04-12",14.36
"70","2007-04-13",14.22
"71","2007-04-16",13.08
"72","2007-04-17",13.39
"73","2007-04-18",13.35
"74","2007-04-19",13.96
"75","2007-04-20",14.08
"76","2007-04-23",13.6
"77","2007-04-24",14.1
"78","2007-04-25",14.37
"79","2007-04-26",14.21
"80","2007-04-27",13.68
"81","2007-04-30",13.14
"82","2007-05-01",13.59
"83","2007-05-02",13.54
"84","2007-05-03",13.31
"85","2007-05-04",13.5
"86","2007-05-07",13.12
"87","2007-05-08",13.02
"88","2007-05-09",12.31
"89","2007-05-10",11.3
"90","2007-05-11",10.67
"91","2007-05-14",11.21
"92","2007-05-15",10.65
"93","2007-05-16",10.29
"94","2007-05-17",10.5
"95","2007-05-18",10.5
"96","2007-05-21",10.72
"97","2007-05-22",11.41
"98","2007-05-23",11.17
"99","2007-05-24",10.92
"100","2007-05-25",11.25
"101","2007-05-29",10.47
"102","2007-05-30",10.12
"103","2007-05-31",10.01
"104","2007-06-01",10.07
"105","2007-06-04",9.57
"106","2007-06-05",9.23
"107","2007-06-06",9.07
"108","2007-06-07",8.58
"109","2007-06-08",8.67
"110","2007-06-11",8.78
"111","2007-06-12",8.64
"112","2007-06-13",8.43
"113","2007-06-14",8.84
"114","2007-06-15",9.49
"115","2007-06-18",10.06
"116","2007-06-19",9.76
"117","2007-06-20",9.2
"118","2007-06-21",8.96
"119","2007-06-22",8.9
"120","2007-06-25",9.21
"121","2007-06-26",9.39
"122","2007-06-27",9.82
"123","2007-06-28",9.79
"124","2007-06-29",10.3
"125","2007-07-02",10.79
"126","2007-07-03",10.96
"127","2007-07-05",10.31
"128","2007-07-06",10.05
"129","2007-07-09",10.39
"130","2007-07-10",10.26
"131","2007-07-11",10.7
"132","2007-07-12",10.95
"133","2007-07-13",11.1
"134","2007-07-16",11.01
"135","2007-07-17",11.23
"136","2007-07-18",11.48
"137","2007-07-19",12
"138","2007-07-20",11.83
"139","2007-07-23",12.35
"140","2007-07-24",11.29
"141","2007-07-25",11.75
"142","2007-07-26",11.72
"143","2007-07-27",10.55
"144","2007-07-30",9.85
"145","2007-07-31",9.29
"146","2007-08-01",9.15
"147","2007-08-02",9.09
"148","2007-08-03",8.83
"149","2007-08-06",8.75
"150","2007-08-07",9.29
"151","2007-08-08",9.03
"152","2007-08-09",9.43
"153","2007-08-10",9.88
"154","2007-08-13",9.47
"155","2007-08-14",9.46
"156","2007-08-15",8.9
"157","2007-08-16",8.07
"158","2007-08-17",8.53
"159","2007-08-20",8.41
"160","2007-08-21",8.65
"161","2007-08-22",8.96
"162","2007-08-23",8.53
"163","2007-08-24",8.99
"164","2007-08-27",8.67
"165","2007-08-28",8.93
"166","2007-08-29",8.89
"167","2007-08-30",8.99
"168","2007-08-31",8.93
"169","2007-09-04",8.82
"170","2007-09-05",8.64
"171","2007-09-06",8.6
"172","2007-09-07",8.45
"173","2007-09-10",8.29
"174","2007-09-11",8.71
"175","2007-09-12",8.53
"176","2007-09-13",8.1
"177","2007-09-14",8
"178","2007-09-17",8
"179","2007-09-18",7.96
"180","2007-09-19",7.92
"181","2007-09-20",7.79
"182","2007-09-21",7.77
"183","2007-09-24",7.72
"184","2007-09-25",7.79
"185","2007-09-26",9.22
"186","2007-09-27",8.8
"187","2007-09-28",8.88
"188","2007-10-01",8.74
"189","2007-10-02",8.57
"190","2007-10-03",8.81
"191","2007-10-04",9
"192","2007-10-05",8.98
"193","2007-10-08",8.96
"194","2007-10-09",9.3
"195","2007-10-10",9.88
"196","2007-10-11",9.84
"197","2007-10-12",10.01
"198","2007-10-15",9.84
"199","2007-10-16",9.86
"200","2007-10-17",10.03
"201","2007-10-18",10.38
"202","2007-10-19",10.14
"203","2007-10-22",10.19
"204","2007-10-23",10.22
"205","2007-10-24",9.98
"206","2007-10-25",9.92
"207","2007-10-26",9.9
"208","2007-10-29",9.98
"209","2007-10-30",9.92
"210","2007-10-31",10.08
"211","2007-11-01",10.14
"212","2007-11-02",9.85
