"","date","OFIX"
"1","2007-01-03",50.5
"2","2007-01-04",50.790001
"3","2007-01-05",50.09
"4","2007-01-08",49.959999
"5","2007-01-09",48.990002
"6","2007-01-10",48.389999
"7","2007-01-11",47.950001
"8","2007-01-12",49.110001
"9","2007-01-16",50.990002
"10","2007-01-17",50.740002
"11","2007-01-18",51.259998
"12","2007-01-19",49.860001
"13","2007-01-22",48.82
"14","2007-01-23",49.080002
"15","2007-01-24",49.689999
"16","2007-01-25",49.43
"17","2007-01-26",49.650002
"18","2007-01-29",49.869999
"19","2007-01-30",50.209999
"20","2007-01-31",50.380001
"21","2007-02-01",50.470001
"22","2007-02-02",50.73
"23","2007-02-05",50.060001
"24","2007-02-06",49.77
"25","2007-02-07",50.130001
"26","2007-02-08",50.040001
"27","2007-02-09",50
"28","2007-02-12",49.560001
"29","2007-02-13",49.919998
"30","2007-02-14",50.360001
"31","2007-02-15",51.139999
"32","2007-02-16",50.790001
"33","2007-02-20",51.09
"34","2007-02-21",50.709999
"35","2007-02-22",51.049999
"36","2007-02-23",51.380001
"37","2007-02-26",51.200001
"38","2007-02-27",49.810001
"39","2007-02-28",49.119999
"40","2007-03-01",49.490002
"41","2007-03-02",49.299999
"42","2007-03-05",48.07
"43","2007-03-06",49.02
"44","2007-03-07",49.009998
"45","2007-03-08",49.099998
"46","2007-03-09",49.200001
"47","2007-03-12",49.490002
"48","2007-03-13",49.48
"49","2007-03-14",49.380001
"50","2007-03-15",49.240002
"51","2007-03-16",48.970001
"52","2007-03-19",49.290001
"53","2007-03-20",49.200001
"54","2007-03-21",49.950001
"55","2007-03-22",50.27
"56","2007-03-23",50.389999
"57","2007-03-26",50.349998
"58","2007-03-27",50.290001
"59","2007-03-28",50.450001
"60","2007-03-29",50.549999
"61","2007-03-30",51.049999
"62","2007-04-02",51.279999
"63","2007-04-03",51.189999
"64","2007-04-04",51.459999
"65","2007-04-05",50.98
"66","2007-04-09",50.790001
"67","2007-04-10",50.75
"68","2007-04-11",50
"69","2007-04-12",49.970001
