"","date","BBW"
"1","2007-01-03",28.25
"2","2007-01-04",28.5
"3","2007-01-05",28.35
"4","2007-01-08",28.620001
"5","2007-01-09",29.25
"6","2007-01-10",28.49
"7","2007-01-11",28.629999
"8","2007-01-12",29.139999
"9","2007-01-16",28.700001
"10","2007-01-17",28.379999
"11","2007-01-18",28.620001
"12","2007-01-19",28.629999
"13","2007-01-22",28.1
"14","2007-01-23",29.549999
"15","2007-01-24",29.85
"16","2007-01-25",29.5
"17","2007-01-26",29.959999
"18","2007-01-29",30.299999
"19","2007-01-30",30.27
"20","2007-01-31",30.09
"21","2007-02-01",30
"22","2007-02-02",29.940001
"23","2007-02-05",29.440001
"24","2007-02-06",29.209999
"25","2007-02-07",29.190001
"26","2007-02-08",28.67
"27","2007-02-09",28.139999
"28","2007-02-12",28.08
"29","2007-02-13",29.52
"30","2007-02-14",30.15
"31","2007-02-15",30.309999
"32","2007-02-16",30.440001
"33","2007-02-20",27.82
"34","2007-02-21",27.92
"35","2007-02-22",27.84
"36","2007-02-23",27.51
"37","2007-02-26",27.780001
"38","2007-02-27",27.16
"39","2007-02-28",26.57
"40","2007-03-01",26.610001
"41","2007-03-02",26.1
"42","2007-03-05",25.92
"43","2007-03-06",25.940001
"44","2007-03-07",25.799999
"45","2007-03-08",26.4
"46","2007-03-09",27.190001
"47","2007-03-12",27.43
"48","2007-03-13",26.26
"49","2007-03-14",26.73
"50","2007-03-15",27.389999
"51","2007-03-16",27.610001
"52","2007-03-19",27.17
"53","2007-03-20",27.1
"54","2007-03-21",27.280001
"55","2007-03-22",27.450001
"56","2007-03-23",27.85
"57","2007-03-26",27.75
"58","2007-03-27",27.49
"59","2007-03-28",26.950001
"60","2007-03-29",26.9
"61","2007-03-30",27.469999
"62","2007-04-02",27.440001
"63","2007-04-03",27.48
"64","2007-04-04",27.16
"65","2007-04-05",27.48
"66","2007-04-09",26.959999
"67","2007-04-10",26.959999
"68","2007-04-11",26.450001
"69","2007-04-12",26.57
"70","2007-04-13",26.639999
"71","2007-04-16",26.5
"72","2007-04-17",26.33
"73","2007-04-18",26.17
"74","2007-04-19",26.33
"75","2007-04-20",27.190001
"76","2007-04-23",27.4
"77","2007-04-24",27
"78","2007-04-25",27.559999
"79","2007-04-26",27.959999
"80","2007-04-27",27.68
"81","2007-04-30",27.549999
"82","2007-05-01",28.09
"83","2007-05-02",28.860001
"84","2007-05-03",28.48
"85","2007-05-04",29
"86","2007-05-07",28.639999
"87","2007-05-08",28.48
"88","2007-05-09",29.780001
"89","2007-05-10",28.889999
"90","2007-05-11",29.280001
"91","2007-05-14",28.879999
"92","2007-05-15",28.25
"93","2007-05-16",28.6
"94","2007-05-17",28.799999
"95","2007-05-18",29.040001
"96","2007-05-21",29.85
"97","2007-05-22",30.620001
"98","2007-05-23",30.459999
"99","2007-05-24",30.24
"100","2007-05-25",30.290001
"101","2007-05-29",29.950001
"102","2007-05-30",29.92
"103","2007-05-31",29.9
"104","2007-06-01",30.15
"105","2007-06-04",30.08
"106","2007-06-05",29.82
"107","2007-06-06",29.83
"108","2007-06-07",29.969999
"109","2007-06-08",30.18
"110","2007-06-11",30.66
"111","2007-06-12",28.75
"112","2007-06-13",29.469999
"113","2007-06-14",29.610001
"114","2007-06-15",22.719999
"115","2007-06-18",22.799999
"116","2007-06-19",22.799999
"117","2007-06-20",22.5
"118","2007-06-21",22.530001
"119","2007-06-22",22.610001
"120","2007-06-25",22.67
"121","2007-06-26",22.42
"122","2007-06-27",22.51
"123","2007-06-28",25.700001
"124","2007-06-29",26.139999
"125","2007-07-02",25.98
"126","2007-07-03",26.15
"127","2007-07-05",25.82
"128","2007-07-06",25.969999
"129","2007-07-09",26.129999
"130","2007-07-10",25.82
"131","2007-07-11",25.549999
"132","2007-07-12",25.5
"133","2007-07-13",25.67
"134","2007-07-16",25.559999
"135","2007-07-17",25.559999
"136","2007-07-18",25.129999
"137","2007-07-19",24.6
"138","2007-07-20",24.059999
"139","2007-07-23",24.969999
"140","2007-07-24",24.67
"141","2007-07-25",23.469999
"142","2007-07-26",21.879999
"143","2007-07-27",21.049999
"144","2007-07-30",20.83
"145","2007-07-31",20
"146","2007-08-01",19.9
"147","2007-08-02",20.540001
"148","2007-08-03",18.969999
"149","2007-08-06",19.07
"150","2007-08-07",18.700001
"151","2007-08-08",18.5
"152","2007-08-09",18.15
"153","2007-08-10",17.030001
"154","2007-08-13",17.92
"155","2007-08-14",17.040001
"156","2007-08-15",17.280001
"157","2007-08-16",17.74
"158","2007-08-17",16.99
"159","2007-08-20",17.049999
"160","2007-08-21",17.15
"161","2007-08-22",17.99
"162","2007-08-23",17.91
"163","2007-08-24",17.719999
"164","2007-08-27",17.540001
"165","2007-08-28",16.85
"166","2007-08-29",17.059999
"167","2007-08-30",16.709999
"168","2007-08-31",16.459999
"169","2007-09-04",17.07
"170","2007-09-05",16.85
"171","2007-09-06",16.870001
"172","2007-09-07",15.84
"173","2007-09-10",15.92
"174","2007-09-11",16.379999
"175","2007-09-12",17.040001
"176","2007-09-13",17.860001
"177","2007-09-14",18.57
"178","2007-09-17",17.129999
"179","2007-09-18",18.139999
"180","2007-09-19",18.5
"181","2007-09-20",17.92
"182","2007-09-21",17.780001
"183","2007-09-24",17.92
"184","2007-09-25",16.75
"185","2007-09-26",17.25
"186","2007-09-27",18.219999
"187","2007-09-28",17.76
"188","2007-10-01",18.09
"189","2007-10-02",19.059999
"190","2007-10-03",19.620001
"191","2007-10-04",19.01
"192","2007-10-05",19.540001
"193","2007-10-08",19.190001
"194","2007-10-09",18.129999
"195","2007-10-10",18.02
"196","2007-10-11",17.9
"197","2007-10-12",18.25
"198","2007-10-15",18
"199","2007-10-16",17.780001
"200","2007-10-17",17.129999
"201","2007-10-18",17.559999
"202","2007-10-19",17.48
"203","2007-10-22",17.559999
"204","2007-10-23",17.469999
"205","2007-10-24",17.73
"206","2007-10-25",18.290001
