"","date","PLT"
"1","2007-01-03",21.17
"2","2007-01-04",21.18
"3","2007-01-05",20.85
"4","2007-01-08",20.9
"5","2007-01-09",20.799999
"6","2007-01-10",20.530001
"7","2007-01-11",20.92
"8","2007-01-12",20.809999
"9","2007-01-16",20.92
"10","2007-01-17",20.59
"11","2007-01-18",19.98
"12","2007-01-19",20.129999
"13","2007-01-22",19.969999
"14","2007-01-23",19.969999
"15","2007-01-24",19.969999
"16","2007-01-25",19.51
"17","2007-01-26",19.620001
"18","2007-01-29",19.75
"19","2007-01-30",19.65
"20","2007-01-31",19.700001
"21","2007-02-01",19.5
"22","2007-02-02",19.469999
"23","2007-02-05",19.450001
"24","2007-02-06",19.66
"25","2007-02-07",19.75
"26","2007-02-08",19.700001
"27","2007-02-09",19.559999
"28","2007-02-12",19.66
"29","2007-02-13",19.83
"30","2007-02-14",20.110001
"31","2007-02-15",20.299999
"32","2007-02-16",20.32
"33","2007-02-20",20.540001
"34","2007-02-21",20.860001
"35","2007-02-22",21.1
"36","2007-02-23",21.129999
"37","2007-02-26",21.280001
"38","2007-02-27",20.799999
"39","2007-02-28",20.450001
"40","2007-03-01",20.469999
"41","2007-03-02",20.26
"42","2007-03-05",19.969999
"43","2007-03-06",20.370001
"44","2007-03-07",19.75
"45","2007-03-08",19.870001
"46","2007-03-09",20.120001
"47","2007-03-12",21.530001
"48","2007-03-13",21.360001
"49","2007-03-14",21.02
"50","2007-03-15",21.870001
"51","2007-03-16",21.879999
"52","2007-03-19",22.41
"53","2007-03-20",22.75
"54","2007-03-21",23.370001
"55","2007-03-22",23.530001
"56","2007-03-23",23.049999
"57","2007-03-26",23.450001
"58","2007-03-27",23.5
"59","2007-03-28",23.27
"60","2007-03-29",23.25
"61","2007-03-30",23.620001
"62","2007-04-02",23.299999
"63","2007-04-03",23.82
"64","2007-04-04",23.59
"65","2007-04-05",23.639999
"66","2007-04-09",24.059999
"67","2007-04-10",24.68
"68","2007-04-11",23.950001
"69","2007-04-12",24.639999
"70","2007-04-13",24.43
"71","2007-04-16",24.52
"72","2007-04-17",24.389999
"73","2007-04-18",24.27
"74","2007-04-19",23.809999
"75","2007-04-20",24.1
"76","2007-04-23",24.360001
"77","2007-04-24",25
