"","date","EVA"
"1","2015-04-29",21.5
"2","2015-04-30",21.190001
"3","2015-05-01",21.4
"4","2015-05-04",21.26
"5","2015-05-05",21.35
"6","2015-05-06",21.16
"7","2015-05-07",21.190001
"8","2015-05-08",21.75
"9","2015-05-11",21.65
"10","2015-05-12",21.18
"11","2015-05-13",21.030001
"12","2015-05-14",20.85
"13","2015-05-15",21.01
"14","2015-05-18",20.34
"15","2015-05-19",20.57
"16","2015-05-20",20.1
"17","2015-05-21",20.67
"18","2015-05-22",21.1
"19","2015-05-26",20.959999
"20","2015-05-27",20.889999
"21","2015-05-28",20.33
"22","2015-05-29",20.360001
"23","2015-06-01",20.450001
"24","2015-06-02",20.1
"25","2015-06-03",20.25
"26","2015-06-04",19.26
"27","2015-06-05",19.82
"28","2015-06-08",19.9
"29","2015-06-09",19.799999
"30","2015-06-10",19.940001
"31","2015-06-11",19.059999
"32","2015-06-12",19.030001
"33","2015-06-15",19.16
"34","2015-06-16",18.9
"35","2015-06-17",19.219999
"36","2015-06-18",19.549999
"37","2015-06-19",19.559999
"38","2015-06-22",18.9
"39","2015-06-23",18.450001
"40","2015-06-24",18.74
"41","2015-06-25",18.040001
"42","2015-06-26",18.139999
"43","2015-06-29",18.040001
"44","2015-06-30",18.09
"45","2015-07-01",18.25
"46","2015-07-02",18.52
"47","2015-07-06",18.27
"48","2015-07-07",18.25
"49","2015-07-08",16.92
"50","2015-07-09",16.93
"51","2015-07-10",16.639999
"52","2015-07-13",16.73
"53","2015-07-14",16.959999
"54","2015-07-15",16.93
"55","2015-07-16",16.889999
"56","2015-07-17",16.68
"57","2015-07-20",16.549999
"58","2015-07-21",16.139999
"59","2015-07-22",15.98
"60","2015-07-23",15.99
"61","2015-07-24",15.68
"62","2015-07-27",15.53
"63","2015-07-28",15.21
"64","2015-07-29",14.95
"65","2015-07-30",14.94
"66","2015-07-31",15.45
"67","2015-08-03",16.290001
"68","2015-08-04",15.87
"69","2015-08-05",15.82
"70","2015-08-06",15.5
"71","2015-08-07",15.16
"72","2015-08-10",15.21
"73","2015-08-11",14.87
"74","2015-08-12",14.91
"75","2015-08-13",14.95
"76","2015-08-14",15.11
"77","2015-08-17",15.07
"78","2015-08-18",14.6
"79","2015-08-19",14.34
"80","2015-08-20",14.16
"81","2015-08-21",14.04
"82","2015-08-24",13.49
"83","2015-08-25",13.05
"84","2015-08-26",12.32
"85","2015-08-27",12.49
"86","2015-08-28",12.51
"87","2015-08-31",13.05
"88","2015-09-01",12.96
"89","2015-09-02",12.9
"90","2015-09-03",12.78
"91","2015-09-04",12.68
"92","2015-09-08",12.84
"93","2015-09-09",12.58
"94","2015-09-10",12.47
"95","2015-09-11",12.43
"96","2015-09-14",12.5
"97","2015-09-15",12.48
"98","2015-09-16",12.5
"99","2015-09-17",12.36
"100","2015-09-18",12.48
"101","2015-09-21",12.47
"102","2015-09-22",12.41
"103","2015-09-23",12.41
"104","2015-09-24",12.52
"105","2015-09-25",12.42
"106","2015-09-28",12.22
"107","2015-09-29",11.96
"108","2015-09-30",12.5
"109","2015-10-01",12.4
"110","2015-10-02",12.375
"111","2015-10-05",12.962
"112","2015-10-06",13.56
"113","2015-10-07",14.4
"114","2015-10-08",14.33
"115","2015-10-09",14.08
"116","2015-10-12",13.79
"117","2015-10-13",13.84
"118","2015-10-14",14.15
"119","2015-10-15",14.77
"120","2015-10-16",15.25
"121","2015-10-19",15.07
"122","2015-10-20",14.84
"123","2015-10-21",14.99
"124","2015-10-22",14.55
"125","2015-10-23",14.78
"126","2015-10-26",14.7
"127","2015-10-27",14.5
"128","2015-10-28",14.43
"129","2015-10-29",14.26
"130","2015-10-30",15.3
"131","2015-11-02",15.29
"132","2015-11-03",15.7
"133","2015-11-04",15.53
"134","2015-11-05",15.67
"135","2015-11-06",15.81
"136","2015-11-09",16.700001
"137","2015-11-10",16.219999
"138","2015-11-11",16.700001
"139","2015-11-12",17.110001
"140","2015-11-13",16.26
"141","2015-11-16",16
"142","2015-11-17",16.190001
"143","2015-11-18",16.08
"144","2015-11-19",16.34
"145","2015-11-20",15.97
"146","2015-11-23",15.39
"147","2015-11-24",15.1
"148","2015-11-25",15.44
"149","2015-11-27",15.33
"150","2015-11-30",15.31
"151","2015-12-01",15.39
"152","2015-12-02",14.64
"153","2015-12-03",14.89
"154","2015-12-04",15.76
"155","2015-12-07",16.15
"156","2015-12-08",15.7
"157","2015-12-09",14.9
"158","2015-12-10",15.32
"159","2015-12-11",14.84
"160","2015-12-14",14.48
"161","2015-12-15",14.44
"162","2015-12-16",14.38
"163","2015-12-17",14.2
"164","2015-12-18",14.14
