"","date","JNPR"
"1","2007-01-03",19.23
"2","2007-01-04",19.5
"3","2007-01-05",19.93
"4","2007-01-08",20.23
"5","2007-01-09",20.059999
"6","2007-01-10",20.280001
"7","2007-01-11",20.67
"8","2007-01-12",20.58
"9","2007-01-16",20.77
"10","2007-01-17",20.1
"11","2007-01-18",19.530001
"12","2007-01-19",19.51
"13","2007-01-22",19.129999
"14","2007-01-23",18.68
"15","2007-01-24",18.99
"16","2007-01-25",18.459999
"17","2007-01-26",18.959999
"18","2007-01-29",19.48
"19","2007-01-30",19.82
"20","2007-01-31",18.120001
"21","2007-02-01",17.98
"22","2007-02-02",18.200001
"23","2007-02-05",18.450001
"24","2007-02-06",18.629999
"25","2007-02-07",19.209999
"26","2007-02-08",20.08
"27","2007-02-09",19.209999
"28","2007-02-12",19.290001
"29","2007-02-13",19.15
"30","2007-02-14",19.66
"31","2007-02-15",19.860001
"32","2007-02-16",19.690001
"33","2007-02-20",19.969999
"34","2007-02-21",19.549999
"35","2007-02-22",19.5
"36","2007-02-23",19.780001
"37","2007-02-26",19.610001
"38","2007-02-27",18.530001
"39","2007-02-28",18.91
"40","2007-03-01",18.690001
"41","2007-03-02",18.4
"42","2007-03-05",17.969999
"43","2007-03-06",18.51
"44","2007-03-07",18.1
"45","2007-03-08",18.41
"46","2007-03-09",18.309999
"47","2007-03-12",18.450001
"48","2007-03-13",17.74
"49","2007-03-14",18.09
"50","2007-03-15",18.35
"51","2007-03-16",18.01
"52","2007-03-19",17.969999
"53","2007-03-20",18.75
"54","2007-03-21",19.24
"55","2007-03-22",19.280001
"56","2007-03-23",18.950001
"57","2007-03-26",19.620001
"58","2007-03-27",19.450001
"59","2007-03-28",19.620001
"60","2007-03-29",19.91
"61","2007-03-30",19.68
"62","2007-04-02",20.09
"63","2007-04-03",20.540001
"64","2007-04-04",20.65
"65","2007-04-05",20.57
"66","2007-04-09",20.790001
"67","2007-04-10",20.98
"68","2007-04-11",20.51
"69","2007-04-12",20.48
"70","2007-04-13",20.59
"71","2007-04-16",20.969999
"72","2007-04-17",20.879999
"73","2007-04-18",20.940001
"74","2007-04-19",20.57
"75","2007-04-20",20.52
"76","2007-04-23",21.110001
"77","2007-04-24",20.870001
"78","2007-04-25",21.57
"79","2007-04-26",22.309999
"80","2007-04-27",22.700001
"81","2007-04-30",22.360001
"82","2007-05-01",22.74
"83","2007-05-02",22.959999
"84","2007-05-03",23.27
"85","2007-05-04",22.950001
"86","2007-05-07",23.02
"87","2007-05-08",23.629999
"88","2007-05-09",23.709999
"89","2007-05-10",23.23
"90","2007-05-11",23.91
"91","2007-05-14",23.43
"92","2007-05-15",23.540001
"93","2007-05-16",24
"94","2007-05-17",23.690001
"95","2007-05-18",23.290001
"96","2007-05-21",23.77
"97","2007-05-22",23.85
"98","2007-05-23",23.709999
"99","2007-05-24",23.52
"100","2007-05-25",23.190001
"101","2007-05-29",24.09
"102","2007-05-30",24.4
"103","2007-05-31",24.41
"104","2007-06-01",24.65
"105","2007-06-04",24.950001
"106","2007-06-05",24.620001
"107","2007-06-06",24.469999
"108","2007-06-07",23.92
"109","2007-06-08",24.5
"110","2007-06-11",24.93
"111","2007-06-12",24.860001
"112","2007-06-13",25.389999
"113","2007-06-14",25.41
"114","2007-06-15",25.49
"115","2007-06-18",25.280001
"116","2007-06-19",25.49
"117","2007-06-20",24.82
"118","2007-06-21",25.309999
"119","2007-06-22",25.08
"120","2007-06-25",24.950001
"121","2007-06-26",24.99
"122","2007-06-27",25.5
"123","2007-06-28",25.33
"124","2007-06-29",25.17
"125","2007-07-02",25.790001
"126","2007-07-03",26.469999
"127","2007-07-05",26.959999
"128","2007-07-06",27.040001
"129","2007-07-09",26.83
"130","2007-07-10",26.540001
"131","2007-07-11",27.219999
"132","2007-07-12",27.9
"133","2007-07-13",27.85
"134","2007-07-16",26.959999
"135","2007-07-17",27.1
"136","2007-07-18",26.73
"137","2007-07-19",30.059999
"138","2007-07-20",30.4
"139","2007-07-23",31
"140","2007-07-24",30.23
"141","2007-07-25",31.780001
"142","2007-07-26",30.74
"143","2007-07-27",29.969999
