"","date","RADI"
"1","2020-10-05",8.75
"2","2020-10-06",8.648
"3","2020-10-07",8.566
"4","2020-10-08",8.3
"5","2020-10-09",8.5
"6","2020-10-12",8.5
"7","2020-10-13",8.24
"8","2020-10-14",8.16
"9","2020-10-15",7.74
"10","2020-10-16",7.8
"11","2020-10-19",7.99
"12","2020-10-20",7.9
"13","2020-10-21",7.625
"14","2020-10-22",7.75
"15","2020-10-23",7.82
"16","2020-10-26",7.75
"17","2020-10-27",7.65
"18","2020-10-28",7.61
"19","2020-10-29",7.825
"20","2020-10-30",7.5
"21","2020-11-02",7.76
"22","2020-11-03",8.5
"23","2020-11-04",8.5
"24","2020-11-05",9.16
"25","2020-11-06",8.97
"26","2020-11-09",9.87
"27","2020-11-10",9.5
"28","2020-11-11",9.5
"29","2020-11-12",9.5
"30","2020-11-13",9.2
"31","2020-11-16",9.25
"32","2020-11-17",8.62
"33","2020-11-18",8.99
"34","2020-11-19",9.01
"35","2020-11-20",9
"36","2020-11-23",8.78
"37","2020-11-24",9.01
"38","2020-11-25",8.91
"39","2020-11-27",9
