"","date","UHAL"
"1","2007-01-03",87.019997
"2","2007-01-04",89.400002
"3","2007-01-05",86.639999
"4","2007-01-08",86.949997
"5","2007-01-09",83.949997
"6","2007-01-10",84.57
"7","2007-01-11",85.5
"8","2007-01-12",87.169998
"9","2007-01-16",87.190002
"10","2007-01-17",85.279999
"11","2007-01-18",83.650002
"12","2007-01-19",83.669998
"13","2007-01-22",83.589996
"14","2007-01-23",84.669998
"15","2007-01-24",85.889999
"16","2007-01-25",83.75
"17","2007-01-26",84.82
"18","2007-01-29",84.68
"19","2007-01-30",83.910004
"20","2007-01-31",83.790001
"21","2007-02-01",84
"22","2007-02-02",83.330002
"23","2007-02-05",82.169998
"24","2007-02-06",82.040001
"25","2007-02-07",82
"26","2007-02-08",69.980003
"27","2007-02-09",66.290001
"28","2007-02-12",65.449997
"29","2007-02-13",66.18
"30","2007-02-14",68.900002
"31","2007-02-15",67.919998
"32","2007-02-16",67.510002
"33","2007-02-20",67.900002
"34","2007-02-21",70.040001
"35","2007-02-22",70.220001
"36","2007-02-23",69.410004
"37","2007-02-26",68.790001
"38","2007-02-27",65.099998
"39","2007-02-28",65.019997
"40","2007-03-01",65.82
"41","2007-03-02",61.830002
"42","2007-03-05",59.900002
"43","2007-03-06",63.610001
"44","2007-03-07",65.709999
"45","2007-03-08",65
"46","2007-03-09",65.190002
"47","2007-03-12",66.769997
"48","2007-03-13",64.360001
"49","2007-03-14",65.599998
"50","2007-03-15",67
"51","2007-03-16",67.379997
"52","2007-03-19",67.18
"53","2007-03-20",67.620003
"54","2007-03-21",69.080002
"55","2007-03-22",69.129997
"56","2007-03-23",71.400002
"57","2007-03-26",70.07
"58","2007-03-27",70.300003
"59","2007-03-28",69.849998
"60","2007-03-29",70.459999
"61","2007-03-30",69.989998
"62","2007-04-02",69.75
"63","2007-04-03",69.959999
"64","2007-04-04",70.599998
"65","2007-04-05",70.169998
"66","2007-04-09",70.699997
"67","2007-04-10",70.410004
"68","2007-04-11",70.879997
"69","2007-04-12",70.75
"70","2007-04-13",70.400002
"71","2007-04-16",71.800003
"72","2007-04-17",70.949997
"73","2007-04-18",70.279999
"74","2007-04-19",71.730003
"75","2007-04-20",72.860001
"76","2007-04-23",71.43
"77","2007-04-24",70.489998
"78","2007-04-25",72.529999
"79","2007-04-26",71.470001
"80","2007-04-27",70.650002
"81","2007-04-30",69.959999
"82","2007-05-01",69.269997
"83","2007-05-02",69.440002
"84","2007-05-03",70.529999
"85","2007-05-04",70.5
"86","2007-05-07",70.559998
"87","2007-05-08",70.589996
