"","date","ROK"
"1","2007-01-03",60.93
"2","2007-01-04",60.150002
"3","2007-01-05",59.799999
"4","2007-01-08",59.990002
"5","2007-01-09",59.939999
"6","2007-01-10",60
"7","2007-01-11",60.720001
"8","2007-01-12",61.18
"9","2007-01-16",61.09
"10","2007-01-17",61.93
"11","2007-01-18",61.82
"12","2007-01-19",62.459999
"13","2007-01-22",61.5
"14","2007-01-23",63
"15","2007-01-24",60.5
"16","2007-01-25",58.029999
"17","2007-01-26",58.330002
"18","2007-01-29",59.25
"19","2007-01-30",60.32
"20","2007-01-31",61.209999
"21","2007-02-01",62.200001
"22","2007-02-02",62.099998
"23","2007-02-05",61.970001
"24","2007-02-06",62.419998
"25","2007-02-07",63.169998
"26","2007-02-08",63.400002
"27","2007-02-09",63.060001
"28","2007-02-12",63.630001
"29","2007-02-13",64.620003
"30","2007-02-14",65.160004
"31","2007-02-15",65.120003
"32","2007-02-16",64.650002
"33","2007-02-20",64.790001
"34","2007-02-21",64.419998
"35","2007-02-22",64.769997
"36","2007-02-23",64.309998
"37","2007-02-26",63.5
"38","2007-02-27",61.459999
"39","2007-02-28",62.049999
"40","2007-03-01",62.07
"41","2007-03-02",60.790001
"42","2007-03-05",60.779999
"43","2007-03-06",61.619999
"44","2007-03-07",60.459999
"45","2007-03-08",61
"46","2007-03-09",61.389999
"47","2007-03-12",61.240002
"48","2007-03-13",59.889999
"49","2007-03-14",60.470001
"50","2007-03-15",60.040001
"51","2007-03-16",60.040001
"52","2007-03-19",61
"53","2007-03-20",61.299999
"54","2007-03-21",62.150002
"55","2007-03-22",61.509998
"56","2007-03-23",61.529999
"57","2007-03-26",61.23
"58","2007-03-27",60.790001
"59","2007-03-28",60.41
"60","2007-03-29",60.07
"61","2007-03-30",59.869999
"62","2007-04-02",60.950001
"63","2007-04-03",61.43
"64","2007-04-04",61.529999
"65","2007-04-05",58.07
"66","2007-04-09",58.16
"67","2007-04-10",58.09
"68","2007-04-11",57.720001
"69","2007-04-12",58.299999
"70","2007-04-13",57.689999
"71","2007-04-16",58.599998
"72","2007-04-17",59.529999
"73","2007-04-18",59.650002
"74","2007-04-19",58.330002
"75","2007-04-20",58.57
"76","2007-04-23",59.919998
"77","2007-04-24",59.110001
"78","2007-04-25",59.93
"79","2007-04-26",59.119999
"80","2007-04-27",60.23
"81","2007-04-30",59.540001
"82","2007-05-01",60.759998
"83","2007-05-02",61.560001
"84","2007-05-03",61.549999
"85","2007-05-04",62.98
"86","2007-05-07",63.02
"87","2007-05-08",63.459999
"88","2007-05-09",64.230003
"89","2007-05-10",63.240002
"90","2007-05-11",64.400002
"91","2007-05-14",63.459999
"92","2007-05-15",63.5
"93","2007-05-16",63.869999
"94","2007-05-17",63.790001
