"","date","SLP"
"1","2007-01-03",2.71
"2","2007-01-04",3.25
"3","2007-01-05",3.03
"4","2007-01-08",3.39
"5","2007-01-09",3.45
"6","2007-01-10",3.495
"7","2007-01-11",3.49
"8","2007-01-12",3.525
"9","2007-01-16",3.375
"10","2007-01-17",3.675
"11","2007-01-18",3.775
"12","2007-01-19",3.51
"13","2007-01-22",3.425
"14","2007-01-23",3.525
"15","2007-01-24",3.66
"16","2007-01-25",3.55
"17","2007-01-26",3.55
"18","2007-01-29",3.38
"19","2007-01-30",3.475
"20","2007-01-31",3.495
"21","2007-02-01",3.38
"22","2007-02-02",3.3
"23","2007-02-05",3.88
"24","2007-02-06",4.325
"25","2007-02-07",4.1
"26","2007-02-08",4.35
"27","2007-02-09",4.25
"28","2007-02-12",4.22
"29","2007-02-13",4.155
"30","2007-02-14",4.21
"31","2007-02-15",4.24
"32","2007-02-16",4.67
"33","2007-02-20",4.5
"34","2007-02-21",4.445
"35","2007-02-22",4.455
"36","2007-02-23",4.38
"37","2007-02-26",4.405
"38","2007-02-27",3.985
"39","2007-02-28",3.89
"40","2007-03-01",3.735
"41","2007-03-02",3.715
"42","2007-03-05",3.835
"43","2007-03-06",3.915
"44","2007-03-07",4.225
"45","2007-03-08",4.465
"46","2007-03-09",4.475
"47","2007-03-12",4.5
"48","2007-03-13",4.4
"49","2007-03-14",4.425
"50","2007-03-15",4.435
"51","2007-03-16",4.45
"52","2007-03-19",4.635
"53","2007-03-20",4.575
"54","2007-03-21",4.515
"55","2007-03-22",4.42
"56","2007-03-23",4.825
"57","2007-03-26",5.195
"58","2007-03-27",5.445
"59","2007-03-28",5.13
"60","2007-03-29",4.98
"61","2007-03-30",4.965
"62","2007-04-02",5.735
"63","2007-04-03",6.135
"64","2007-04-04",6.535
"65","2007-04-05",7.1
"66","2007-04-09",6.6
"67","2007-04-10",7.99
"68","2007-04-11",7.875
"69","2007-04-12",7.72
"70","2007-04-13",7.615
"71","2007-04-16",7.445
"72","2007-04-17",6.385
"73","2007-04-18",6.29
"74","2007-04-19",6.075
"75","2007-04-20",6.075
"76","2007-04-23",6.82
"77","2007-04-24",6.35
"78","2007-04-25",6.26
"79","2007-04-26",6.505
"80","2007-04-27",6.3
"81","2007-04-30",6.17
"82","2007-05-01",5.465
"83","2007-05-02",5.525
"84","2007-05-03",5.375
"85","2007-05-04",5
"86","2007-05-07",5.95
"87","2007-05-08",6.115
"88","2007-05-09",5.7
"89","2007-05-10",5.805
"90","2007-05-11",5.81
"91","2007-05-14",5.775
"92","2007-05-15",6.2
"93","2007-05-16",6.36
"94","2007-05-17",6.14
"95","2007-05-18",6.24
"96","2007-05-21",6.07
"97","2007-05-22",6.215
"98","2007-05-23",6.08
"99","2007-05-24",6.22
"100","2007-05-25",6.2
"101","2007-05-29",6.415
"102","2007-05-30",6.35
"103","2007-05-31",6.555
"104","2007-06-01",6.425
"105","2007-06-04",6.19
"106","2007-06-05",5.95
"107","2007-06-06",6
"108","2007-06-07",5.525
"109","2007-06-08",5.31
"110","2007-06-11",5.255
"111","2007-06-12",5.1
"112","2007-06-13",4.975
"113","2007-06-14",5.015
"114","2007-06-15",5.3
"115","2007-06-18",5.25
"116","2007-06-19",5.3
"117","2007-06-20",5.25
"118","2007-06-21",5.2
"119","2007-06-22",5.15
"120","2007-06-25",5.015
"121","2007-06-26",4.805
"122","2007-06-27",4.925
"123","2007-06-28",4.795
"124","2007-06-29",4.555
"125","2007-07-02",5
"126","2007-07-03",5.65
"127","2007-07-05",5.945
"128","2007-07-06",5.455
"129","2007-07-09",5.89
"130","2007-07-10",5.45
"131","2007-07-11",5.525
"132","2007-07-12",5.205
"133","2007-07-13",5.14
"134","2007-07-16",5.495
"135","2007-07-17",5.555
"136","2007-07-18",5.77
"137","2007-07-19",5.625
"138","2007-07-20",5.5
"139","2007-07-23",5.31
"140","2007-07-24",5.085
"141","2007-07-25",4.85
"142","2007-07-26",4.775
"143","2007-07-27",4.855
"144","2007-07-30",4.99
"145","2007-07-31",4.775
"146","2007-08-01",4.8
"147","2007-08-02",4.8
"148","2007-08-03",4.68
"149","2007-08-06",4.73
"150","2007-08-07",4.62
"151","2007-08-08",4.69
"152","2007-08-09",4.63
"153","2007-08-10",4.775
"154","2007-08-13",4.78
"155","2007-08-14",4.775
"156","2007-08-15",4.65
"157","2007-08-16",4.69
"158","2007-08-17",4.81
"159","2007-08-20",4.85
"160","2007-08-21",5.05
"161","2007-08-22",5.55
"162","2007-08-23",5.45
"163","2007-08-24",5.25
"164","2007-08-27",5.59
"165","2007-08-28",5.45
"166","2007-08-29",6.34
"167","2007-08-30",6.85
"168","2007-08-31",6.675
