"","date","IPHI"
"1","2010-11-12",15.63
"2","2010-11-15",15.84
"3","2010-11-16",15.9
"4","2010-11-17",16
"5","2010-11-18",16.200001
"6","2010-11-19",15.18
"7","2010-11-22",15.13
"8","2010-11-23",15.12
"9","2010-11-24",15.65
"10","2010-11-26",15.48
"11","2010-11-29",15.57
"12","2010-11-30",15.9
"13","2010-12-01",15.95
"14","2010-12-02",15.85
"15","2010-12-03",16.200001
"16","2010-12-06",16.77
"17","2010-12-07",17.83
"18","2010-12-08",18.280001
"19","2010-12-09",19.209999
"20","2010-12-10",19.48
"21","2010-12-13",19.610001
"22","2010-12-14",18.77
"23","2010-12-15",18.389999
"24","2010-12-16",18.26
"25","2010-12-17",18.370001
"26","2010-12-20",18.33
"27","2010-12-21",19.76
"28","2010-12-22",19.9
"29","2010-12-23",20.01
"30","2010-12-27",20.389999
"31","2010-12-28",20.41
"32","2010-12-29",20.559999
"33","2010-12-30",20.200001
"34","2010-12-31",20.09
"35","2011-01-03",21.23
"36","2011-01-04",20.74
"37","2011-01-05",21.68
"38","2011-01-06",21.6
"39","2011-01-07",20.629999
"40","2011-01-10",20.610001
"41","2011-01-11",20.440001
"42","2011-01-12",20.440001
"43","2011-01-13",20.219999
"44","2011-01-14",20.08
"45","2011-01-18",20.049999
"46","2011-01-19",19.5
"47","2011-01-20",18.02
"48","2011-01-21",17.99
"49","2011-01-24",17.450001
"50","2011-01-25",17.299999
"51","2011-01-26",17.85
"52","2011-01-27",18.85
"53","2011-01-28",18.98
"54","2011-01-31",18.93
"55","2011-02-01",19.32
"56","2011-02-02",19.16
"57","2011-02-03",19.59
"58","2011-02-04",20.25
"59","2011-02-07",20.9
"60","2011-02-08",20.9
"61","2011-02-09",21.040001
"62","2011-02-10",21.5
"63","2011-02-11",24.32
"64","2011-02-14",25.790001
"65","2011-02-15",25.110001
"66","2011-02-16",25.309999
"67","2011-02-17",26.629999
"68","2011-02-18",26.620001
"69","2011-02-22",23.379999
"70","2011-02-23",23.42
"71","2011-02-24",23.02
"72","2011-02-25",23.559999
"73","2011-02-28",23.99
"74","2011-03-01",22.09
"75","2011-03-02",22.85
"76","2011-03-03",25.49
"77","2011-03-04",25.6
"78","2011-03-07",24.530001
"79","2011-03-08",24.780001
"80","2011-03-09",23.07
"81","2011-03-10",20.540001
"82","2011-03-11",21.370001
"83","2011-03-14",22.24
