"","date","GWPH"
"1","2013-05-01",8.98
"2","2013-05-02",9.09
"3","2013-05-03",9.04
"4","2013-05-06",8.98
"5","2013-05-07",8.91
"6","2013-05-08",9
"7","2013-05-09",8.93
"8","2013-05-10",8.92
"9","2013-05-13",8.9
"10","2013-05-14",8.91
"11","2013-05-15",8.91
"12","2013-05-16",8.91
"13","2013-05-17",8.9
"14","2013-05-20",8.93
"15","2013-05-21",8.86
"16","2013-05-22",8.88
"17","2013-05-23",8.92
"18","2013-05-24",8.89
"19","2013-05-28",8.81
"20","2013-05-29",8.94
"21","2013-05-30",9
"22","2013-05-31",8.9
"23","2013-06-03",8.88
"24","2013-06-04",8.97
"25","2013-06-05",8.98
"26","2013-06-06",8.82
"27","2013-06-07",9.01
"28","2013-06-10",8.98
"29","2013-06-11",8.51
"30","2013-06-12",8.53
"31","2013-06-13",8.86
"32","2013-06-14",8.65
"33","2013-06-17",8.57
"34","2013-06-18",8.6
"35","2013-06-19",8.76
"36","2013-06-20",8.85
"37","2013-06-21",8.75
"38","2013-06-24",8.56
"39","2013-06-25",8.75
"40","2013-06-26",8.88
"41","2013-06-27",8.75
"42","2013-06-28",8.81
"43","2013-07-01",8.84
"44","2013-07-02",8.91
"45","2013-07-03",8.9
"46","2013-07-05",8.79
"47","2013-07-08",8.76
"48","2013-07-09",8.79
"49","2013-07-10",8.81
"50","2013-07-11",8.86
"51","2013-07-12",8.9
"52","2013-07-15",8.95
"53","2013-07-16",8.95
"54","2013-07-17",8.88
"55","2013-07-18",9
"56","2013-07-19",8.85
"57","2013-07-22",8.94
"58","2013-07-23",8.99
"59","2013-07-24",9.05
"60","2013-07-25",9.39
"61","2013-07-26",11.2
"62","2013-07-29",10.51
"63","2013-07-30",10.46
"64","2013-07-31",10.29
"65","2013-08-01",10.48
"66","2013-08-02",10.4
"67","2013-08-05",10.5
"68","2013-08-06",10.2
"69","2013-08-07",10.4
"70","2013-08-08",10.15
"71","2013-08-09",10.42
"72","2013-08-12",10.31
"73","2013-08-13",10.45
"74","2013-08-14",10.5
"75","2013-08-15",10.5
"76","2013-08-16",10.06
"77","2013-08-19",10.2
"78","2013-08-20",10.5
"79","2013-08-21",10.8
"80","2013-08-22",10.36
"81","2013-08-23",10.59
"82","2013-08-26",10.67
"83","2013-08-27",10.55
"84","2013-08-28",10.56
"85","2013-08-29",11.95
"86","2013-08-30",12.42
"87","2013-09-03",13.44
"88","2013-09-04",14.49
"89","2013-09-05",17
"90","2013-09-06",16.4
"91","2013-09-09",13.8
"92","2013-09-10",13.82
"93","2013-09-11",13.26
"94","2013-09-12",13.76
"95","2013-09-13",13.99
"96","2013-09-16",14.07
"97","2013-09-17",14.59
"98","2013-09-18",14.65
"99","2013-09-19",15
"100","2013-09-20",15.2
"101","2013-09-23",14.76
"102","2013-09-24",15.14
"103","2013-09-25",14.65
"104","2013-09-26",15.79
"105","2013-09-27",17.75
"106","2013-09-30",17.34
"107","2013-10-01",17.01
"108","2013-10-02",17.68
"109","2013-10-03",20.879999
"110","2013-10-04",24.700001
"111","2013-10-07",31.860001
"112","2013-10-08",28.5
"113","2013-10-09",25.799999
"114","2013-10-10",28.43
"115","2013-10-11",28.809999
"116","2013-10-14",28
"117","2013-10-15",28.25
"118","2013-10-16",28.190001
"119","2013-10-17",28.790001
"120","2013-10-18",29.120001
"121","2013-10-21",29.309999
"122","2013-10-22",29.790001
"123","2013-10-23",29.6
"124","2013-10-24",32.119999
"125","2013-10-25",31.959999
"126","2013-10-28",31.26
"127","2013-10-29",31.73
"128","2013-10-30",30.68
"129","2013-10-31",30.42
"130","2013-11-01",30.49
"131","2013-11-04",30.1
"132","2013-11-05",29.530001
"133","2013-11-06",29.040001
"134","2013-11-07",28.92
"135","2013-11-08",29.030001
"136","2013-11-11",32.849998
"137","2013-11-12",35.849998
"138","2013-11-13",35.450001
"139","2013-11-14",35.099998
"140","2013-11-15",35.669998
"141","2013-11-18",35.869999
"142","2013-11-19",34.419998
"143","2013-11-20",34.43
"144","2013-11-21",34.830002
"145","2013-11-22",35.040001
"146","2013-11-25",34.52
"147","2013-11-26",35
"148","2013-11-27",36.110001
"149","2013-11-29",36.490002
"150","2013-12-02",34.900002
"151","2013-12-03",32.849998
"152","2013-12-04",32.240002
"153","2013-12-05",31.41
"154","2013-12-06",31.129999
"155","2013-12-09",31.01
"156","2013-12-10",30.950001
"157","2013-12-11",30.559999
"158","2013-12-12",30.91
"159","2013-12-13",32.110001
"160","2013-12-16",33.099998
"161","2013-12-17",33.41
"162","2013-12-18",33.200001
"163","2013-12-19",32.700001
"164","2013-12-20",34.240002
"165","2013-12-23",36.139999
"166","2013-12-24",35.889999
"167","2013-12-26",36.77
"168","2013-12-27",37.75
"169","2013-12-30",40.389999
"170","2013-12-31",41.540001
"171","2014-01-02",40.580002
"172","2014-01-03",40.43
"173","2014-01-06",38.389999
"174","2014-01-07",38.200001
"175","2014-01-08",38.060001
"176","2014-01-09",47
"177","2014-01-10",48.939999
