"","date","FLNG"
"1","2019-06-17",11.21
"2","2019-06-18",11.45
"3","2019-06-19",12
"4","2019-06-20",11.913
"5","2019-06-21",12
"6","2019-06-24",12
"7","2019-06-25",12
"8","2019-06-26",11.75
"9","2019-06-27",11.7
"10","2019-06-28",11.8
"11","2019-07-01",11.9
"12","2019-07-02",11.801
"13","2019-07-03",11.66
"14","2019-07-05",11.66
"15","2019-07-08",12
"16","2019-07-09",11.9
"17","2019-07-10",12.4
"18","2019-07-11",12.5
"19","2019-07-12",12.79
"20","2019-07-15",13.53
"21","2019-07-16",13.35
"22","2019-07-17",12.27
"23","2019-07-18",12.3
"24","2019-07-19",12.35
"25","2019-07-22",12.85
"26","2019-07-23",12.89
"27","2019-07-24",12.9
"28","2019-07-25",13.25
"29","2019-07-26",12.69
"30","2019-07-29",12.471
"31","2019-07-30",12.45
"32","2019-07-31",12.615
"33","2019-08-01",12.25
"34","2019-08-02",12.27
"35","2019-08-05",11.6
"36","2019-08-06",11.69
"37","2019-08-07",11
"38","2019-08-08",10.9
"39","2019-08-09",10.937
"40","2019-08-12",10.703
"41","2019-08-13",10.505
"42","2019-08-14",9.966
"43","2019-08-15",9.3
"44","2019-08-16",9.45
"45","2019-08-19",10.05
"46","2019-08-20",10.015
"47","2019-08-21",10.475
"48","2019-08-22",10.1
"49","2019-08-23",9.84
"50","2019-08-26",10.185
"51","2019-08-27",9.96
"52","2019-08-28",9.95
"53","2019-08-29",9.83
"54","2019-08-30",9.85
"55","2019-09-03",9.7
"56","2019-09-04",9.8
"57","2019-09-05",10.006
"58","2019-09-06",9.85
"59","2019-09-09",10.223
"60","2019-09-10",10.075
"61","2019-09-11",10.25
"62","2019-09-12",9.99
"63","2019-09-13",10
"64","2019-09-16",10.04
"65","2019-09-17",9.993
"66","2019-09-18",9.928
"67","2019-09-19",9.995
"68","2019-09-20",9.7
"69","2019-09-23",9.71
"70","2019-09-24",9.62
"71","2019-09-25",9.66
"72","2019-09-26",9.75
"73","2019-09-27",9.65
"74","2019-09-30",9.65
"75","2019-10-01",9.65
"76","2019-10-02",9.533
"77","2019-10-03",9.24
"78","2019-10-04",9.37
"79","2019-10-07",10.3
"80","2019-10-08",9.987
"81","2019-10-09",10.69
"82","2019-10-10",11.164
"83","2019-10-11",11.67
"84","2019-10-14",11.37
"85","2019-10-15",10.98
"86","2019-10-16",10.7
"87","2019-10-17",10.9
"88","2019-10-18",11
"89","2019-10-21",11.18
"90","2019-10-22",10.51
"91","2019-10-23",10.8
"92","2019-10-24",10.9
"93","2019-10-25",11.35
"94","2019-10-28",10.504
"95","2019-10-29",10.2
"96","2019-10-30",10.01
"97","2019-10-31",9.6
"98","2019-11-01",10.05
"99","2019-11-04",9.38
"100","2019-11-05",9.2
"101","2019-11-06",8.812
"102","2019-11-07",8.8
"103","2019-11-08",8.66
"104","2019-11-11",8.695
"105","2019-11-12",8.7
"106","2019-11-13",8.857
"107","2019-11-14",9.18
"108","2019-11-15",9.33
"109","2019-11-18",8.981
"110","2019-11-19",9.15
"111","2019-11-20",9.334
"112","2019-11-21",10.1
"113","2019-11-22",9.7
"114","2019-11-25",9.76
"115","2019-11-26",9.41
"116","2019-11-27",9.47
"117","2019-11-29",9.662
"118","2019-12-02",10.07
"119","2019-12-03",9.297
"120","2019-12-04",9.102
"121","2019-12-05",9.103
"122","2019-12-06",9.45
"123","2019-12-09",9.45
"124","2019-12-10",9.402
"125","2019-12-11",9.6
"126","2019-12-12",9.41
"127","2019-12-13",9.25
"128","2019-12-16",9.378
"129","2019-12-17",10.07
"130","2019-12-18",9.811
"131","2019-12-19",10.99
"132","2019-12-20",10.69
"133","2019-12-23",11.46
"134","2019-12-24",11.54
"135","2019-12-26",11.39
"136","2019-12-27",10.91
"137","2019-12-30",10.749
"138","2019-12-31",10.898
"139","2020-01-02",10.81
"140","2020-01-03",10.739
"141","2020-01-06",10.391
