"","date","LMB"
"1","2014-08-08",9.45
"2","2014-08-11",9.45
"3","2014-08-12",9.44
"4","2014-08-13",9.48
"5","2014-08-14",9.44
"6","2014-08-15",9.47
"7","2014-08-18",9.45
"8","2014-08-19",9.45
"9","2014-08-20",9.48
"10","2014-08-21",9.46
"11","2014-08-22",9.44
"12","2014-08-25",9.5
"13","2014-08-26",9.51
"14","2014-08-27",9.46
"15","2014-08-28",9.47
"16","2014-08-29",9.48
"17","2014-09-02",9.48
"18","2014-09-03",9.47
"19","2014-09-04",9.47
"20","2014-09-05",9.47
"21","2014-09-08",9.47
"22","2014-09-09",9.47
"23","2014-09-10",9.5
"24","2014-09-11",9.47
"25","2014-09-12",9.47
"26","2014-09-15",9.5
"27","2014-09-16",9.49
"28","2014-09-17",9.51
"29","2014-09-18",9.48
"30","2014-09-19",9.51
"31","2014-09-22",9.48
"32","2014-09-23",9.51
"33","2014-09-24",9.57
"34","2014-09-25",9.465
"35","2014-09-26",9.57
"36","2014-09-29",9.56
"37","2014-09-30",9.56
"38","2014-10-01",9.62
"39","2014-10-02",9.56
"40","2014-10-03",9.52
"41","2014-10-06",9.54
"42","2014-10-07",9.54
"43","2014-10-08",9.54
"44","2014-10-09",9.54
"45","2014-10-10",9.54
"46","2014-10-13",9.54
"47","2014-10-14",9.54
"48","2014-10-15",9.54
"49","2014-10-16",9.54
"50","2014-10-17",9.54
"51","2014-10-20",9.54
"52","2014-10-21",9.54
"53","2014-10-22",9.54
"54","2014-10-23",9.49
"55","2014-10-24",9.49
"56","2014-10-27",9.49
"57","2014-10-28",9.49
"58","2014-10-29",9.49
"59","2014-10-30",9.49
"60","2014-10-31",9.56
"61","2014-11-03",9.56
"62","2014-11-04",9.56
"63","2014-11-05",9.56
"64","2014-11-06",9.56
"65","2014-11-07",9.56
"66","2014-11-10",9.56
"67","2014-11-11",9.56
"68","2014-11-12",9.56
"69","2014-11-13",9.56
"70","2014-11-14",9.56
"71","2014-11-17",9.56
"72","2014-11-18",9.56
"73","2014-11-19",9.56
"74","2014-11-20",9.56
"75","2014-11-21",9.56
"76","2014-11-24",9.56
"77","2014-11-25",9.56
"78","2014-11-26",9.56
"79","2014-11-28",9.56
"80","2014-12-01",9.56
"81","2014-12-02",9.56
"82","2014-12-03",9.56
"83","2014-12-04",9.56
"84","2014-12-05",9.56
"85","2014-12-08",9.56
"86","2014-12-09",9.56
"87","2014-12-10",9.56
"88","2014-12-11",9.56
"89","2014-12-12",9.56
"90","2014-12-15",9.56
"91","2014-12-16",9.56
"92","2014-12-17",9.56
"93","2014-12-18",9.56
"94","2014-12-19",9.56
"95","2014-12-22",9.56
"96","2014-12-23",9.56
"97","2014-12-24",9.4
"98","2014-12-26",9.586
"99","2014-12-29",9.586
"100","2014-12-30",9.586
"101","2014-12-31",9.586
"102","2015-01-02",9.586
"103","2015-01-05",9.586
"104","2015-01-06",9.586
"105","2015-01-07",9.586
"106","2015-01-08",9.586
"107","2015-01-09",9.4
"108","2015-01-12",9.4
"109","2015-01-13",9.5
"110","2015-01-14",9.5
"111","2015-01-15",9.5
"112","2015-01-16",9.5
"113","2015-01-20",9.54
"114","2015-01-21",9.62
"115","2015-01-22",9.5
"116","2015-01-23",9.53
"117","2015-01-26",9.53
"118","2015-01-27",9.53
"119","2015-01-28",9.53
"120","2015-01-29",9.53
"121","2015-01-30",9.53
"122","2015-02-02",9.53
"123","2015-02-03",9.61
"124","2015-02-04",9.48
"125","2015-02-05",9.43
"126","2015-02-06",9.41
"127","2015-02-09",9.43
"128","2015-02-10",9.43
"129","2015-02-11",9.43
"130","2015-02-12",9.43
"131","2015-02-13",9.43
"132","2015-02-17",9.43
"133","2015-02-18",9.43
"134","2015-02-19",9.43
"135","2015-02-20",9.43
"136","2015-02-23",9.43
"137","2015-02-24",9.43
"138","2015-02-25",9.43
"139","2015-02-26",9.43
"140","2015-02-27",9.43
"141","2015-03-02",9.63
"142","2015-03-03",9.63
"143","2015-03-04",9.63
"144","2015-03-05",9.63
"145","2015-03-06",9.59
"146","2015-03-09",9.63
"147","2015-03-10",9.63
"148","2015-03-11",9.63
"149","2015-03-12",9.63
"150","2015-03-13",9.63
"151","2015-03-16",9.63
"152","2015-03-17",9.63
"153","2015-03-18",9.63
"154","2015-03-19",9.63
"155","2015-03-20",9.6
"156","2015-03-23",9.6
"157","2015-03-24",9.6
"158","2015-03-25",9.6
"159","2015-03-26",9.6
"160","2015-03-27",9.6
"161","2015-03-30",9.6
"162","2015-03-31",9.6
"163","2015-04-01",9.6
"164","2015-04-02",9.6
"165","2015-04-06",9.6
"166","2015-04-07",9.63
"167","2015-04-08",9.62
"168","2015-04-09",9.65
"169","2015-04-10",9.65
"170","2015-04-13",9.65
"171","2015-04-14",9.65
"172","2015-04-15",9.61
"173","2015-04-16",9.61
"174","2015-04-17",9.61
"175","2015-04-20",9.61
"176","2015-04-21",9.61
"177","2015-04-22",9.7
"178","2015-04-23",9.7
"179","2015-04-24",9.668
"180","2015-04-27",9.668
"181","2015-04-28",9.7
"182","2015-04-29",9.74
"183","2015-04-30",9.75
"184","2015-05-01",9.79
"185","2015-05-04",9.8
"186","2015-05-05",9.79
"187","2015-05-06",9.79
"188","2015-05-07",9.85
"189","2015-05-08",9.82
"190","2015-05-11",9.82
"191","2015-05-12",9.82
"192","2015-05-13",9.82
"193","2015-05-14",9.83
"194","2015-05-15",9.83
"195","2015-05-18",9.85
"196","2015-05-19",9.85
"197","2015-05-20",9.85
