"","date","PRTS"
"1","2007-02-09",11.9
"2","2007-02-12",11.84
"3","2007-02-13",11.92
"4","2007-02-14",11.6
"5","2007-02-15",11.6
"6","2007-02-16",11.61
"7","2007-02-20",12.45
"8","2007-02-21",12.49
"9","2007-02-22",12.33
"10","2007-02-23",12.06
"11","2007-02-26",11.96
"12","2007-02-27",11.51
"13","2007-02-28",11.64
"14","2007-03-01",11.2
"15","2007-03-02",11.35
"16","2007-03-05",11.28
"17","2007-03-06",10.9
"18","2007-03-07",11.25
"19","2007-03-08",10.99
"20","2007-03-09",11.02
"21","2007-03-12",11
"22","2007-03-13",10.96
"23","2007-03-14",10.94
"24","2007-03-15",10.94
"25","2007-03-16",10.88
"26","2007-03-19",10.82
"27","2007-03-20",11.07
"28","2007-03-21",6.49
"29","2007-03-22",6.3
"30","2007-03-23",6.08
"31","2007-03-26",5.66
"32","2007-03-27",5.43
"33","2007-03-28",5.39
"34","2007-03-29",5.12
"35","2007-03-30",5.37
"36","2007-04-02",5.51
"37","2007-04-03",5.56
"38","2007-04-04",5.52
"39","2007-04-05",5.55
"40","2007-04-09",5.57
"41","2007-04-10",5.77
"42","2007-04-11",5.81
"43","2007-04-12",5.76
"44","2007-04-13",5.77
"45","2007-04-16",5.73
"46","2007-04-17",5.7
"47","2007-04-18",5.69
"48","2007-04-19",5.65
"49","2007-04-20",5.74
"50","2007-04-23",5.68
"51","2007-04-24",5.71
"52","2007-04-25",5.7
"53","2007-04-26",5.59
"54","2007-04-27",5.68
"55","2007-04-30",5.8
"56","2007-05-01",5.88
"57","2007-05-02",5.79
"58","2007-05-03",5.8
"59","2007-05-04",5.98
"60","2007-05-07",5.95
"61","2007-05-08",5.89
"62","2007-05-09",5.9
"63","2007-05-10",5.9
"64","2007-05-11",6.57
"65","2007-05-14",6.59
"66","2007-05-15",6.65
"67","2007-05-16",6.85
"68","2007-05-17",7.02
"69","2007-05-18",7.08
"70","2007-05-21",7.86
"71","2007-05-22",8.04
"72","2007-05-23",8.01
"73","2007-05-24",7.8
"74","2007-05-25",8.08
"75","2007-05-29",8.1
"76","2007-05-30",7.93
"77","2007-05-31",7.94
"78","2007-06-01",8.06
"79","2007-06-04",8.01
"80","2007-06-05",8
"81","2007-06-06",8.16
"82","2007-06-07",8.14
"83","2007-06-08",8.45
"84","2007-06-11",8.7
"85","2007-06-12",8.69
"86","2007-06-13",8.64
"87","2007-06-14",8.77
"88","2007-06-15",8.94
"89","2007-06-18",9.06
"90","2007-06-19",9.2
"91","2007-06-20",9.07
"92","2007-06-21",9.29
"93","2007-06-22",9.41
"94","2007-06-25",9.19
