"","date","RKT"
"1","2020-08-06",21.51
"2","2020-08-07",24.9
"3","2020-08-10",21.67
"4","2020-08-11",20.58
"5","2020-08-12",20
"6","2020-08-13",18.74
"7","2020-08-14",18.959999
"8","2020-08-17",19.040001
"9","2020-08-18",20.139999
"10","2020-08-19",21.4
"11","2020-08-20",23.790001
"12","2020-08-21",25.889999
"13","2020-08-24",29.110001
"14","2020-08-25",28.610001
"15","2020-08-26",27.32
"16","2020-08-27",27.1
"17","2020-08-28",28.42
"18","2020-08-31",28
"19","2020-09-01",30.709999
"20","2020-09-02",31.309999
"21","2020-09-03",26.5
"22","2020-09-04",24.57
"23","2020-09-08",22.74
"24","2020-09-09",23.389999
"25","2020-09-10",23.15
"26","2020-09-11",22.75
"27","2020-09-14",23.700001
"28","2020-09-15",23.360001
"29","2020-09-16",22.719999
"30","2020-09-17",22.57
"31","2020-09-18",22.27
"32","2020-09-21",21.42
"33","2020-09-22",21.57
"34","2020-09-23",20.299999
"35","2020-09-24",20.059999
"36","2020-09-25",20.52
"37","2020-09-28",20.67
"38","2020-09-29",20.07
"39","2020-09-30",19.93
"40","2020-10-01",22.66
"41","2020-10-02",23
"42","2020-10-05",22.559999
"43","2020-10-06",21.719999
"44","2020-10-07",21.700001
"45","2020-10-08",22.73
"46","2020-10-09",22.959999
"47","2020-10-12",23.139999
"48","2020-10-13",23.58
"49","2020-10-14",22.76
"50","2020-10-15",22.35
"51","2020-10-16",21.91
"52","2020-10-19",20.74
"53","2020-10-20",20.559999
"54","2020-10-21",20.01
"55","2020-10-22",20.25
"56","2020-10-23",20.57
"57","2020-10-26",19.879999
"58","2020-10-27",20.110001
"59","2020-10-28",18.65
"60","2020-10-29",18.9
"61","2020-10-30",18.23
"62","2020-11-02",18.93
"63","2020-11-03",19.379999
"64","2020-11-04",20.620001
"65","2020-11-05",20.950001
"66","2020-11-06",21.309999
"67","2020-11-09",21.450001
"68","2020-11-10",21.6
"69","2020-11-11",21.059999
"70","2020-11-12",21.790001
"71","2020-11-13",21.85
"72","2020-11-16",22.65
"73","2020-11-17",22.200001
"74","2020-11-18",21.16
"75","2020-11-19",21.26
"76","2020-11-20",20.959999
"77","2020-11-23",20.299999
"78","2020-11-24",20.83
"79","2020-11-25",20.42
"80","2020-11-27",20.25
