"","date","PGR"
"1","2007-01-03",24.209999
"2","2007-01-04",24.23
"3","2007-01-05",23.75
"4","2007-01-08",23.91
"5","2007-01-09",23.5
"6","2007-01-10",23.440001
"7","2007-01-11",23.200001
"8","2007-01-12",23.4
"9","2007-01-16",23.379999
"10","2007-01-17",23.549999
"11","2007-01-18",23.49
"12","2007-01-19",23.280001
"13","2007-01-22",23.049999
"14","2007-01-23",23.280001
"15","2007-01-24",23.35
"16","2007-01-25",23.42
"17","2007-01-26",23.43
"18","2007-01-29",23.52
"19","2007-01-30",23.25
"20","2007-01-31",23.190001
"21","2007-02-01",23.67
"22","2007-02-02",23.57
"23","2007-02-05",23.629999
"24","2007-02-06",23.67
"25","2007-02-07",23.559999
"26","2007-02-08",23.49
"27","2007-02-09",23.32
"28","2007-02-12",23.07
"29","2007-02-13",23.25
"30","2007-02-14",23.35
"31","2007-02-15",23.42
"32","2007-02-16",23.280001
"33","2007-02-20",23.08
"34","2007-02-21",23.360001
"35","2007-02-22",23.4
"36","2007-02-23",23.280001
"37","2007-02-26",23.18
"38","2007-02-27",22.66
"39","2007-02-28",22.940001
"40","2007-03-01",23
"41","2007-03-02",22.74
"42","2007-03-05",22.48
"43","2007-03-06",22.610001
"44","2007-03-07",22.34
"45","2007-03-08",22.450001
"46","2007-03-09",22.450001
"47","2007-03-12",22.41
"48","2007-03-13",21.780001
"49","2007-03-14",21.280001
"50","2007-03-15",20.99
"51","2007-03-16",21.16
"52","2007-03-19",21.190001
"53","2007-03-20",21.6
"54","2007-03-21",21.9
"55","2007-03-22",21.82
"56","2007-03-23",22.110001
"57","2007-03-26",22.1
"58","2007-03-27",21.959999
"59","2007-03-28",21.709999
"60","2007-03-29",21.809999
"61","2007-03-30",21.82
"62","2007-04-02",21.610001
"63","2007-04-03",21.85
"64","2007-04-04",21.879999
"65","2007-04-05",21.959999
"66","2007-04-09",21.690001
"67","2007-04-10",21.799999
"68","2007-04-11",22.73
"69","2007-04-12",23
"70","2007-04-13",22.889999
"71","2007-04-16",23.35
"72","2007-04-17",23.41
"73","2007-04-18",23.41
"74","2007-04-19",23.219999
"75","2007-04-20",23.4
"76","2007-04-23",23.18
"77","2007-04-24",23.190001
"78","2007-04-25",23.389999
"79","2007-04-26",23.190001
"80","2007-04-27",23.059999
"81","2007-04-30",23.07
"82","2007-05-01",23.18
"83","2007-05-02",23.299999
"84","2007-05-03",23.4
"85","2007-05-04",23.42
"86","2007-05-07",23.440001
"87","2007-05-08",23.389999
"88","2007-05-09",23.42
"89","2007-05-10",23.34
"90","2007-05-11",23.370001
"91","2007-05-14",23.27
"92","2007-05-15",23.200001
"93","2007-05-16",23.18
"94","2007-05-17",23.08
"95","2007-05-18",23.08
"96","2007-05-21",23.049999
"97","2007-05-22",23.23
"98","2007-05-23",23.110001
"99","2007-05-24",22.790001
"100","2007-05-25",22.74
"101","2007-05-29",22.889999
"102","2007-05-30",23.01
"103","2007-05-31",23.049999
"104","2007-06-01",23.200001
"105","2007-06-04",23.280001
"106","2007-06-05",23.25
"107","2007-06-06",23.719999
"108","2007-06-07",23.219999
"109","2007-06-08",23.4
"110","2007-06-11",23.559999
"111","2007-06-12",23.309999
"112","2007-06-13",23.25
"113","2007-06-14",24.700001
"114","2007-06-15",23.799999
"115","2007-06-18",23.559999
"116","2007-06-19",23.799999
"117","2007-06-20",23.540001
"118","2007-06-21",23.5
"119","2007-06-22",23.309999
"120","2007-06-25",23.43
"121","2007-06-26",23.280001
"122","2007-06-27",23.190001
"123","2007-06-28",23.77
"124","2007-06-29",23.93
"125","2007-07-02",23.52
"126","2007-07-03",23.9
"127","2007-07-05",23.76
"128","2007-07-06",23.870001
