"","date","BRKL"
"1","2007-01-03",13.24
"2","2007-01-04",13.33
"3","2007-01-05",13.03
"4","2007-01-08",12.99
"5","2007-01-09",12.94
"6","2007-01-10",12.94
"7","2007-01-11",13.13
"8","2007-01-12",13.24
"9","2007-01-16",13.05
"10","2007-01-17",13.01
"11","2007-01-18",12.88
"12","2007-01-19",12.99
"13","2007-01-22",12.96
"14","2007-01-23",13.08
"15","2007-01-24",13.22
"16","2007-01-25",13.03
"17","2007-01-26",13.19
"18","2007-01-29",13.28
"19","2007-01-30",13.4
"20","2007-01-31",13.31
"21","2007-02-01",13.31
"22","2007-02-02",13.47
"23","2007-02-05",13.28
"24","2007-02-06",13.4
"25","2007-02-07",13.51
"26","2007-02-08",13.44
"27","2007-02-09",13.19
"28","2007-02-12",13.23
"29","2007-02-13",13.25
"30","2007-02-14",13.24
"31","2007-02-15",13.14
"32","2007-02-16",13.19
"33","2007-02-20",13.25
"34","2007-02-21",13.22
"35","2007-02-22",13.1
"36","2007-02-23",12.95
"37","2007-02-26",12.82
"38","2007-02-27",12.5
"39","2007-02-28",12.76
"40","2007-03-01",12.8
"41","2007-03-02",12.66
"42","2007-03-05",12.52
"43","2007-03-06",12.69
"44","2007-03-07",12.51
"45","2007-03-08",12.5
"46","2007-03-09",12.46
"47","2007-03-12",12.47
"48","2007-03-13",12.08
"49","2007-03-14",12.19
"50","2007-03-15",12.48
"51","2007-03-16",12.54
"52","2007-03-19",12.68
"53","2007-03-20",12.76
"54","2007-03-21",12.95
"55","2007-03-22",12.89
"56","2007-03-23",12.89
"57","2007-03-26",12.81
"58","2007-03-27",12.67
"59","2007-03-28",12.64
"60","2007-03-29",12.75
"61","2007-03-30",12.67
"62","2007-04-02",12.6
"63","2007-04-03",12.7
"64","2007-04-04",12.61
"65","2007-04-05",12.56
"66","2007-04-09",12.53
"67","2007-04-10",12.4
"68","2007-04-11",12.31
"69","2007-04-12",12.48
"70","2007-04-13",12.53
"71","2007-04-16",12.83
"72","2007-04-17",12.73
"73","2007-04-18",12.72
"74","2007-04-19",12.7
"75","2007-04-20",12.57
"76","2007-04-23",12.3
"77","2007-04-24",12.21
"78","2007-04-25",12.24
"79","2007-04-26",12.18
"80","2007-04-27",12.08
"81","2007-04-30",11.92
"82","2007-05-01",11.95
"83","2007-05-02",12.09
"84","2007-05-03",12.03
"85","2007-05-04",12.05
"86","2007-05-07",12.18
"87","2007-05-08",12.21
"88","2007-05-09",12.2
"89","2007-05-10",11.97
"90","2007-05-11",12.1
"91","2007-05-14",11.98
"92","2007-05-15",12.02
"93","2007-05-16",12.12
"94","2007-05-17",12.07
"95","2007-05-18",11.96
"96","2007-05-21",12.05
"97","2007-05-22",12.16
"98","2007-05-23",12.07
"99","2007-05-24",12.01
"100","2007-05-25",11.95
"101","2007-05-29",11.99
"102","2007-05-30",11.97
"103","2007-05-31",11.94
"104","2007-06-01",12.02
"105","2007-06-04",11.93
"106","2007-06-05",11.9
"107","2007-06-06",11.85
"108","2007-06-07",11.86
"109","2007-06-08",11.94
"110","2007-06-11",11.82
"111","2007-06-12",11.65
"112","2007-06-13",11.81
"113","2007-06-14",11.89
"114","2007-06-15",12.08
"115","2007-06-18",11.95
"116","2007-06-19",11.93
"117","2007-06-20",11.8
"118","2007-06-21",11.73
"119","2007-06-22",11.76
"120","2007-06-25",11.78
"121","2007-06-26",11.85
"122","2007-06-27",11.84
"123","2007-06-28",11.7
"124","2007-06-29",11.51
"125","2007-07-02",11.44
"126","2007-07-03",11.49
"127","2007-07-05",11.37
"128","2007-07-06",11.37
"129","2007-07-09",11.36
"130","2007-07-10",11.1
"131","2007-07-11",11.03
"132","2007-07-12",11.18
"133","2007-07-13",11.15
"134","2007-07-16",11.06
"135","2007-07-17",11.09
"136","2007-07-18",10.97
"137","2007-07-19",11.05
"138","2007-07-20",11.21
"139","2007-07-23",11.11
"140","2007-07-24",10.69
"141","2007-07-25",10.87
