"","date","APLS"
"1","2017-11-09",14.03
"2","2017-11-10",14
"3","2017-11-13",14.1
"4","2017-11-14",13.93
"5","2017-11-15",13.83
"6","2017-11-16",13.82
"7","2017-11-17",13.79
"8","2017-11-20",13.6
"9","2017-11-21",13.58
"10","2017-11-22",13.32
"11","2017-11-24",13.6
"12","2017-11-27",13.65
"13","2017-11-28",13.38
"14","2017-11-29",13.85
"15","2017-11-30",13.82
"16","2017-12-01",14.02
"17","2017-12-04",14
"18","2017-12-05",13.73
"19","2017-12-06",13.6
"20","2017-12-07",13.99
"21","2017-12-08",14.38
"22","2017-12-11",14.52
"23","2017-12-12",12.88
"24","2017-12-13",12.71
"25","2017-12-14",13.35
"26","2017-12-15",13.05
"27","2017-12-18",14.51
"28","2017-12-19",14.38
"29","2017-12-20",14.27
"30","2017-12-21",16.58
"31","2017-12-22",18.450001
"32","2017-12-26",18.75
"33","2017-12-27",19.549999
"34","2017-12-28",20.530001
"35","2017-12-29",21.700001
"36","2018-01-02",20.780001
"37","2018-01-03",22.639999
"38","2018-01-04",24.940001
"39","2018-01-05",23.49
"40","2018-01-08",23
"41","2018-01-09",21.790001
"42","2018-01-10",20.26
"43","2018-01-11",19.9
"44","2018-01-12",18.91
"45","2018-01-16",18.030001
"46","2018-01-17",19.5
"47","2018-01-18",19.780001
"48","2018-01-19",18.9
"49","2018-01-22",19
"50","2018-01-23",17.93
"51","2018-01-24",17.27
"52","2018-01-25",17.309999
"53","2018-01-26",17.16
"54","2018-01-29",16.540001
"55","2018-01-30",18.27
"56","2018-01-31",16.6
"57","2018-02-01",16.42
"58","2018-02-02",16.450001
"59","2018-02-05",15.52
"60","2018-02-06",15.04
"61","2018-02-07",15.09
"62","2018-02-08",15.01
"63","2018-02-09",14.01
"64","2018-02-12",14.93
"65","2018-02-13",14.7
"66","2018-02-14",15.15
"67","2018-02-15",15.94
"68","2018-02-16",14.95
"69","2018-02-20",14.64
"70","2018-02-21",14.77
"71","2018-02-22",15.25
"72","2018-02-23",16.33
"73","2018-02-26",19.17
"74","2018-02-27",18.040001
"75","2018-02-28",18.33
"76","2018-03-01",18.530001
"77","2018-03-02",20.24
"78","2018-03-05",21.469999
"79","2018-03-06",21.940001
"80","2018-03-07",22.27
"81","2018-03-08",22.33
"82","2018-03-09",22.26
"83","2018-03-12",23.5
"84","2018-03-13",22.4
"85","2018-03-14",25.23
"86","2018-03-15",24.549999
"87","2018-03-16",26.02
"88","2018-03-19",25.639999
"89","2018-03-20",24.559999
"90","2018-03-21",23.290001
"91","2018-03-22",23.74
"92","2018-03-23",24.5
"93","2018-03-26",24.309999
"94","2018-03-27",24.27
"95","2018-03-28",24
"96","2018-03-29",22.110001
"97","2018-04-02",20.42
"98","2018-04-03",21.68
"99","2018-04-04",23.790001
"100","2018-04-05",23.16
"101","2018-04-06",23.25
"102","2018-04-09",22.82
"103","2018-04-10",25.24
"104","2018-04-11",27.27
"105","2018-04-12",26.59
"106","2018-04-13",26.73
"107","2018-04-16",30
"108","2018-04-17",25.02
"109","2018-04-18",26.370001
"110","2018-04-19",24.209999
"111","2018-04-20",24.52
"112","2018-04-23",23.42
"113","2018-04-24",22.27
"114","2018-04-25",22.35
"115","2018-04-26",23.870001
"116","2018-04-27",25.1
"117","2018-04-30",24.110001
"118","2018-05-01",22.940001
"119","2018-05-02",23.719999
"120","2018-05-03",23.74
"121","2018-05-04",24.66
"122","2018-05-07",25.4
"123","2018-05-08",23.99
"124","2018-05-09",24.440001
"125","2018-05-10",24.200001
"126","2018-05-11",24.49
"127","2018-05-14",24.690001
"128","2018-05-15",23.91
"129","2018-05-16",23.809999
"130","2018-05-17",24.5
"131","2018-05-18",24.68
"132","2018-05-21",21.32
"133","2018-05-22",19.860001
"134","2018-05-23",19.66
"135","2018-05-24",20.23
"136","2018-05-25",20.24
"137","2018-05-29",19.84
"138","2018-05-30",20.9
"139","2018-05-31",20.41
"140","2018-06-01",19.629999
"141","2018-06-04",20.25
"142","2018-06-05",21.190001
"143","2018-06-06",20.799999
"144","2018-06-07",20.370001
"145","2018-06-08",20
"146","2018-06-11",20.549999
"147","2018-06-12",20.709999
"148","2018-06-13",21.995001
"149","2018-06-14",22.07
"150","2018-06-15",22.43
