"","date","HLIT"
"1","2007-01-03",7.28
"2","2007-01-04",7.48
"3","2007-01-05",7.28
"4","2007-01-08",7.19
"5","2007-01-09",7.17
"6","2007-01-10",7.35
"7","2007-01-11",8.16
"8","2007-01-12",8.35
"9","2007-01-16",8.31
"10","2007-01-17",8.17
"11","2007-01-18",8.14
"12","2007-01-19",8.18
"13","2007-01-22",8.31
"14","2007-01-23",8.68
"15","2007-01-24",8.86
"16","2007-01-25",8.59
"17","2007-01-26",8.87
"18","2007-01-29",8.99
"19","2007-01-30",8.95
"20","2007-01-31",9.05
"21","2007-02-01",8.99
"22","2007-02-02",9.18
"23","2007-02-05",9.23
"24","2007-02-06",9.25
"25","2007-02-07",9.35
"26","2007-02-08",9.28
"27","2007-02-09",9.11
"28","2007-02-12",8.86
"29","2007-02-13",8.74
"30","2007-02-14",8.85
"31","2007-02-15",9.01
"32","2007-02-16",8.8
"33","2007-02-20",8.92
"34","2007-02-21",9.16
"35","2007-02-22",9.18
"36","2007-02-23",9.1
"37","2007-02-26",9.3
"38","2007-02-27",9.01
"39","2007-02-28",8.81
"40","2007-03-01",9.41
"41","2007-03-02",9.52
"42","2007-03-05",9.17
"43","2007-03-06",9.44
"44","2007-03-07",9.86
"45","2007-03-08",10.43
"46","2007-03-09",10.36
"47","2007-03-12",11.02
"48","2007-03-13",10.52
"49","2007-03-14",10.27
"50","2007-03-15",10.38
"51","2007-03-16",10.32
"52","2007-03-19",10.4
"53","2007-03-20",10.5
"54","2007-03-21",10.41
"55","2007-03-22",10.29
"56","2007-03-23",10.39
"57","2007-03-26",10.09
"58","2007-03-27",9.73
"59","2007-03-28",9.84
"60","2007-03-29",9.73
"61","2007-03-30",9.82
"62","2007-04-02",9.82
"63","2007-04-03",10.3
"64","2007-04-04",10.33
"65","2007-04-05",10.75
"66","2007-04-09",10.52
"67","2007-04-10",10.53
"68","2007-04-11",10.42
"69","2007-04-12",10.36
"70","2007-04-13",10.7
"71","2007-04-16",10.87
"72","2007-04-17",10.7
"73","2007-04-18",10.55
"74","2007-04-19",10.44
"75","2007-04-20",10.34
"76","2007-04-23",10.19
"77","2007-04-24",10.17
"78","2007-04-25",10.29
"79","2007-04-26",8.86
"80","2007-04-27",8.58
"81","2007-04-30",8.27
"82","2007-05-01",8.2
"83","2007-05-02",8.48
"84","2007-05-03",8.72
"85","2007-05-04",8.87
"86","2007-05-07",8.86
"87","2007-05-08",8.91
"88","2007-05-09",9.07
"89","2007-05-10",8.67
"90","2007-05-11",8.68
"91","2007-05-14",8.46
"92","2007-05-15",8.28
"93","2007-05-16",8.5
"94","2007-05-17",8.72
"95","2007-05-18",8.79
"96","2007-05-21",8.92
"97","2007-05-22",9
"98","2007-05-23",8.91
"99","2007-05-24",8.77
"100","2007-05-25",8.94
"101","2007-05-29",8.95
"102","2007-05-30",9
"103","2007-05-31",9.1
"104","2007-06-01",8.92
"105","2007-06-04",8.8
