"","date","BX"
"1","2007-06-22",35.060001
"2","2007-06-25",32.439999
"3","2007-06-26",30.75
"4","2007-06-27",29.92
"5","2007-06-28",29.690001
"6","2007-06-29",29.27
"7","2007-07-02",29.27
"8","2007-07-03",29.719999
"9","2007-07-05",30.629999
"10","2007-07-06",31.5
"11","2007-07-09",31.48
"12","2007-07-10",29.93
"13","2007-07-11",29.18
"14","2007-07-12",30
"15","2007-07-13",29.85
"16","2007-07-16",29.690001
"17","2007-07-17",29.209999
"18","2007-07-18",28.4
"19","2007-07-19",27.33
"20","2007-07-20",25.950001
"21","2007-07-23",26.370001
"22","2007-07-24",25.709999
"23","2007-07-25",25.51
"24","2007-07-26",25.700001
"25","2007-07-27",24.299999
"26","2007-07-30",24.48
"27","2007-07-31",24.01
"28","2007-08-01",24.309999
"29","2007-08-02",25.33
"30","2007-08-03",24.389999
"31","2007-08-06",24.530001
"32","2007-08-07",24.9
"33","2007-08-08",25.27
"34","2007-08-09",24.92
"35","2007-08-10",25.280001
"36","2007-08-13",25.709999
"37","2007-08-14",24.57
"38","2007-08-15",23.690001
"39","2007-08-16",23.9
"40","2007-08-17",24.08
"41","2007-08-20",23.389999
"42","2007-08-21",23.51
"43","2007-08-22",24.940001
"44","2007-08-23",25.27
"45","2007-08-24",24.42
"46","2007-08-27",23.799999
"47","2007-08-28",23.040001
"48","2007-08-29",22.98
"49","2007-08-30",22.74
"50","2007-08-31",23.129999
"51","2007-09-04",23.110001
"52","2007-09-05",21.98
"53","2007-09-06",22.16
"54","2007-09-07",21.540001
"55","2007-09-10",21.879999
"56","2007-09-11",22.889999
"57","2007-09-12",23.26
"58","2007-09-13",23.41
"59","2007-09-14",23.92
"60","2007-09-17",23.65
"61","2007-09-18",24.549999
"62","2007-09-19",25.66
"63","2007-09-20",25.950001
"64","2007-09-21",25.32
"65","2007-09-24",24.530001
"66","2007-09-25",24.389999
"67","2007-09-26",24.889999
"68","2007-09-27",25.110001
"69","2007-09-28",25.08
"70","2007-10-01",25.58
"71","2007-10-02",26.08
"72","2007-10-03",27.17
"73","2007-10-04",27.58
"74","2007-10-05",29.08
"75","2007-10-08",28.219999
"76","2007-10-09",28.450001
"77","2007-10-10",28.66
"78","2007-10-11",28.35
"79","2007-10-12",27.75
"80","2007-10-15",27.09
"81","2007-10-16",26.049999
"82","2007-10-17",26.42
"83","2007-10-18",26.5
"84","2007-10-19",25.51
"85","2007-10-22",26.059999
"86","2007-10-23",26.360001
"87","2007-10-24",26.23
"88","2007-10-25",25.58
"89","2007-10-26",25.59
"90","2007-10-29",25.5
"91","2007-10-30",25.290001
"92","2007-10-31",25.43
"93","2007-11-01",24.870001
"94","2007-11-02",24.09
"95","2007-11-05",23.940001
"96","2007-11-06",23.67
"97","2007-11-07",23.16
"98","2007-11-08",24.1
"99","2007-11-09",24.280001
"100","2007-11-12",22.26
"101","2007-11-13",22.799999
"102","2007-11-14",22.34
"103","2007-11-15",23.120001
"104","2007-11-16",23.07
"105","2007-11-19",22.16
"106","2007-11-20",21.51
"107","2007-11-21",21.02
"108","2007-11-23",21.16
"109","2007-11-26",20.6
"110","2007-11-27",20.84
"111","2007-11-28",21.469999
"112","2007-11-29",22.040001
"113","2007-11-30",22
"114","2007-12-03",21.6
"115","2007-12-04",21.34
"116","2007-12-05",21.559999
