"","date","JWN"
"1","2007-01-03",51.389999
"2","2007-01-04",52.259998
"3","2007-01-05",51.279999
"4","2007-01-08",51.549999
"5","2007-01-09",52.110001
"6","2007-01-10",52.360001
"7","2007-01-11",53.529999
"8","2007-01-12",54.810001
"9","2007-01-16",54.959999
"10","2007-01-17",54.599998
"11","2007-01-18",55.529999
"12","2007-01-19",55.029999
"13","2007-01-22",54.220001
"14","2007-01-23",53.939999
"15","2007-01-24",54.959999
"16","2007-01-25",53.540001
"17","2007-01-26",53.650002
"18","2007-01-29",54.439999
"19","2007-01-30",54.529999
"20","2007-01-31",55.709999
"21","2007-02-01",56.939999
"22","2007-02-02",56.68
"23","2007-02-05",56.5
"24","2007-02-06",56.700001
"25","2007-02-07",56.84
"26","2007-02-08",56.98
"27","2007-02-09",56.880001
"28","2007-02-12",56.740002
"29","2007-02-13",57.66
"30","2007-02-14",58.619999
"31","2007-02-15",58.720001
"32","2007-02-16",58.459999
"33","2007-02-20",59.119999
"34","2007-02-21",59.169998
"35","2007-02-22",59.66
"36","2007-02-23",58.220001
"37","2007-02-26",56.599998
"38","2007-02-27",52.299999
"39","2007-02-28",52.98
"40","2007-03-01",53.630001
"41","2007-03-02",52.41
"42","2007-03-05",50.490002
"43","2007-03-06",51.060001
"44","2007-03-07",50.419998
"45","2007-03-08",52.68
"46","2007-03-09",51.57
"47","2007-03-12",52.869999
"48","2007-03-13",52.220001
"49","2007-03-14",51.02
"50","2007-03-15",51.16
"51","2007-03-16",50.959999
"52","2007-03-19",51.349998
"53","2007-03-20",51.970001
"54","2007-03-21",52.779999
"55","2007-03-22",53.02
"56","2007-03-23",53.450001
"57","2007-03-26",52.919998
"58","2007-03-27",52.25
"59","2007-03-28",51.459999
"60","2007-03-29",52.16
"61","2007-03-30",52.939999
"62","2007-04-02",53.740002
"63","2007-04-03",54.169998
"64","2007-04-04",54.080002
"65","2007-04-05",54.130001
"66","2007-04-09",54.59
"67","2007-04-10",54.91
"68","2007-04-11",54.849998
"69","2007-04-12",55.610001
"70","2007-04-13",54.919998
"71","2007-04-16",55.48
"72","2007-04-17",55.830002
"73","2007-04-18",55.599998
"74","2007-04-19",55.810001
"75","2007-04-20",56.720001
"76","2007-04-23",56.68
"77","2007-04-24",56.18
"78","2007-04-25",55.880001
"79","2007-04-26",56.150002
"80","2007-04-27",56.209999
"81","2007-04-30",54.919998
"82","2007-05-01",55.18
"83","2007-05-02",55.990002
"84","2007-05-03",55.509998
"85","2007-05-04",55.599998
"86","2007-05-07",55.419998
"87","2007-05-08",55
"88","2007-05-09",55.759998
"89","2007-05-10",54.189999
"90","2007-05-11",53.98
"91","2007-05-14",54.189999
"92","2007-05-15",53.470001
"93","2007-05-16",52.490002
"94","2007-05-17",53.169998
"95","2007-05-18",53.349998
"96","2007-05-21",52.700001
"97","2007-05-22",52.049999
"98","2007-05-23",51.740002
"99","2007-05-24",51.57
"100","2007-05-25",51.790001
"101","2007-05-29",51.080002
"102","2007-05-30",51.27
"103","2007-05-31",51.93
"104","2007-06-01",53.43
"105","2007-06-04",53.540001
"106","2007-06-05",52.990002
"107","2007-06-06",53.029999
"108","2007-06-07",51.470001
