"","date","CAJ"
"1","2007-01-03",56.48
"2","2007-01-04",56.09
"3","2007-01-05",54.900002
"4","2007-01-08",55.209999
"5","2007-01-09",55.130001
"6","2007-01-10",54.380001
"7","2007-01-11",54.369999
"8","2007-01-12",54.669998
"9","2007-01-16",53.5
"10","2007-01-17",53.220001
"11","2007-01-18",53.330002
"12","2007-01-19",53.439999
"13","2007-01-22",52.810001
"14","2007-01-23",54.169998
"15","2007-01-24",55.07
"16","2007-01-25",53.639999
"17","2007-01-26",53.689999
"18","2007-01-29",53.73
"19","2007-01-30",52.82
"20","2007-01-31",52.810001
"21","2007-02-01",53.02
"22","2007-02-02",52.259998
"23","2007-02-05",51.150002
"24","2007-02-06",51.790001
"25","2007-02-07",50.849998
"26","2007-02-08",51.150002
"27","2007-02-09",52.130001
"28","2007-02-12",52.029999
"29","2007-02-13",52.150002
"30","2007-02-14",52.720001
"31","2007-02-15",53.049999
"32","2007-02-16",54.849998
"33","2007-02-20",55.330002
"34","2007-02-21",53.740002
"35","2007-02-22",54.419998
"36","2007-02-23",55.049999
"37","2007-02-26",54.869999
"38","2007-02-27",53.419998
"39","2007-02-28",54.07
"40","2007-03-01",53.400002
"41","2007-03-02",52.470001
"42","2007-03-05",52.639999
"43","2007-03-06",53.860001
"44","2007-03-07",52.099998
"45","2007-03-08",53.110001
"46","2007-03-09",53.509998
"47","2007-03-12",53.860001
"48","2007-03-13",52.860001
"49","2007-03-14",52.740002
"50","2007-03-15",52.900002
"51","2007-03-16",53.599998
"52","2007-03-19",54.889999
"53","2007-03-20",54.759998
"54","2007-03-21",55.610001
"55","2007-03-22",55.93
"56","2007-03-23",55.91
"57","2007-03-26",55.23
"58","2007-03-27",54.799999
"59","2007-03-28",54.25
"60","2007-03-29",54.330002
"61","2007-03-30",53.68
"62","2007-04-02",53.41
"63","2007-04-03",53.389999
"64","2007-04-04",54.580002
"65","2007-04-05",54.419998
"66","2007-04-09",55
"67","2007-04-10",55.220001
"68","2007-04-11",55.23
