"","date","XELB"
"1","2012-10-02",3.25
"2","2012-10-03",3.25
"3","2012-10-04",3.25
"4","2012-10-05",3.25
"5","2012-10-08",3.25
"6","2012-10-09",3.25
"7","2012-10-10",3.25
"8","2012-10-11",3.25
"9","2012-10-12",3.25
"10","2012-10-15",3.25
"11","2012-10-16",3.25
"12","2012-10-17",3.25
"13","2012-10-18",3.25
"14","2012-10-19",3.25
"15","2012-10-22",3.25
"16","2012-10-23",3.25
"17","2012-10-24",3.25
"18","2012-10-25",3.25
"19","2012-10-26",3.25
"20","2012-10-31",3.25
"21","2012-11-01",3.25
"22","2012-11-02",3.25
"23","2012-11-05",3.25
"24","2012-11-06",3.25
"25","2012-11-07",3.25
"26","2012-11-08",3.25
"27","2012-11-09",3.25
"28","2012-11-12",3.25
"29","2012-11-13",3.25
"30","2012-11-14",3.25
"31","2012-11-15",3.25
"32","2012-11-16",2.75
"33","2012-11-19",2.75
"34","2012-11-20",2.75
"35","2012-11-21",2.75
"36","2012-11-23",2.75
"37","2012-11-26",2.75
"38","2012-11-27",2.75
"39","2012-11-28",2.75
"40","2012-11-29",2.75
"41","2012-11-30",2.75
"42","2012-12-03",2.75
"43","2012-12-04",2.75
"44","2012-12-05",2.75
"45","2012-12-06",2.75
"46","2012-12-07",1.5
"47","2012-12-10",1.5
"48","2012-12-11",1.5
"49","2012-12-12",1.5
"50","2012-12-13",1.5
"51","2012-12-14",1.5
"52","2012-12-17",1.5
"53","2012-12-18",1.5
"54","2012-12-19",1.5
"55","2012-12-20",1.5
"56","2012-12-21",1.5
"57","2012-12-24",1.5
"58","2012-12-26",1.5
"59","2012-12-27",1.5
"60","2012-12-28",1.5
"61","2012-12-31",1.5
"62","2013-01-02",1.5
"63","2013-01-03",1.5
"64","2013-01-04",2
"65","2013-01-07",2
"66","2013-01-08",5
"67","2013-01-09",5
"68","2013-01-10",5
"69","2013-01-11",5
"70","2013-01-14",5
"71","2013-01-15",5
"72","2013-01-16",5
"73","2013-01-17",5
"74","2013-01-18",5
"75","2013-01-22",5
"76","2013-01-23",5
"77","2013-01-24",5
"78","2013-01-25",5
"79","2013-01-28",5
"80","2013-01-29",5
"81","2013-01-30",5
"82","2013-01-31",5
"83","2013-02-01",5
"84","2013-02-04",5
"85","2013-02-05",5
"86","2013-02-06",5
"87","2013-02-07",5
"88","2013-02-08",5
"89","2013-02-11",5
"90","2013-02-12",5
"91","2013-02-13",4.9
"92","2013-02-14",5
"93","2013-02-15",5
"94","2013-02-19",4.92
"95","2013-02-20",4.92
"96","2013-02-21",4.92
"97","2013-02-22",4.92
"98","2013-02-25",4.92
"99","2013-02-26",4.92
"100","2013-02-27",4.92
"101","2013-02-28",4.92
"102","2013-03-01",4.92
"103","2013-03-04",4.92
"104","2013-03-05",4.92
"105","2013-03-06",4.92
"106","2013-03-07",4.92
"107","2013-03-08",4.92
"108","2013-03-11",4.92
"109","2013-03-12",4.92
"110","2013-03-13",4.92
"111","2013-03-14",4.92
"112","2013-03-15",4.92
"113","2013-03-18",4.92
"114","2013-03-19",4.92
"115","2013-03-20",4.92
"116","2013-03-21",4.92
"117","2013-03-22",5.5
"118","2013-03-25",5.5
"119","2013-03-26",5.5
"120","2013-03-27",5.5
"121","2013-03-28",5.5
"122","2013-04-01",5.5
"123","2013-04-02",5.5
"124","2013-04-03",5.5
"125","2013-04-04",5.5
"126","2013-04-05",5.5
"127","2013-04-08",5.5
"128","2013-04-09",5.5
"129","2013-04-10",5.5
"130","2013-04-11",5.5
"131","2013-04-12",5.5
"132","2013-04-15",5.5
"133","2013-04-16",5.5
"134","2013-04-17",5.5
"135","2013-04-18",5.5
"136","2013-04-19",5.5
"137","2013-04-22",5.5
"138","2013-04-23",5.5
"139","2013-04-24",5.5
"140","2013-04-25",5.5
"141","2013-04-26",5.5
"142","2013-04-29",5.5
"143","2013-04-30",5.5
"144","2013-05-01",5.5
"145","2013-05-02",5.5
"146","2013-05-03",5.5
"147","2013-05-06",5.5
"148","2013-05-07",5.5
"149","2013-05-08",5.5
"150","2013-05-09",5.5
"151","2013-05-10",5.5
"152","2013-05-13",5.5
"153","2013-05-14",5.5
"154","2013-05-15",5.5
"155","2013-05-16",5.5
"156","2013-05-17",5.5
"157","2013-05-20",5.5
"158","2013-05-21",5.5
"159","2013-05-22",5.5
"160","2013-05-23",5.5
"161","2013-05-24",5.5
"162","2013-05-28",5.5
"163","2013-05-29",5.5
"164","2013-05-30",5.5
"165","2013-05-31",5.5
"166","2013-06-03",5.5
"167","2013-06-04",5.5
"168","2013-06-05",5.5
"169","2013-06-06",5.5
"170","2013-06-07",5.5
"171","2013-06-10",5.5
"172","2013-06-11",4.9
"173","2013-06-12",4.9
"174","2013-06-13",4.9
"175","2013-06-14",4.9
"176","2013-06-17",4.9
"177","2013-06-18",4.9
"178","2013-06-19",4.9
"179","2013-06-20",4.9
"180","2013-06-21",4.9
"181","2013-06-24",4.9
"182","2013-06-25",4.9
"183","2013-06-26",4.9
"184","2013-06-27",4.9
"185","2013-06-28",4.9
"186","2013-07-01",4.9
"187","2013-07-02",4.9
"188","2013-07-03",4.9
"189","2013-07-05",4.9
"190","2013-07-08",4.9
