"","date","WSG"
"1","2019-07-26",5.16
"2","2019-07-29",5.01
"3","2019-07-30",4.95
"4","2019-07-31",4.92
"5","2019-08-01",4.68
"6","2019-08-02",4.2
"7","2019-08-05",3.99
"8","2019-08-06",4.17
"9","2019-08-07",3.99
"10","2019-08-08",3.87
"11","2019-08-09",3.94
"12","2019-08-12",3.93
"13","2019-08-13",3.89
"14","2019-08-14",3.66
"15","2019-08-15",3.59
"16","2019-08-16",3.58
"17","2019-08-19",3.85
"18","2019-08-20",3.92
"19","2019-08-21",4.44
"20","2019-08-22",4.97
"21","2019-08-23",5.19
"22","2019-08-26",5.35
"23","2019-08-27",5.36
"24","2019-08-28",5.23
"25","2019-08-29",5.22
"26","2019-08-30",5.24
"27","2019-09-03",4.91
"28","2019-09-04",4.9
"29","2019-09-05",4.84
"30","2019-09-06",4.68
"31","2019-09-09",4.66
"32","2019-09-10",4.62
"33","2019-09-11",4.71
"34","2019-09-12",4.72
"35","2019-09-13",4.72
"36","2019-09-16",4.69
"37","2019-09-17",4.62
"38","2019-09-18",4.52
"39","2019-09-19",4.48
"40","2019-09-20",4.51
"41","2019-09-23",4.41
"42","2019-09-24",4.22
"43","2019-09-25",4.32
"44","2019-09-26",4.29
"45","2019-09-27",4.09
"46","2019-09-30",4.05
"47","2019-10-01",4.02
"48","2019-10-02",3.96
"49","2019-10-03",3.99
"50","2019-10-04",4.01
"51","2019-10-07",4.02
"52","2019-10-08",3.98
"53","2019-10-09",3.97
"54","2019-10-10",3.9
"55","2019-10-11",3.9
"56","2019-10-14",3.88
"57","2019-10-15",3.9
"58","2019-10-16",3.85
"59","2019-10-17",3.77
"60","2019-10-18",3.72
"61","2019-10-21",3.42
"62","2019-10-22",3.56
"63","2019-10-23",3.54
"64","2019-10-24",3.52
"65","2019-10-25",3.53
"66","2019-10-28",3.63
"67","2019-10-29",3.6
"68","2019-10-30",3.61
"69","2019-10-31",3.58
"70","2019-11-01",3.57
"71","2019-11-04",3.54
"72","2019-11-05",3.49
"73","2019-11-06",3.55
"74","2019-11-07",3.57
"75","2019-11-08",3.6
"76","2019-11-11",3.47
"77","2019-11-12",3.49
"78","2019-11-13",3.5
"79","2019-11-14",3.38
"80","2019-11-15",3.24
"81","2019-11-18",2.78
"82","2019-11-19",2.75
"83","2019-11-20",2.61
"84","2019-11-21",2.597
"85","2019-11-22",2.75
"86","2019-11-25",2.87
"87","2019-11-26",3.18
"88","2019-11-27",3.2
"89","2019-11-29",3.1
"90","2019-12-02",3.08
"91","2019-12-03",2.99
"92","2019-12-04",3.03
"93","2019-12-05",2.94
"94","2019-12-06",2.95
"95","2019-12-09",2.85
"96","2019-12-10",2.84
"97","2019-12-11",2.83
"98","2019-12-12",2.72
"99","2019-12-13",2.72
"100","2019-12-16",2.73
"101","2019-12-17",2.64
"102","2019-12-18",2.63
"103","2019-12-19",2.69
"104","2019-12-20",2.72
"105","2019-12-23",2.7
"106","2019-12-24",2.69
"107","2019-12-26",2.68
"108","2019-12-27",2.67
"109","2019-12-30",2.61
"110","2019-12-31",2.45
"111","2020-01-02",2.69
"112","2020-01-03",2.76
"113","2020-01-06",2.78
"114","2020-01-07",3.32
"115","2020-01-08",3.42
"116","2020-01-09",3.43
"117","2020-01-10",3.43
"118","2020-01-13",3.42
"119","2020-01-14",3.4
"120","2020-01-15",3.33
"121","2020-01-16",3.3
"122","2020-01-17",3.14
"123","2020-01-21",2.96
"124","2020-01-22",2.99
"125","2020-01-23",3.02
"126","2020-01-24",2.84
"127","2020-01-27",2.74
"128","2020-01-28",2.76
"129","2020-01-29",2.74
"130","2020-01-30",2.7
"131","2020-01-31",2.68
"132","2020-02-03",2.77
"133","2020-02-04",2.81
"134","2020-02-05",2.8
"135","2020-02-06",2.77
"136","2020-02-07",2.84
"137","2020-02-10",2.96
"138","2020-02-11",2.93
"139","2020-02-12",3.09
"140","2020-02-13",3.1
"141","2020-02-14",2.99
"142","2020-02-18",4.35
"143","2020-02-19",4.79
"144","2020-02-20",4.74
"145","2020-02-21",4.6
"146","2020-02-24",4.3
"147","2020-02-25",4.18
"148","2020-02-26",4.15
"149","2020-02-27",4.06
"150","2020-02-28",3.74
"151","2020-03-02",3.86
"152","2020-03-03",4.08
"153","2020-03-04",4.14
"154","2020-03-05",3.95
"155","2020-03-06",3.72
"156","2020-03-09",3.14
"157","2020-03-10",3.01
"158","2020-03-11",2.6
"159","2020-03-12",2.13
"160","2020-03-13",2.01
"161","2020-03-16",1.47
"162","2020-03-17",1.82
"163","2020-03-18",1.62
"164","2020-03-19",1.44
"165","2020-03-20",1.61
"166","2020-03-23",1.56
"167","2020-03-24",1.68
"168","2020-03-25",1.98
"169","2020-03-26",2.8
"170","2020-03-27",2.53
"171","2020-03-30",2.35
"172","2020-03-31",2.32
"173","2020-04-01",2.14
"174","2020-04-02",2.25
"175","2020-04-03",2.21
"176","2020-04-06",2.29
"177","2020-04-07",2.4
"178","2020-04-08",2.42
"179","2020-04-09",2.49
"180","2020-04-13",2.38
"181","2020-04-14",2.32
"182","2020-04-15",2.4
"183","2020-04-16",2.33
"184","2020-04-17",2.27
"185","2020-04-20",2.25
"186","2020-04-21",2.22
"187","2020-04-22",2.21
"188","2020-04-23",2.18
"189","2020-04-24",2.24
"190","2020-04-27",2.16
"191","2020-04-28",2.28
"192","2020-04-29",2.38
"193","2020-04-30",2.45
"194","2020-05-01",2.2
"195","2020-05-04",2.24
"196","2020-05-05",2.3
"197","2020-05-06",2.35
"198","2020-05-07",2.41
"199","2020-05-08",2.64
"200","2020-05-11",2.625
"201","2020-05-12",2.66
"202","2020-05-13",2.6
"203","2020-05-14",2.52
"204","2020-05-15",2.42
"205","2020-05-18",2.56
"206","2020-05-19",2.6
"207","2020-05-20",2.62
"208","2020-05-21",2.58
"209","2020-05-22",2.43
"210","2020-05-26",2.48
"211","2020-05-27",2.53
"212","2020-05-28",2.35
"213","2020-05-29",2.44
"214","2020-06-01",2.64
"215","2020-06-02",2.56
"216","2020-06-03",2.5
"217","2020-06-04",2.66
"218","2020-06-05",2.77
"219","2020-06-08",2.71
"220","2020-06-09",2.34
"221","2020-06-10",2.66
"222","2020-06-11",2.61
"223","2020-06-12",2.61
"224","2020-06-15",2.56
"225","2020-06-16",2.38
"226","2020-06-17",2.37
"227","2020-06-18",2.28
"228","2020-06-19",2.2
"229","2020-06-22",2.26
"230","2020-06-23",2.18
"231","2020-06-24",2.09
"232","2020-06-25",2.07
"233","2020-06-26",2.08
"234","2020-06-29",2.12
"235","2020-06-30",2.1
"236","2020-07-01",2.089
"237","2020-07-02",2.22
"238","2020-07-06",2.18
"239","2020-07-07",2.23
"240","2020-07-08",2.19
"241","2020-07-09",2.19
"242","2020-07-10",2.24
"243","2020-07-13",2.15
"244","2020-07-14",2.15
"245","2020-07-15",2.2
"246","2020-07-16",2.17
"247","2020-07-17",2.15
"248","2020-07-20",2.15
"249","2020-07-21",2.22
"250","2020-07-22",2.1
"251","2020-07-23",2.05
"252","2020-07-24",2.04
"253","2020-07-27",1.99
"254","2020-07-28",1.99
"255","2020-07-29",1.99
"256","2020-07-30",1.95
"257","2020-07-31",1.96
"258","2020-08-03",1.97
"259","2020-08-04",2.06
"260","2020-08-05",2.03
"261","2020-08-06",2.05
