"","date","TURN"
"1","2007-01-03",11.84
"2","2007-01-04",11.57
"3","2007-01-05",11.27
"4","2007-01-08",11.34
"5","2007-01-09",11.27
"6","2007-01-10",11.37
"7","2007-01-11",11.62
"8","2007-01-12",11.7
"9","2007-01-16",11.53
"10","2007-01-17",11.27
"11","2007-01-18",11.06
"12","2007-01-19",11.33
"13","2007-01-22",11.2
"14","2007-01-23",11.39
"15","2007-01-24",11.61
"16","2007-01-25",11.31
"17","2007-01-26",11.15
"18","2007-01-29",11.15
"19","2007-01-30",11.1
"20","2007-01-31",11.06
"21","2007-02-01",11.44
"22","2007-02-02",11.48
"23","2007-02-05",11.5
"24","2007-02-06",11.71
"25","2007-02-07",12.01
"26","2007-02-08",11.97
"27","2007-02-09",11.93
"28","2007-02-12",11.98
"29","2007-02-13",12
"30","2007-02-14",11.92
"31","2007-02-15",12.01
"32","2007-02-16",12.04
"33","2007-02-20",12.13
"34","2007-02-21",12.79
"35","2007-02-22",13.1
"36","2007-02-23",13.45
"37","2007-02-26",13.14
"38","2007-02-27",11.98
"39","2007-02-28",12
"40","2007-03-01",12.16
"41","2007-03-02",11.71
"42","2007-03-05",11.26
"43","2007-03-06",11.97
"44","2007-03-07",12.02
"45","2007-03-08",11.97
"46","2007-03-09",12.06
"47","2007-03-12",12.03
"48","2007-03-13",11.38
"49","2007-03-14",11.8
"50","2007-03-15",11.72
"51","2007-03-16",11.97
"52","2007-03-19",11.81
"53","2007-03-20",11.83
"54","2007-03-21",12.44
"55","2007-03-22",12.36
"56","2007-03-23",12.8
"57","2007-03-26",13.01
"58","2007-03-27",12.89
"59","2007-03-28",12.88
"60","2007-03-29",13.13
"61","2007-03-30",12.92
"62","2007-04-02",13.1
"63","2007-04-03",13.35
"64","2007-04-04",13.63
"65","2007-04-05",13.47
"66","2007-04-09",13.34
"67","2007-04-10",13.2
"68","2007-04-11",13.28
"69","2007-04-12",13.25
"70","2007-04-13",13.52
"71","2007-04-16",14.32
"72","2007-04-17",14.08
"73","2007-04-18",14.22
"74","2007-04-19",13.67
"75","2007-04-20",14.1
