"","date","CAKE"
"1","2007-01-03",24.690001
"2","2007-01-04",25.1
"3","2007-01-05",24.66
"4","2007-01-08",24.559999
"5","2007-01-09",26.99
"6","2007-01-10",27.02
"7","2007-01-11",27.530001
"8","2007-01-12",27.67
"9","2007-01-16",27.83
"10","2007-01-17",27
"11","2007-01-18",27.01
"12","2007-01-19",26.67
"13","2007-01-22",26.209999
"14","2007-01-23",27.18
"15","2007-01-24",27.07
"16","2007-01-25",26.59
"17","2007-01-26",26.51
"18","2007-01-29",26.719999
"19","2007-01-30",26.940001
"20","2007-01-31",27.629999
"21","2007-02-01",27.719999
"22","2007-02-02",27.66
"23","2007-02-05",27.690001
"24","2007-02-06",27.76
"25","2007-02-07",26.9
"26","2007-02-08",26.799999
"27","2007-02-09",26.52
"28","2007-02-12",26.280001
"29","2007-02-13",26.49
"30","2007-02-14",26.889999
"31","2007-02-15",27.16
"32","2007-02-16",27.209999
"33","2007-02-20",27.790001
"34","2007-02-21",28.42
"35","2007-02-22",27.92
"36","2007-02-23",28.17
"37","2007-02-26",28.16
"38","2007-02-27",27.27
"39","2007-02-28",27.290001
"40","2007-03-01",27.02
"41","2007-03-02",26.68
"42","2007-03-05",26.059999
"43","2007-03-06",26.629999
"44","2007-03-07",27.360001
"45","2007-03-08",27.6
"46","2007-03-09",26.940001
"47","2007-03-12",27.030001
"48","2007-03-13",26.709999
"49","2007-03-14",27.34
"50","2007-03-15",27.59
"51","2007-03-16",27.459999
"52","2007-03-19",27.709999
"53","2007-03-20",27.200001
"54","2007-03-21",27.15
"55","2007-03-22",27.450001
"56","2007-03-23",27.33
"57","2007-03-26",27.379999
"58","2007-03-27",27.1
"59","2007-03-28",26.950001
"60","2007-03-29",26.719999
"61","2007-03-30",26.65
"62","2007-04-02",26.790001
"63","2007-04-03",27.110001
"64","2007-04-04",26.58
"65","2007-04-05",26.549999
"66","2007-04-09",26.440001
"67","2007-04-10",26.25
"68","2007-04-11",25.709999
"69","2007-04-12",25.74
"70","2007-04-13",25.969999
"71","2007-04-16",26.379999
"72","2007-04-17",25.99
"73","2007-04-18",25.790001
"74","2007-04-19",25.889999
"75","2007-04-20",26.16
"76","2007-04-23",26.129999
"77","2007-04-24",26.030001
"78","2007-04-25",28.379999
"79","2007-04-26",28.879999
"80","2007-04-27",28.389999
"81","2007-04-30",27.6
"82","2007-05-01",28.15
"83","2007-05-02",28.07
"84","2007-05-03",28.120001
"85","2007-05-04",27.92
"86","2007-05-07",28.049999
"87","2007-05-08",28.059999
"88","2007-05-09",28.17
"89","2007-05-10",27.889999
"90","2007-05-11",27.91
"91","2007-05-14",27.379999
