"","date","MRTN"
"1","2007-01-03",4.664
"2","2007-01-04",4.765333
"3","2007-01-05",4.434667
"4","2007-01-08",4.514667
"5","2007-01-09",4.501333
"6","2007-01-10",4.578667
"7","2007-01-11",4.72
"8","2007-01-12",4.845333
"9","2007-01-16",4.890666
"10","2007-01-17",4.88
"11","2007-01-18",4.733333
"12","2007-01-19",4.752
"13","2007-01-22",4.546667
"14","2007-01-23",4.677333
"15","2007-01-24",4.602667
"16","2007-01-25",4.426667
"17","2007-01-26",3.968
"18","2007-01-29",4.024
"19","2007-01-30",4.082667
"20","2007-01-31",4.082667
"21","2007-02-01",4.064
"22","2007-02-02",4.104
"23","2007-02-05",4.074667
"24","2007-02-06",4.024
"25","2007-02-07",3.986667
"26","2007-02-08",3.92
"27","2007-02-09",3.861333
"28","2007-02-12",3.946667
"29","2007-02-13",4.064
"30","2007-02-14",4.701334
"31","2007-02-15",4.810667
"32","2007-02-16",4.706666
"33","2007-02-20",4.8
"34","2007-02-21",4.853333
"35","2007-02-22",4.818666
"36","2007-02-23",4.968
"37","2007-02-26",4.749333
"38","2007-02-27",4.48
"39","2007-02-28",4.450667
"40","2007-03-01",4.357333
"41","2007-03-02",4.386667
"42","2007-03-05",4.269333
"43","2007-03-06",4.392
"44","2007-03-07",4.354667
"45","2007-03-08",4.298666
"46","2007-03-09",4.506667
"47","2007-03-12",4.506667
"48","2007-03-13",4.216
"49","2007-03-14",4.402667
"50","2007-03-15",4.304
"51","2007-03-16",4.253334
"52","2007-03-19",4.173333
"53","2007-03-20",4.234667
"54","2007-03-21",4.389333
"55","2007-03-22",4.386667
"56","2007-03-23",4.368
"57","2007-03-26",4.296
"58","2007-03-27",4.266667
"59","2007-03-28",4.072
"60","2007-03-29",4.266667
"61","2007-03-30",4.234667
"62","2007-04-02",4.237333
"63","2007-04-03",4.229333
"64","2007-04-04",4.264
"65","2007-04-05",4.224
"66","2007-04-09",4.266667
"67","2007-04-10",4.368
"68","2007-04-11",4.501333
"69","2007-04-12",4.605333
"70","2007-04-13",4.656
"71","2007-04-16",4.714667
"72","2007-04-17",4.586667
"73","2007-04-18",4.586667
"74","2007-04-19",4.664
"75","2007-04-20",4.776
"76","2007-04-23",4.813334
"77","2007-04-24",5.090667
"78","2007-04-25",5.098667
"79","2007-04-26",5.048
"80","2007-04-27",4.88
"81","2007-04-30",4.813334
"82","2007-05-01",4.794667
"83","2007-05-02",4.906667
"84","2007-05-03",5.005333
"85","2007-05-04",4.946667
"86","2007-05-07",4.864
"87","2007-05-08",4.848
"88","2007-05-09",4.8
"89","2007-05-10",4.626667
"90","2007-05-11",4.712
"91","2007-05-14",4.808
"92","2007-05-15",4.802667
"93","2007-05-16",4.853333
"94","2007-05-17",4.829333
"95","2007-05-18",4.896
"96","2007-05-21",5.029333
"97","2007-05-22",5.058667
"98","2007-05-23",5.072
"99","2007-05-24",4.962667
"100","2007-05-25",4.965333
"101","2007-05-29",5.117333
"102","2007-05-30",5.186666
"103","2007-05-31",5.162667
"104","2007-06-01",5.213333
"105","2007-06-04",5.117333
