"","date","THBR"
"1","2019-10-04",9.8
"2","2019-10-07",9.79
"3","2019-10-08",9.8
"4","2019-10-09",9.8
"5","2019-10-10",9.89
"6","2019-10-11",9.89
"7","2019-10-14",9.89
"8","2019-10-15",9.85
"9","2019-10-16",9.85
"10","2019-10-17",9.85
"11","2019-10-18",9.85
"12","2019-10-21",9.82
"13","2019-10-22",9.85
"14","2019-10-23",9.85
"15","2019-10-24",9.85
"16","2019-10-25",9.84
"17","2019-10-28",9.84
"18","2019-10-29",9.84
"19","2019-10-30",9.84
"20","2019-10-31",9.84
"21","2019-11-01",9.84
"22","2019-11-04",9.86
"23","2019-11-05",10
"24","2019-11-06",9.841
"25","2019-11-07",9.9
"26","2019-11-08",9.88
"27","2019-11-11",9.86
"28","2019-11-12",9.98
"29","2019-11-13",9.85
"30","2019-11-14",9.85
"31","2019-11-15",9.88
"32","2019-11-18",9.86
"33","2019-11-19",9.87
"34","2019-11-20",9.85
"35","2019-11-21",9.85
"36","2019-11-22",9.85
"37","2019-11-25",9.85
"38","2019-11-26",9.85
"39","2019-11-27",9.85
"40","2019-11-29",9.85
"41","2019-12-02",9.85
"42","2019-12-03",9.85
"43","2019-12-04",9.9
"44","2019-12-05",9.89
"45","2019-12-06",10.25
"46","2019-12-09",9.86
"47","2019-12-10",9.9
"48","2019-12-11",9.9
"49","2019-12-12",9.88
"50","2019-12-13",9.87
"51","2019-12-16",9.87
"52","2019-12-17",9.915
"53","2019-12-18",9.88
"54","2019-12-19",9.88
"55","2019-12-20",9.88
"56","2019-12-23",9.95
"57","2019-12-24",9.95
"58","2019-12-26",9.88
"59","2019-12-27",9.88
"60","2019-12-30",9.91
"61","2019-12-31",9.95
"62","2020-01-02",9.9
"63","2020-01-03",9.9
"64","2020-01-06",9.92
"65","2020-01-07",9.93
"66","2020-01-08",9.96
"67","2020-01-09",10.01
"68","2020-01-10",10.01
"69","2020-01-13",10.01
"70","2020-01-14",10.01
"71","2020-01-15",10.12
"72","2020-01-16",10.03
"73","2020-01-17",10.03
"74","2020-01-21",9.9
"75","2020-01-22",9.9
"76","2020-01-23",9.96
"77","2020-01-24",9.95
"78","2020-01-27",9.95
"79","2020-01-28",9.95
"80","2020-01-29",9.95
"81","2020-01-30",9.95
"82","2020-01-31",9.95
"83","2020-02-03",9.95
"84","2020-02-04",9.95
"85","2020-02-05",10.06
"86","2020-02-06",10.06
"87","2020-02-07",10.06
"88","2020-02-10",10.075
"89","2020-02-11",10.1
"90","2020-02-12",10.08
"91","2020-02-13",10.09
"92","2020-02-14",10.09
"93","2020-02-18",10.09
"94","2020-02-19",10.08
"95","2020-02-20",10.08
"96","2020-02-21",10.09
"97","2020-02-24",10.09
"98","2020-02-25",10.09
"99","2020-02-26",10.09
"100","2020-02-27",10.09
"101","2020-02-28",10.09
"102","2020-03-02",10.08
"103","2020-03-03",10.12
"104","2020-03-04",10.1
"105","2020-03-05",10.1
"106","2020-03-06",10.02
"107","2020-03-09",10.02
"108","2020-03-10",10.02
"109","2020-03-11",9.99
"110","2020-03-12",9.9
"111","2020-03-13",9.9
"112","2020-03-16",9.7
"113","2020-03-17",9.7
"114","2020-03-18",9.25
"115","2020-03-19",9.25
"116","2020-03-20",9.35
"117","2020-03-23",9.4
"118","2020-03-24",9.8
"119","2020-03-25",9.8
"120","2020-03-26",9.86
"121","2020-03-27",9.81
"122","2020-03-30",9.81
"123","2020-03-31",9.85
"124","2020-04-01",9.87
"125","2020-04-02",9.77
"126","2020-04-03",9.8
"127","2020-04-06",9.8
"128","2020-04-07",9.95
"129","2020-04-08",9.94
"130","2020-04-09",10
"131","2020-04-13",9.95
"132","2020-04-14",10
"133","2020-04-15",10
"134","2020-04-16",10
"135","2020-04-17",9.95
"136","2020-04-20",9.95
"137","2020-04-21",9.95
"138","2020-04-22",9.95
"139","2020-04-23",9.95
"140","2020-04-24",9.9
"141","2020-04-27",9.9
"142","2020-04-28",9.9
"143","2020-04-29",9.9
"144","2020-04-30",9.89
"145","2020-05-01",9.94
"146","2020-05-04",9.94
"147","2020-05-05",9.88
"148","2020-05-06",9.88
"149","2020-05-07",9.88
"150","2020-05-08",9.92
"151","2020-05-11",9.92
"152","2020-05-12",9.95
"153","2020-05-13",9.95
"154","2020-05-14",9.95
"155","2020-05-15",9.95
"156","2020-05-18",9.95
"157","2020-05-19",9.9
"158","2020-05-20",9.93
"159","2020-05-21",9.93
"160","2020-05-22",9.97
"161","2020-05-26",9.97
"162","2020-05-27",9.9
"163","2020-05-28",9.9
"164","2020-05-29",9.87
"165","2020-06-01",9.87
"166","2020-06-02",9.92
"167","2020-06-03",9.92
"168","2020-06-04",9.92
"169","2020-06-05",9.945
"170","2020-06-08",9.97
"171","2020-06-09",9.91
"172","2020-06-10",9.95
"173","2020-06-11",9.95
"174","2020-06-12",9.91
"175","2020-06-15",9.92
"176","2020-06-16",9.985
"177","2020-06-17",9.99
"178","2020-06-18",10.02
"179","2020-06-19",10.125
"180","2020-06-22",10.12
"181","2020-06-23",10.15
"182","2020-06-24",10.088
"183","2020-06-25",10.1
"184","2020-06-26",10.08
"185","2020-06-29",10.12
"186","2020-06-30",10.1
"187","2020-07-01",10.15
"188","2020-07-02",10.15
"189","2020-07-06",10.33
"190","2020-07-07",10.2
"191","2020-07-08",10.2
"192","2020-07-09",10.21
"193","2020-07-10",10.37
"194","2020-07-13",10.36
"195","2020-07-14",10.5
"196","2020-07-15",10.61
"197","2020-07-16",10.7
"198","2020-07-17",10.5
"199","2020-07-20",10.59
"200","2020-07-21",10.55
"201","2020-07-22",10.45
"202","2020-07-23",10.43
"203","2020-07-24",10.36
"204","2020-07-27",10.39
"205","2020-07-28",10.4
"206","2020-07-29",10.35
"207","2020-07-30",10.34
"208","2020-07-31",10.32
"209","2020-08-03",10.24
"210","2020-08-04",10.1
"211","2020-08-05",10.15
"212","2020-08-06",10.07
"213","2020-08-07",10.09
"214","2020-08-10",10.08
"215","2020-08-11",10.03
"216","2020-08-12",10.09
"217","2020-08-13",10.15
"218","2020-08-14",10.12
"219","2020-08-17",10.09
"220","2020-08-18",10.04
"221","2020-08-19",10.02
"222","2020-08-20",10
"223","2020-08-21",10
"224","2020-08-24",10.03
"225","2020-08-25",10.05
"226","2020-08-26",10.1
"227","2020-08-27",10.12
"228","2020-08-28",10.08
"229","2020-08-31",10.06
"230","2020-09-01",10.09
"231","2020-09-02",10.12
"232","2020-09-03",10.15
"233","2020-09-04",10.25
"234","2020-09-08",10.3
"235","2020-09-09",10.23
"236","2020-09-10",10.23
"237","2020-09-11",10.24
"238","2020-09-14",10.2
"239","2020-09-15",10.2
"240","2020-09-16",10.15
"241","2020-09-17",10.27
"242","2020-09-18",10.38
"243","2020-09-21",10.3
"244","2020-09-22",10.25
"245","2020-09-23",10.22
"246","2020-09-24",10.23
"247","2020-09-25",10.25
"248","2020-09-28",10.31
"249","2020-09-29",10.271
"250","2020-09-30",10.2
"251","2020-10-01",10.19
"252","2020-10-02",10.23
"253","2020-10-05",10.23
"254","2020-10-06",10.23
"255","2020-10-07",10.16
"256","2020-10-08",10.07
"257","2020-10-09",10.07
"258","2020-10-12",10.05
"259","2020-10-13",10.08
"260","2020-10-14",10.08
"261","2020-10-15",10.08
"262","2020-10-16",10.08
"263","2020-10-19",10.15
"264","2020-10-20",10.21
"265","2020-10-21",10.18
"266","2020-10-22",10.16
"267","2020-10-23",10.17
"268","2020-10-26",10.13
"269","2020-10-27",10.12
"270","2020-10-28",10.1
"271","2020-10-29",10.045
"272","2020-10-30",10.09
"273","2020-11-02",10.12
"274","2020-11-03",10.17
"275","2020-11-04",10.15
"276","2020-11-05",10.14
"277","2020-11-06",10.13
"278","2020-11-09",10.1
"279","2020-11-10",10.1
"280","2020-11-11",10.095
"281","2020-11-12",10.095
"282","2020-11-13",10.08
"283","2020-11-16",10.13
"284","2020-11-17",10.16
"285","2020-11-18",10.12
"286","2020-11-19",10.13
"287","2020-11-20",10.19
"288","2020-11-23",10.14
"289","2020-11-24",10.18
"290","2020-11-25",10.24
"291","2020-11-27",10.24
